,,,5,5,,,,6,6,,,,8,8,pred '' matches both blank cell but not empty string
,,,5,5,,,,6,6,,,,6,6,pred '<>' matches empty string but not blank cell
,,,1,1,,,,3,3,,,,8,8, pred '=' matches blank cell but not empty string
,,,34,34,,,,2,2,,,,2,2,
,,,14,14,,,,11,11,,,,12,12,
,1,,15,15,,1,,12,12,,,,2,2,
,2,,15,15,,0,,0,0,,AA,,4,4,
,3,,16,16,,FALSE,,2,2,,aa,,4,4,
,4,,,,,FALSE,,,,,Abc,,8,8,
,5,,,,,1,,,,,,,6,6,
,6,,,,,TRUE,,,,,ABC,,,,
,7,,,,,,,,,,AAABC,,,,
,8,,,,,TRUE,,,,,,,,,
,9,,,,,TRUE,,,,,AAA,,,,
,10,,,,,,,,,,,,,,
,11,,,,,,,,,,,,,,
,12,,,,,,,,,,,,,,
,13,,,,,,,,,,,,,,
,14,,,,,,,,,,,,,,
,15,,,,,,,,,,,,,,
,16,,,,,,,,,,,,,,
,17,,,,,,,,,,,,,,
,18,,,,,,,,,,,,,,
,19,,,,,,,,,,,,,,
,20,,,,,,,,,,,,,,
,21,,,,,,,,,,,,,,
,22,,,,,,,,,,,,,,
,23,,,,,,,,,,,,,,
,24,,,,,,,,,,,,,,
,25,,,,,,,,,,,,,,
,26,,,,,,,,,,,,,,
,27,,,,,,,,,,,,,,
,28,,,,,,,,,,,,,,
,29,,,,,,,,,,,,,,
,30,,,,,,,,,,,,,,
