QuickEmail,,
comment,Create a Quick Email,
pending,,Need to add populate_data 
messagename,QUICK_EMAIL_BST1,
sender,QuickEmailSender,
email,devnull+quickemail_BST1@convio.com,
subject,QUICK_EMAIL_BST1 [[S1:first_name]][[S1:last_name]],
body,quickemail body ,
approve,,
desc,,
type,,
typenew,,
security,,
tentativedate,,
month,,
day,,
year,,
hour,,
min,,
ampm,,
personalize,,
updateplaintext,,
plaintextbody,,
spamcheck,,
testaddresses,,
plaintextcopy,,
copytoself,,
create,nil,
verify,,nil
