Donation Classic,,,
comment,Create a DonClassic form for direct donations,Create a DonClassic form for teamraiser donations,
name,DONATION_PREMIUM_BST1,DONATION_USERSPEC_BST1,
type,Fundraiser,Fundraiser,
shortdesc,Campaign for direct donations,Test donation for TR,
goal,,,
longdesc,,,
notes,,,
category,,,
maxuseramount,,,
increasecontributions,,,
smonth,,,
sday,,,
syear,,,
shour,,,
smin,,,
sampm,,,
dmonth,,,
dday,,,
dyear,,,
dhour,,,
dmin,,,
dampm,,,
allowjoint,,,
allowanonymous,,,
allowcompanymatch,,,
allowmemorial,,,
merchantaccount,,,
image,,,
create,nil,nil,
verify,nil,nil,
