Result (expected),Format,Value,Categories
|1e5|,|#,e-#|,123456.789,Exponents
|1e5|,|#e-#,|,123456.789,Exponents
|1%e5|,|#%e-#|,123456.789,Exponents
|1e5%|,|#e-#%|,123456.789,Exponents
|1|e|5|,|#|e-|#|,123456.789,Exponents
|1.2|e|5|,|#.#|e-|#|,123456.789,Exponents
|12.3457|e|4|,|####.####|e-|#|,123456.789,Exponents
|123456.789|e|0|,|#######.####|e-|#|,123456.789,Exponents
|123,456.789|e|0|,|#,######.####|e-|#|,123456.789,Exponents
|1|e|5|,|0|e-|0|,123456.789,Exponents
|1.2|e|5|,|0.0|e-|0|,123456.789,Exponents
|0012.3457|e|4|,|0000.0000|e-|0|,123456.789,Exponents
|0123456.7890|e|0|,|0000000.0000|e-|0|,123456.789,Exponents
|0,123,456.7890|e|0|,|0,000000.0000|e-|0|,123456.789,Exponents
|1|e|5|,|?|e-|?|,123456.789,Exponents
|1.2|e|5|,|?.?|e-|?|,123456.789,Exponents
|  12.3457|e|4|,|????.????|e-|?|,123456.789,Exponents
| 123456.789 |e|0|,|???????.????|e-|?|,123456.789,Exponents
|  123,456.789 |e|0|,|?,??????.????|e-|?|,123456.789,Exponents
|1e+5|,|#,e+#|,123456.789,Exponents
|1e+5|,|#e+#,|,123456.789,Exponents
|1%e+5|,|#%e+#|,123456.789,Exponents
|1e+5%|,|#e+#%|,123456.789,Exponents
|1|e|+5|,|#|e+|#|,123456.789,Exponents
|1.2|e|+5|,|#.#|e+|#|,123456.789,Exponents
|12.3457|e|+4|,|####.####|e+|#|,123456.789,Exponents
|123456.789|e|+0|,|#######.####|e+|#|,123456.789,Exponents
|123,456.789|e|+0|,|#,######.####|e+|#|,123456.789,Exponents
|1|e|+5|,|0|e+|0|,123456.789,Exponents
|1.2|e|+5|,|0.0|e+|0|,123456.789,Exponents
|0012.3457|e|+4|,|0000.0000|e+|0|,123456.789,Exponents
|0123456.7890|e|+0|,|0000000.0000|e+|0|,123456.789,Exponents
|0,123,456.7890|e|+0|,|0,000000.0000|e+|0|,123456.789,Exponents
|1|e|+5|,|?|e+|?|,123456.789,Exponents
|1.2|e|+5|,|?.?|e+|?|,123456.789,Exponents
|  12.3457|e|+4|,|????.????|e+|?|,123456.789,Exponents
| 123456.789 |e|+0|,|???????.????|e+|?|,123456.789,Exponents
|  123,456.789 |e|+0|,|?,??????.????|e+|?|,123456.789,Exponents
|1.2|E|5|,|#.#|E-|#|,123456.789,Exponents
