,Sheet Comment:,Simple tests of VLOOKUP using basic argument values,,,,,,,Lookup Table,,
,,,,,,,,,-2,r-2,
,Formula,Expected Result,Comment,,lookup_value,col_index_num,range_lookup,,0,rZero,
,,,,,,,,,5,r0,24
,r3,r3,,,45,2,FALSE,,30,r1,25
,r1,r1,first occurence of 30,,30,2,FALSE,,30,r2,26
,#N/A,#N/A,,,55,2,FALSE,,45,r3,27
,,,,,,,,,46,r4,28
,r3,r3,,,45,2,TRUE,,47,r5,29
,r2,r2,last occurence of 30,,30,2,TRUE,,50,r6,30
,r6,r6,,,55,2,TRUE,,75,r7,31
,,,,,,,,,80,,32
,#N/A,#N/A,,,2,2,FALSE,,81,r9,33
,#N/A,#N/A,,,-5,2,TRUE,,,,
,#N/A,#N/A,,,90,2,FALSE,,,,
,r9,r9,,,90,2,TRUE,,,,
,rZero,rZero,blank lookup val,,,2,TRUE,,,,
bad col index param,,,,,,,,,,,
,#REF!,#REF!,,,0,#VALUE!,TRUE,,,,
,#REF!,#REF!,,,0,#DIV/0!,TRUE,,,,
,#REF!,#REF!,,,0,#N/A,TRUE,,,,
,#REF!,#REF!,,,0,#REF!,TRUE,,,,
,#REF!,#REF!,,,0,#NUM!,TRUE,,,,
,#REF!,#REF!,,,0,abc,TRUE,,,,
,#N/A,#N/A,,,#N/A,#DIV/0,TRUE,,,,
,#N/A,#N/A,,,0,#DIV/0,#N/A,,,,
,#VALUE!,#VALUE!,,,0,,TRUE,,,,
,#REF!,#REF!,,,0,6,TRUE,,,,
,,,,,,,,,,,
string lookup col,,,,,,,,,,,
,#N/A,#N/A,blank lookup does not match empty string,,,2,FALSE,,,,
,32,32,empty string matches empty string,,,2,FALSE,,,,
,,,,,,,,,,,
,,,,,,,"If FALSE, HLOOKUP will find an exact match.  If one is not found, the error value #N/A is returned.",,,,
Simple values wilcard,something1,something1,only find an exact match.,,Bla*,2,FALSE,,lookup_value,col_index_num,
,something1,something1,only find an exact match with double wildcard,,*Bla*,2,FALSE,,BLA16,something1,
