EXAMPLE 5,,,,,,,,,,
"   Married couple, one income, no children taxed under PAYE ",,,,,,,,,,
   Modified rate PRSI contributor,,,,,,,,,,
GROSS,PRSI Liability,,Levy Liability,,Tax Liability,,Total,Total,Gain as % of ,
INCOME,Existing,Proposed,Existing,Proposed,Existing,Proposed,Gain,Gain,Net Income,
,,,,,,,(Per Year),(Per Week) (a),,
€,€,€,€,€,€,€,€,€,%,
"17,500",145,0,0,0,0,0,145,3,0.8,
"25,000 (b)",212,212,499,0,242,0,741,14,3.1,
"30,000",258,258,600,600,"1,170",640,530,10,1.9,
"35,000",303,303,700,700,"2,170","1,640",530,10,1.7,
"40,000",348,348,800,800,"3,170","2,640",530,10,1.5,
"45,000",393,393,900,900,"5,050","4,060",990,19,2.6,
"50,000",408,427,"1,000","1,000","7,150","6,110","1,021",20,2.5,
"60,000",410,429,"1,200","1,200","11,350","10,210","1,121",22,2.4,
"80,000",412,432,"1,600","1,600","19,750","18,410","1,320",25,2.3,
"100,000",414,433,"2,000","2,000","28,150","26,610","1,520",29,2.2,
"120,000",414,434,"2,400","2,500","36,550","34,810","1,620",31,2.0,
"200,000",416,436,"4,000","4,500","70,150","67,610","2,020",39,1.6,
,,,,,,,,,,
Variations can arise due to rounding.,,,,,,,,,,
(a) Gains per week are based on a 52 week year,,,,,,,,,,
"(b) Recte €24,960",,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
