EXAMPLE 6,,,,,,,,,,,,,
"   Married couple, one income, two children (under the age of 6) taxed under PAYE ",,,,,,,,,,,,,
   Modified rate PRSI contributor,,,,,,,,,,,,,
GROSS,PRSI Liability,,Levy Liability,, Tax Liability,,Child Benefit,Total,Gain as % of,Total Gain where,Total Gain where,Gain including FIS,
INCOME,Existing,Proposed,Existing,Proposed,Existing,Proposed,Increase (a),Gain (b),Net Income (c),FIS applies (d),FIS applies (e),as % of Net Income (f),
,,,,,,,,,,(Per Year),(Per Week),,
€,€,€,€,€,€,€,€,€,%,€,€,%,
"17,500",145,0,0,0,0,0,180,825,3.7,"2,021",39,7.2,
"25,000 (g)",212,212,499,0,0,0,180,"1,179",4.0,"2,115",41,6.9,
"30,000",258,258,600,600,480,0,180,"1,160",3.4,"1,160",22,3.4,
"35,000",303,303,700,700,"1,480",950,180,"1,210",3.2,"1,210",23,3.2,
"40,000",348,348,800,800,"2,480","1,950",180,"1,210",2.9,"1,210",23,2.9,
"45,000",393,393,900,900,"4,360","3,370",180,"1,670",3.8,"1,670",32,3.8,
"50,000",408,427,"1,000","1,000","6,460","5,420",180,"1,701",3.6,"1,701",33,3.6,
"60,000",410,429,"1,200","1,200","10,660","9,520",180,"1,801",3.4,"1,801",35,3.4,
"80,000",412,432,"1,600","1,600","19,060","17,720",180,"2,000",3.1,"2,000",38,3.1,
"100,000",414,433,"2,000","2,000","27,460","25,920",180,"2,200",2.9,"2,200",42,2.9,
"120,000",414,434,"2,400","2,500","35,860","34,120",180,"2,301",2.7,"2,301",44,2.7,
"200,000",416,436,"4,000","4,500","69,460","66,920",180,"2,701",2.1,"2,701",52,2.1,
,,,,,,,,,,,,,
Variations can arise due to rounding,,,,,,,,,,,,,
"(a)  Value during 2007 of the increase in Child Benefit (CB) made in the Budget, which is effective from April, 2007 (i.e. assuming 9 months of CB increase).",,,,,,,,,,,,,
(b) Includes payment of an additional quarter of ECS (€250 per child) in 2007 as compared with 2006,,,,,,,,,,,,,
"(c) Net income includes CB and ECS less deductions of tax, levy and PRSI (where appropriate) and so may be higher than the gross income.",,,,,,,,,,,,,
(d) The last three columns show the total gain where Family Income Supplement (FIS) is taken up in both years.  The gain includes the value during 2007  of the,,,,,,,,,,,,,
"      improvement in FIS made in this Budget which takes effect from January, 2007.",,,,,,,,,,,,,
(e) Gains per week are based on a 52 week year,,,,,,,,,,,,,
"(f) Net income includes CB, ECS and FIS (where relevant) less deductions of tax, levy and PRSI (where appropriate) and so may be higher than the gross income.",,,,,,,,,,,,,
"(g) Recte €24,960",,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
