,Sheet Comment:,Tests of unspecified behaviour of VLOOKUP when the table array is not sorted,,,,,,,,,,,,,
,,For all these tests range_lookup=TRUE and col_num=2,,,,,,,,,,,,,
,Formula,Expected Result,Comment,,lookup_value,,,Lookup Table 1,,Lookup Table 2,,Lookup Table 3,,Lookup Table 4,
,,,,,,,,33,r0,33,r0,33,r0,32,r0
<skip>,r9,r9,tab 1,,33,,,33,r1,33,r1,33,r1,32,r1
<skip>,r3,r3,tab 2,,33,,,33,r2,33,r2,33,r2,32,r2
<skip>,r5,r5,tab 3,,33,,,100,r3,33,r3,33,r3,31,r3
<skip>,r3,r3,tab 4,,33,,,33,r4,100,r4,33,r4,100,r4
<skip>,r15,r15,tab 5,,33,,,33,r5,33,r5,33,r5,32,r5
<skip>,r10,r10,tab 5,,10,,,33,r6,33,r6,5,r6,32,r6
,r07,r07,tab 6,,33,,,33,r7,33,r7,33,r7,32,r7
,,,,,,,,33,r8,33,r8,100,r8,32,r8
,,,,,,,,33,r9,33,r9,33,r9,32,r9
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,Lookup Table 5,,Lookup Table 6,,,,,
,,,,,,,,33,r00,33,r00,,,,
<end>,,,,,,,,33,r01,33,r01,,,,
,,,,,,,,33,r02,33,r02,,,,
,,,,,,,,33,r03,33,r03,,,,
,,,,,,,,33,r04,10,r04,,,,
,,,,,,,,33,r05,33,r05,,,,
,,,,,,,,33,r06,33,r06,,,,
,,,,,,,,33,r07,33,r07,,,,
,,,,,,,,33,r08,5,r08,,,,
,,,,,,,,33,r09,33,r09,,,,
,,,,,,,,8,r10,100,r10,,,,
,,,,,,,,33,r11,33,r11,,,,
,,,,,,,,33,r12,33,r12,,,,
,,,,,,,,6,r13,33,r13,,,,
,,,,,,,,33,r14,33,r14,,,,
,,,,,,,,33,r15,33,r15,,,,
,,,,,,,,4,r16,33,r16,,,,
,,,,,,,,33,r17,33,r17,,,,
,,,,,,,,33,r18,33,r18,,,,
,,,,,,,,33,r19,33,r19,,,,
,,,,,,,,33,r20,22,r20,,,,
