Query Group Creation,,,,,,,,,,,,,,,,,,,,
queryname,Q1,,,,,,,,,,,,,,,,,,,
queryfieldtype,System,,,,,,,,,,,,,,,,,,,
queryfield,Donor Status,,,,,,,,,,,,,,,,,,,
operator,equals,,,,,,,,,,,,,,,,,,,
value_select,Donor,,,,,,,,,,,,,,,,,,,
qgroup,group,,,,,,,,,,,,,,,,,,,
querygroupname,QueryGroup1,,,,,,,,,,,,,,,,,,,
querygroupdesc,QueryGroup,,,,,,,,,,,,,,,,,,,
querygroupsecurity,Not a Security Group,,,,,,,,,,,,,,,,,,,
groupmembership,1,,,,,,,,,,,,,,,,,,,
grouptypenew,ResultsQuery1,,,,,,,,,,,,,,,,,,,
groupmembershiptype,membershipdaily,,,,,,,,,,,,,,,,,,,
