Sample Type,Material,Fraction,Pereparation,please do not change the contents 
Select from menu,Select from menu,Select from menu,Select from menu,
undefined,undefined,undefined,undefined,
not listed,not listed,not listed,not listed,
sample,aerosol,<32 um,ABA 20°,
oxa1,biofuel,<63 um,ABA 60°,
oxa2,biomarkers,<150 um,ABOX,
bl,bone,alkane,alphacellulose,
bl_carb,carbonate,amino acids,collagene,
sample_hp,charcoal,aragonite,column,
tree_hp,co2atm,benthic,combustion,
co2atm,coal,bulk,Cu oxid,
wilhelm,coral,cellulose,fumigation,
lnz,cremated bone,collagen,gc,
IAEA-C1,diatom,compound,heavy liquid,
IAEA-C2,eggshell,cotton,hemicellulose,
IAEA-C3,fiber,dentine,hplc,
IAEA-C4,food,detritus,insitu quartz,
IAEA-C5,foraminifera,DIC,leaching,
IAEA-C6,fossil modern,DOC,longin+base,
IAEA-C7,graphite,fine fraction,microwave extraction,
IAEA-C8,groundwater,GDGT,pollen,
,hair,gelatin,sieving,
18,horn ,linen,soxhlet,
,iron,lipids,step comb,
,ivory,litter,ultra sonic,
,leather,macro remains,ultrafiltration,
,lignin,organic matter,,
,macrofossils,planktonic,23,
,motar,silk,,
,oil,stalactite,,
,organic matter,stalagmite,,
,oxalic acid,TIC,,
,paint,TOC,,
,paper,vinegar,,
,parchment,waxes,,
,pearl freshwater,wine,,
,pearl marine,wool,,
,peat,,,
,Phthalic acid,34,,
,POC,,,
,pollen,,,
,pottery,,,
,reference,,,
,roots,,,
,seawater,,,
,sediment,,,
,seed,,,
,shell marine,,,
,shell terrestrial,,,
,soil,,,
,speleothom,,,
,SRF,,,
,sucrose,,,
,textile,,,
,tissue,,,
,tooth,,,
,undefined fiber,,,
,wood,,,
,,,,
,55,,,
