,,,,,,
,pagename,SPECIAL_OFFER_BST1,,,,
,version,v1,,,,
,locationindex,0,,,,
,body,This is your special offer!,,,,
WYSIWYG Links,linkname,,,,,
,linktarget,,,,,
,linktext,,,,,
,linkpagename,,,,,
,linkaddinterest,,,,,
,linkremoveinterest,,,,,
,linknewwindow,,,,,
,linktitle,,,,,
,linkpromotioncode,,,,,
,linkadditionalargs,,,,,
WYSIWYG Personalization,personalname,,,,,
,personaltext,,,,,
,personalgroup,,,,,
,personalfield,,,,,
,personalreptype,,,,,
,personalrepstyle,,,,,
,personalrepfields,,,,,
WYSIWYG Conditional,condname,,,,,
,condgrouptype,,,,,
,condgroupname,,,,,
,condinterest,,,,,
,condtext,,,,,
WYSIWYG Component,compname,,,,,
,create,nil,,,,
