CustomerId,ProductId,BriefDescription,FullDescription,ProductStatus,MfgIdNum,UmIdNum,Weight,Length,Height,Width,LotControl,ExpDate,MixedProduct,EachQty,CaseQty,PalletQty,NmfcIdNum,AltProductId,KitProduct,ProductType,Hazmat,BranchName1,BranchName2,BranchName3,BranchName4,BranchName5,HoldReasonCode1,HoldReasonCode2,HoldReasonCode3,HoldReasonCode4,HoldReasonCode5,BinType1,BinType2,BinType3,BinType4,BinType5,ZoneCode1,ZoneCode2,ZoneCode3,ZoneCode4,ZoneCode5,CcOnEmpty,CustomName1,CustomName2,CustomName3,CustomName4,CustomName5,CustomDataType1,CustomDataType2,CustomDataType3,CustomDataType4,CustomDataType5,CustomLen1,CustomLen2,CustomLen3,CustomLen4,CustomLen5,UnitPrice,OrderBy,SpecialUmType,UniqueLot,ControlNumReqd,ControlNumUnique,
AKG,114057,Aluminum Fin Coil 0.15 x 57 mm,,A,AKG,EA,10,10,10,10,N,N,N,1,0,0,0000, ,N,2,N,MEBANE, , , , ,Customer, , , , ,Standard, , , , ,Standard, , , , ,N, , , , , , , , , , , ,  , , , ,10,P,0,N,N,N,
AKG,114063,Aluminum Fin Coil 62 mm,,A,AKG,EA,10,10,10,10,N,N,N,1,0,0,0000, ,N,2,N,MEBANE, , , , ,Customer, , , , ,Standard, , , , ,Standard, , , , ,N, , , , , , , , , , , ,  , , , ,10,P,0,N,N,N,
AKG,114570,Fin Material 115 mm,,A,AKG,EA,10,10,10,10,N,N,N,1,0,0,0000, ,N,2,N,MEBANE, , , , ,Customer, , , , ,Standard, , , , ,Standard, , , , ,N, , , , , , , , , , , ,  , , , ,10,P,0,N,N,N,
AKG,114572,Fin Material 162 mm,,A,AKG,EA,10,10,10,10,N,N,N,1,0,0,0000, ,N,2,N,MEBANE, , , , ,Customer, , , , ,Standard, , , , ,Standard, , , , ,N, , , , , , , , , , , ,  , , , ,10,P,0,N,N,N,
AKG,114574,Fin Material 142 mm,,A,AKG,EA,10,10,10,10,N,N,N,1,0,0,0000, ,N,2,N,MEBANE, , , , ,Customer, , , , ,Standard, , , , ,Standard, , , , ,N, , , , , , , , , , , ,  , , , ,10,P,0,N,N,N,
AKG,114981,Turbulator Coil LCC-100 mm,,A,AKG,EA,10,10,10,10,N,N,N,1,0,0,0000, ,N,2,N,MEBANE, , , , ,Customer, , , , ,Standard, , , , ,Standard, , , , ,N, , , , , , , , , , , ,  , , , ,10,P,0,N,N,N,
AKG,114982,Turbulator Coil LCC-250mm,,A,AKG,EA,10,10,10,10,N,N,N,1,0,0,0000, ,N,2,N,MEBANE, , , , ,Customer, , , , ,Standard, , , , ,Standard, , , , ,N, , , , , , , , , , , ,  , , , ,10,P,0,N,N,N,
AKG,114986,Turbulator Coil-LCC 280mm,,A,AKG,EA,10,10,10,10,N,N,N,1,0,0,0000, ,N,2,N,MEBANE, , , , ,Customer, , , , ,Standard, , , , ,Standard, , , , ,N, , , , , , , , , , , ,  , , , ,10,P,0,N,N,N,
AKG,114067,Aluminum Coil 93 mm (7318.094 fins),,A,AKG,EA,10,10,10,10,N,N,N,1,0,0,0000, ,N,2,N,MEBANE, , , , ,Customer, , , , ,Standard, , , , ,Standard, , , , ,N, , , , , , , , , , , ,  , , , ,10,P,0,N,N,N,
AKG,114069,Fin Material 96 mm,,A,AKG,EA,10,10,10,10,N,N,N,1,0,0,0000, ,N,2,N,MEBANE, , , , ,Customer, , , , ,Standard, , , , ,Standard, , , , ,N, , , , , , , , , , , ,  , , , ,10,P,0,N,N,N,
