,,,,,,,,,,,,,1,,
,,,,,,,,,,,,,0,,
,T PAD Attenuator (ver 3.1),,,,,,,,,,,5.70,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,0.581064097,20.47534691,,
,,,,,,,,,,,,0.418935903,17.15571589,,
,10.80,,,,,10.80,,,,82.77,,,3.593572662,,0.418935903
Attenuation(dB),7.56,,,,,,,,,#NAME?,,,8.775364533,,
,,,,,,20.5 ohms,,,,0.47,,,50,,7.55704838013509
Input Power(dBm),15,3.16E+01mW,,,,3.57dBm,,, Power Thru,0.86,,,,,
,,,,,,2.27E+00mW,,,7.44dBm,,,,,,
,,,10.80,,,(7.2%),,,5.55E+00mW,,,,,,
,,,,,,,,,(17.6%),,,,,20.48 ohms,
,,,,,,,,,,,,,20.48 ohms,,50.81 ohms
,,,20.5 ohms,,,50.8 ohms,,,,,,,,,
,Zin,,11.12dBm,,,10.35dBm,,Zout,,,,,,,
,50,,1.29E+01mW,,,1.09E+01mW,,50,,,,,,,
,ohms,,(41.0%),,,(34.3%),,ohms,,,,,,,
,,,,,,,,,,,,,3.15544E-26,100.0,
,Res In,50.00,,,,Res Out,50.00,,,,,,,3.16E+01mW,
,VSWR,1.00,,,,VSWR,1.00,,,,,,,,
,Rho,0.00,,,,Rho,0.00,,,,,,,,
,Rloss,>60 dB,,,,Rloss,>60 dB,,,,,,,,
,Power,0.00E+00 mW,,,,,,,,,,,,,
,Reflected,0.00E+00 %,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,http://www.rfshop.co.uk,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,April 2009,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
