,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,PI PAD Attenuator (ver 3.2),,,,,,,,,116.64,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,0.991426612,,0.830508475,51.73082448,,
,,,,,,,,,,-0.03739428,,0.169491525,9.480034473,,
Attenuation(dB),20.67,,,330.0 ohms,,,,,,,,0.084745763,0.538638322,,
,,,,,,,,,,,,0.084745763,0.538638322,,
Input Power(dBm),0,1.00E+00mW,,-8.21dBm,,, Power Thru,,,,,1,62.28813559,,20.668
,,,,1.51E-01mW,,,-20.67dBm,,,,,,,,
,,,,1.51E+01 %,,,8.57E-03mW,,,,,,,,
,,,,,,,8.57E-01 %,,,,,401.53,,,
,,75.0 ohms,,,,75.0 ohms,,,,,90.31,,90.31,,
,Zin,,,,,,,Zout,,,,,,,
,75,-0.84dBm,,,,-20.67dBm,,75,,,,,,,
,ohms,8.23E-01mW,,,,8.57E-03mW,,ohms,,,0,,8.57E-01 %,,
,,8.23E+01 %,,,,8.57E-01 %,,,,,,,,,
,,,,,,,,,,,1.00,,,,
,Res In,62.3 ohms,,,,Res Out,62.3 ohms,,,,100.00,,,,
,VSWR,1.20,,,,VSWR,1.20,,,,,,,,
,Rho,0.09,,,,Rho,0.09,,,,,,,,
,Rloss,20.7 dB,,,,Rloss,20.7 dB,,,,,,,,
,,,,,,,,,,,,,,,
,Power,8.57E-03 mW,,,,,,,,,,,,,
,Reflected,8.57E-01 %,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,April 2009,,http://www.rfshop.co.uk,,,,,,,,,
,,,,,,,,,,,,,,,
