P&G Raw Material Information Workbook,,,,,"Please Note, macros must be enabled in Excel for this application to work correctly.",,,,,,,,
Version:,2.0,,,,"(see the ""Enabling Macros"" worksheet for help with enabling macros)",,,,,,,,
Date:,17-Oct-14,,,,,,,,,,,,
,,,,,,,,,,,,,
,Formulated Products,,,,,,,,,,,,
,,,,,,,,,,,,,
,Instructions,,,,,,,,,,,,
,,,,,,,,,,,,,
,Step 1,Start by selecting a Material Type to create a new worksheet.,,,,,,,,,,,
,,(Create 1 worksheet for each material being disclosed.),,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,Step 2,"P&G completes the fields highlighted in brown,",,,,,,,,,,,
,,and saves the workbook in Excel 97-2003 format.,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,Step 3,Supplier completes all fields highlighted in green.,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,Step 4,Supplier completes data grids for Intentionally added and Unintentional chemicals,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,Step 5,Supplier completes all fields for Additional Information,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,Step 6,Supplier saves the completed workbook and then submits it to P&G.,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,Notes:,Multiple materials may be included in each workbook.  Follow steps 1 through 5 for each material before,,,,,,,,,,,
,,submitting the workbook to P&G.,,,,,,,,,,,
,,,,,,,,,,,,,
,,Do Not rename any worksheets created by this application,,,,,,,,,,,
