Teamraiser Autoresponders,,,,
,comment,Customize the TR autoresponder,,
,teamraisername,TEAMRAISER_BST1,,
,autorespondertype,Thank You for Registering,,
,sendername,,,
,senderemail,,,
,subject,,,
,plaintext,,,
,style,,,
,updateplaintextfromhtml,TRUE,,
Wysiwyg,wysiwyg_enabled,TRUE,,
,body,This is the autoresponder for TEAMRAISER_BST1,,
,linkname,TeamRaiser,,
,linktarget,TEAMRAISER_BST1,,
,linktext,TEAMRAISER_BST1,,
,linkpagename,Participant Center,,
,linkaddinterest,,,
,linkremoveinterest,,,
,linknewwindow,,,
,linktitle,,,
,linkpromotioncode,,,
,linkadditionalargs,,,
,personalname,,,
,personaltext,,,
,personalgroup,,,
,personalfield,,,
,personalreptype,,,
,personalrepstyle,,,
,personalrepfields,,,
,condname,,,
,condgrouptype,,,
,condgroupname,,,
,condinterest,,,
,condtext,,,
,compname,,,
Event Managers,eventmanagertext,,,
,create,nil,,
