,,,,,,
,T PADS USING STANDARD VALUE RESISTORS,,,,,
,,,,,,
,,,,,,
,R1,,R1,,,
,,,,,,
,,,,,,
,,R2,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,dB loss,RL /dB,R1,R2,,
,,(Ideality),,,,
,,,,,,
,0.4 ,>50,1R0,1k2,,
,1.0 ,38,3R3,470R,,
,2.2 ,34,5R6,180R,,
,2.9 ,>50,8R2,150R,,
,3.5 ,>50,10R,120R,,
,4.2 ,>50,12R,100R,,
,5.2 ,38,15R,82R,,
,6.2 ,34,18R,68R,,
,6.8 ,38,18R,56R,,
,8.1 ,47,22R,47R,,
,10.5 ,>50,27R,33R,,
,11.4 ,30,27R,27R,,
,13.6,48,33R,22R,,
,,,,,,
,,,,,,
,System Impedance =50ohms,,,,,
,,,,,,
,,,http://www.rfshop.co.uk,,,
,,,,,,
,,,,,,
,,,,,,
