"<jx:forEach items=""${departments}"" var=""department"">",,,
Department,${department.name},,
Employees,,,
Name,Payment,Bonus,
"<jx:if test=""${department.name != 'HR'}"">",,,
"<jx:forEach items=""${department.staff}"" var=""employee"">",,,
"<jx:if test=""${department.payment < 2200}"">",,,
"<jx:out expr=""employee.name"" />","<jx:out expr=""employee.payment"" />","<jx:out expr=""employee.bonus"" />",
</jx:if>,,,
</jx:forEach>,,,
</jx:if>,,,
Totals:,,,
</jx:forEach>,,,
"<jx:forEach items=""${departments}"" var=""department"">",,,
Department,${department.name},,
Employees,,,
Name,Payment,Bonus,
"<jx:forEach items=""${department.staff}"" var=""employee"">",,,
"<jx:if test=""${employee.payment > 2000}"">",,,
"<jx:out expr=""employee.name"" />","<jx:out expr=""employee.payment"" />","<jx:out expr=""employee.bonus"" />",
</jx:if>,,,
</jx:forEach>,,,
Totals:,,,
</jx:forEach>,,,
"<jx:forEach items=""${departments}"" var=""department"">",,,
Department,${department.name},,
Employees,,,
Name,Payment,Bonus,
"<jx:forEach items=""${department.staff}"" var=""employee"">",,,
"<jx:out expr=""employee.name"" />","<jx:out expr=""employee.payment"" />","<jx:out expr=""employee.bonus"" />",
</jx:forEach>,,,
Totals:,,,
</jx:forEach>,,,
