Column1,data_year,STATE,total1,total2,total3,total4,total5,total6,total7,,data_year,total1,total2,total3,total4,total5,total6,total7
2000|Alabama,2000,Alabama,745447,39100,14673,771029,2432,7054,10461,,2000,40876726,2110765,674818,21717896,71340,331257,630589
2000|Alaska,2000,Alaska,35566,1224,110,3159,53,30,73,,2001,40022329,2205052,687857,30713422,91255,476598,721103
2000|Arizona,2000,Arizona,842234,32364,19721,857205,2049,9974,48495,,2002,35752745,1993705,766140,32641676,96383,535098,940712
2000|Arkansas,2000,Arkansas,530660,19618,6519,331926,984,3263,3214,,2003,45744604,1542806,778870,41994938,124799,415539,1346632
2000|California,2000,California,3715628,162875,59946,1842003,8771,30806,38657,,2004,46097753,1544314,969406,58245687,116714,566534,1123602
2000|Colorado,2000,Colorado,564019,22565,8070,276169,1011,7094,18905,,2005,37477964,1825401,863362,54031836,117292,536022,1428578
2000|Connecticut,2000,Connecticut,615099,26760,5501,162322,1259,3740,16038,,2006,44177733,2210730,1170329,74919167,135662,541965,1712590
2000|Delaware,2000,Delaware,113572,5625,1385,67998,137,1408,916,,2007,47006743,1883253,1088566,76703158,196988,629655,1427749
2000|District of Columbia,2000,District of Columbia,81659,3377,565,32465,61,513,1256,,2008,49839764,2079330,1041356,71297324,189698,589416,1567910
2000|Florida,2000,Florida,3044527,126658,60004,2446730,4767,36412,135789,,2009,41571659,2030961,1064317,70156683,162765,619868,1582504
2000|Georgia,2000,Georgia,1150721,51567,17740,696156,2862,9974,19764,,2010,55810488,1910462,1103778,77693716,168215,712531,1661133
2000|Hawaii,2000,Hawaii,188768,6894,1259,66033,98,1367,3851,,2011,59439084,1718368,1453282,101970529,228805,728177,1489426
2000|Idaho,2000,Idaho,140247,6447,2416,87059,393,1245,565,,2012,57538344,1997964,1204304,99630668,220619,764127,1657289
2000|Illinois,2000,Illinois,1605747,67228,28645,999472,2959,15160,22012,,2013,57464576,2226922,1564735,102935667,230469,922888,1475941
2000|Indiana,2000,Indiana,756674,38183,9340,543244,1963,7003,11886,,,,,,,,,
2000|Iowa,2000,Iowa,456974,22219,6190,317733,1384,5385,10451,,,,,,,,,
2000|Kansas,2000,Kansas,416466,18246,5366,286470,565,4893,2289,,,,,,,,,
2000|Kentucky,2000,Kentucky,724193,30967,9753,510953,878,6001,12654,,,,,,,,,
2000|Louisiana,2000,Louisiana,547186,26550,7533,360631,1137,4115,7316,,,,,,,,,
2000|Maine,2000,Maine,267072,9864,1318,57065,281,689,331,,,,,,,,,
2000|Maryland,2000,Maryland,684805,25839,8185,354290,1251,7050,9576,,,,,,,,,
2000|Massachusetts,2000,Massachusetts,1052740,49053,11100,370579,1491,8328,9136,,,,,,,,,
2000|Michigan,2000,Michigan,1727706,54991,26653,1213536,2341,19581,22744,,,,,,,,,
2000|Minnesota,2000,Minnesota,576886,32091,7469,392293,913,6881,5714,,,,,,,,,
2000|Mississippi,2000,Mississippi,506197,23569,6214,497526,1898,2614,10507,,,,,,,,,
2000|Missouri,2000,Missouri,1064486,49669,13808,636960,1602,7210,2141,,,,,,,,,
2000|Montana,2000,Montana,148237,5548,1766,93192,159,1155,556,,,,,,,,,
2000|Nebraska,2000,Nebraska,265685,13867,3601,122985,293,2284,1018,,,,,,,,,
2000|Nevada,2000,Nevada,261025,11812,3900,167099,540,2563,7730,,,,,,,,,
2000|New Hampshire,2000,New Hampshire,212693,6955,1894,80442,386,1043,578,,,,,,,,,
2000|New Jersey,2000,New Jersey,1048972,54265,15382,543819,1411,11440,7735,,,,,,,,,
2000|New Mexico,2000,New Mexico,271553,11058,4467,247988,1433,1609,5321,,,,,,,,,
2000|New York,2000,New York,2414915,109092,23213,939589,2837,20857,48419,,,,,,,,,
2000|North Carolina,2000,North Carolina,1068569,63575,12893,575563,2306,9547,25294,,,,,,,,,
2000|North Dakota,2000,North Dakota,106668,3982,995,42021,172,797,599,,,,,,,,,
2000|Ohio,2000,Ohio,1982150,81396,31608,1169214,3662,23667,43948,,,,,,,,,
2000|Oklahoma,2000,Oklahoma,541642,32287,11405,703858,2372,6249,2648,,,,,,,,,
2000|Oregon,2000,Oregon,463136,22425,7810,318114,1183,6759,1804,,,,,,,,,
2000|Pennsylvania,2000,Pennsylvania,2170491,102464,34243,1213638,4438,16586,37750,,,,,,,,,
2000|Puerto Rico,2000,Puerto Rico,483049,16677,4588,282798,879,2808,242,,,,,,,,,
2000|Rhode Island,2000,Rhode Island,194276,7524,1920,55758,140,1516,3515,,,,,,,,,
2000|South Carolina,2000,South Carolina,585306,26583,7967,341086,1622,3830,6094,,,,,,,,,
