,_______ ______ - _________ __ 27.07.2016 22:20,,,,,,,,
,,,,,,,,,
,_______,____________ ______,____,_______ ______,_____ __ ______,________,_________ _______,____,
,10101,"10101 _____ ___________ EDI LIGHT, E27, 25W",,_________ _____,"3,255",0,"3,255",6,
,10106,"10106 _____ ___________ EDI LIGHT, E27, 25W,  _______",,_________ _____,"7,260",0,"7,260",6,
,10115,"10115 _____ ___________ EDI LIGHT, E14, 60W,  _______",,_________ _____,"4,558",0,"4,558",6,
,10116,"10116 _____ ___________ EDI LIGHT, E14, 25W",,_________ _____,"4,890",0,"4,890",6,
,10119,"10119 _____ ___________ EDI LIGHT, E14, 60W",,_________ _____,"7,660",0,"7,660",6,
,10128,"10128 _____ ___________, _____ __ _____, EDI LIGHT, E14, 25W, _______",,_________ _____,"5,170",0,"5,170",8,
,10172,"10172 _____ ___________ EDI LIGHT, G4, 10W, 12V, _______, 2__.",,_________ _____,"5,280",0,"5,280",8,
,10174,"10174 _____ ___________ EDI LIGHT, GY6,35, 35W, 12V, _______, 2__.",,_________ _____,"1,310",0,"1,310",9,
,10175,"10175 _____ ___________ EDI LIGHT, GY6,35, 50W, 12V, _______, 2__.",,_________ _____,"1,330",0,"1,330",9,
,10187,"10187 _____ ___________ EDI LIGHT, G4, 10W, 12V, 2__.",,_________ _____,880,0,880,8,
,10189,"10189 _____ ___________ EDI LIGHT, GY6,35, 35W, 12V, 2__.",,_________ _____,"4,090",0,"4,090",9,
,10191,"10191 _____ ___________ EDI LIGHT, GY6,35, 50W, 12V, _______, 2__.",,_________ _____,"2,100",0,"2,100",9,
,11421,"11421 _____ ____________ ""_____"", 4W (E14), 3000K, 320lm, d=37",,_________ _____,64,9,55,199,
,11422,"11422 _____ ____________ ""_____ __ _____"", 4W (E14), 3000K, 320lm, d=37",,_________ _____,175,0,175,239,
,11461,"11461 _____ ____________, 2,5W (G9), 3000K, 200lm, d=20,  2 __. _ _________",,_________ _____,146,0,146,559,
,11462,"11462 _____ ____________,  2,5W (G9), 4000K, 200lm, d=20, 2 __. _ _________",,_________ _____,195,0,195,559,
,11477,"11477 _____ ____________ A60, 10W (_27) , 3000K, 806lm, d=60",,_________ _____,136,0,136,239,
,11478,"11478 _____ ____________ A60, 12W (_27), 3000K, 1055lm, d=60",,_________ _____,128,0,128,287,
,11481,"11481 _____ ____________ A60, 9,5W (_27),  4000K, 806lm, d=60",,_________ _____,177,5,172,239,
,11482,"11482 _____ ____________ A60, 11W (_27), 4000K, 1055lm, d=60",,_________ _____,151,0,151,287,
,11491,"11491 _____ ____________ ___________ A60, 4W (_27), 2700K, 350lm, d=60",,_________ _____,153,0,153,343,
,11492,"11492 _____ ____________ ___________ ""_____"", 2W (_14), 2700K, 200lm, d=37",,_________ _____,82,0,82,263,
,11493,"11493 _____ ____________ ___________""C____ __ _____"", 2W (_14), 2700K, 200lm, d=37",,_________ _____,85,0,85,263,
,11496,"11496 _____ ____________ ___________ ""C____"", 4W (E14), 2700K, 350lm, d=35",,_________ _____,183,0,183,399,
,11497,"11497 _____ ____________ ___________ ""_____ __ _____"", 4W (_14), 2700K, 350lm, d=35",,_________ _____,183,0,183,399,
,11501,"11501 _____ ____________ ___________ A60, 6W (E27), 2700K, 550lm, d=60",,_________ _____,140,0,140,399,
,11503,"11503 _____ ____________ ___________  G95, 6W (E27), 2700K, 550lm, d=95",,_________ _____,145,0,145,703,
,11514,"11514 _____ ____________, 2,5W (G9), 4000K, 300lm, 2__. _ _________, 300lm",,_________ _____,22,0,22,639,
