GERENCIAMENTO PELAS DIRETRIZES - DATASUL TECNOLOGIA,,,,,,,,,,,
Meta Financeira / Econômica,,,Última Atualização Documento,,,,,,,% Completo das Diretrizes do Diretor,558.2%
,,,9.32 Campanha Audit Trail como BAM,,Marketing & Operações,Marketing,Jun-05,100%,"E030,E716","[JUN/05] - Material do Audit Trail revisado para também foco em BAM.[JUL/05] - Treinamento de vendas gravado para Audit Trail contemplando BAM.Integrará Campanha de Segurança.[AGO/05] - Discurso BAM integrou a campanha de segurança.[SET/05] - Apresentado workshop no Progress Exchange BRASIL.",
,,,"9.32 Ações de Marketing revigorar Data Collection, usando parceiros de hardware e investimento no CTLI",X,Marketing & Operações,Marketing,Dec-05,50%,E220,"[MAI/05] Lançamento CTLI na imprensa.[JUN/05] Programada implantação WMS+DC no CTLI na última semana de junho.[JUN/05] CASE LEARDINI em confecção. Vamos preparar divulgação.[JUL/05] CASE LEARDINI pronto.[SET/05] Em conjunto com Logística realizado evento de capacitação no CTLI das FDIS em SP (pouca adesão).",
,,,9.33 Desenvolver campanhas WEB + Telemarketing para infra-estrutura e pacotes de serviços de consultoria técnica,,Marketing & Operações,Marketing,Dec-05,50%,"E200,E222","Refinar plano em JANEIRO junto com a equipe de serviços.1.OTO; 2.Gerenciamento; 3.Segurança; 4.Pacotes de Consultoria [FEV/05] Campanha OTO+Telemkt. 32 leads gerados. 9 visitas agendadas.[ABR/05] Campanha db.Decision+Telemkt.[JUN/05] Campanha de comunicação integrada para SEGURANÇA até AGOSTO: Seg DB e Aplic / Zero Vulnerabilidades / NON STOP / Audit Trail.[SET/05] Programada para o 4o trimestre campanha para PERFORMANCE: IT Sizing, Performance Tuning, Performance Check-up (LAN, WAN, Servers e Internet Services). TotalManager. db.Decision.",
,,,9.34 Campanha para divulgar expertise em projetos de integração e divisão específica para este fim,,Marketing & Operações,Marketing,Oct-05,20%,E014,"[MAI/05] Inserida palestra no PLANETA DATASUL para apresentar CASE de EAI.[JUN/05] Revisado material de arquitetura DATASUL para apresentar o EAI ",
,,,9.35 Estruturar e divulgar cases de sucesso de serviços e produtos da Tecnologia,,Marketing & Operações,Marketing,Dec-05,50%,"E208,E710","META: 6 cases.[FEV/05] - Case TechData Ok.[MAR/05] - Case M.Cassab Ok.[ABR/05] - Case Guascor - aguardando aprovação.[JUN/05] - Case Leardini Ok.[JUL/05] - Case DEMAG em andamento.",
,,,9.36 Conduzir o programa Clube de Tecnologia e incentivar a força de vendas,X,Marketing & Operações,Marketing,Dec-05,25%,"E108,E700","2005: Ano JEDI.[FEV/05] - 1o flyer.[MAR/05] - Cartaz e Flyer.[ABR/05] Flyer[MAI/05] Flyer e Premio Filme StarWars3. Sucesso Total. [JUN/05] Flyer e ERPMonitor.[JUL/05] Flyer, Campanha Segurança e Pré-Venda JEDI.",
,,,9.37 Campanha para Ofertas de Segurança,,Marketing & Operações,Marketing,Sep-05,100%,E030,"[JUN/05] Campanha de comunicação integrada para SEGURANÇA até AGOSTO: Seg DB e Aplic / Zero Vulnerabilidades / NON STOP / Audit Trail.[JUL/05] Seg DB e Aplic / Zero Vulnerabilidades realizados.",
,,,9.38 Avaliar e reforçar a comunicação da oferta de Arquivologia sobre a base de clientes WebDesk,,Marketing & Operações,Marketing,Oct-05,0%,E018,[JUL/05] Medida criada na Revisão do PE.,
,,,9.39 Campanha para Ofertas de Performance,,Marketing & Operações,Marketing,Dec-05,10%,E030,"[SET/05] Com a estruturação da linha de atuação PERFORMANCE:  IT Sizing, Performance Tuning, Performance Check-up (LAN, WAN, Servers e Internet Services). TotalManager. db.Decision.",
11. Atuar no mercado internacional ,Dec-05,27.0%,11.1 Efetivar a distribuição dos produtos independentes do ERP Datasul no Mercado Internacional através da estrutura de operações internacionais da DATASUL ,,Marketing & Operações,Marketing Internacional,Dec-05,60%,E1052,". 01/03/02 - Tentativa de utilizar o canal Progress, através do Sr. Tex Texin. Ago/02 - Visitas Bravepoint / Profit Key / Foresight / GTR / Trilogy. Dez/02 - Foresight, bravepoint e GTR estão nos planos do Gene Piken dentro de sua estrutura comercial.. Nov/03 - Com entrada do ELEMAR nossa atividade cresceu, fechados pequenos negócios através da Foresight.[MAI/04] - Evento Foresight & Profit Key User Conference.[JUN/04] - Treinamento Foresight no ScreenOptimizer[AGO/04] - Treinamento Alejandro(ARG) em WebDesk. Conheceu db.Decision.[OUT/04] - Pequenas vendas acontecendo com regularidade.[FEV/05] - Esforço nova FDIS CHILE. 2 vendas (Enaex)[ABR/05] - Reaproximação Carlos Atehortua - Progress EUA selecionar canais.",
,,,11.3 Desenvolver campanhas WEB para clientes/prospects internacionais - USA/México,,Marketing & Operações,Marketing Internacional,Dec-05,15%,E1110,"[09/02] Foco no México e mercado de hotéis. Buscar a geração de serviços.[AGO/04] - Falta site para sustentar a campanha WEB.[OUT/04] - Já temos site (argentina, méxico e EUA) porém desatualizados.[MAI/05] Site Chile e EUA revisados - OK para WebDesk.",
,,,"11.4 Concluir a revitalização do KIT DE VENDAS ESPANHOL e INGLÊS com foco nos produtos WebDesk, WebEnabler, Audit Trail, DataViewer e Data Collection",,Marketing & Operações,Marketing Internacional,Dec-05,33%,E1100,"[FEV/04]  Prioridade no Espanhol - México.[MAR/04] PPT Data Collection traduzido.[MAI/04] Folhetos do WebDesk, Audit Trail, Data Viewer e Screen Optimizer foram traduzidos para INGLES. O PPT do WebDesk 2.03 também.[OUT/04] Refizemos folhetos do WebDesk e WebEnabler em Espanhol.[MAR/05] Folheto WebEnabler em Inglês.[MAI/05] revisados folhetos WebDesk, portal, qualidade, ged, workflow, audit trail e data viewer.",
,,,"11.5 Identificar clientes referências para o Webdesk, Data Viewer e Audit Trail, nos EUA, México e Argentina (nesta prioridade)",,Marketing & Operações,Marketing Internacional,May-05,0%,E1010,"[SET/04]  Criado Diretriz Gerencial durante reunião de Alinhamento.",
14. Fortalecer o relacionamento direto com os clientes estratégicos,Dec-05,25.0%,14.1 Promover visitas regulares para relacionamento com os TOP-10 clientes - DATASUL; SHV GÁS; RIOPOL; MRS; FIEB; COPESUL; EMERSON; GRENDENE; BIC; BOSCH REXROTH,X,Marketing & Operações,Operações,Dec-05,25%,E204,"[JAN/05] - Realizado trabalho para manter a Rexroth como cliente DATASUL. Ótima relação com Mario. Oportunidades de serviços de infra.[FEV/05] - Relacionamento com a RIOPOL ok,projetos em andamento.[MAR/05] - Visita da SHV GAS a Joinville.[MAR/05] - COPESUL retoma projeto WebDesk.[MAI/05] - GRENDENE retomado contato por conta de trabalho com a IMPRENSA.",
,,,14.2 Levantamento de necessidades de clientes através de visitas regulares. Recomendação: Levar junto outro executivo de Tecnologia,X,"Produto &Novos Negócios",Novos Negócios,Dec-05,25%,E204,. (01/09/05) Realizada visita Schulz sobre HelpDesk TI.,
15. Evoluir a qualidade dos produtos,Dec-05,46.4%,15.1 Criar indicadores para a função de Ouvidoria,,Marketing & Operações,Ouvidoria,Dec-05,5%,E204,. 20/01/05 - usando ATENDER para registrar ligações.,
,,,15.2 Refinar processo de avaliação da Pesquisa de Satisfação da Assistência Técnica.,,Marketing & Operações,Ouvidoria,Dec-05,0%,E204,"Separar os itens pesquisados conforme o tipo: Não Informado, Produto, Erro de Processo, Atitude do Atendente, Não Tec.",
,,,15.3 Otimizar a utilização de processo de desenvolvimento para desenvolver produtos de qualidade com custo adequado,,Desenvolvimento,Desenvolvimento,Dec-05,15%,E856," => Especificações (Modelos) => Testes de Software => SCM / Clear Case",
,,,15.4 Incorporar a função de WebDesigner no Desenvolvimento,,Desenvolvimento,Desenvolvimento,Dec-04,25%,E854,". 16/09/04 - Conversado com a Novocom (Cleiton) sobre a possibilidade deles estarem executando um trabalho de WebDesigner de forma pontual nos nossos projetos. Eles possuem conhecimento para esta atividade, tendo inclusive participado do WebDesing da V2.00 do Neogrid ECS.O custo/hr varia de R$ 40,00 a R$ 60,00.Vamos utilizar a Novocom de forma pontual conforme necessidade dos projetos, especialmente o WebDesk.. 21/11/04 - Com a contratação do Cleiton pela Corporacação, vamos utilizá-lo nos trabalhos de ergonomia e webdesign.. 17/03/05 - O processo de Ergnomia e WebDesign na metodologia está sendo definida pelo Cleiton (Corporação). Para o desenvolvimento de um Piloto de Ergnomia no WebDesk estaremos contando com o serviço do Richard Faust (UFSC) especialista em Ergonomia. A Contratação dele está sendo feita pelo Cleiton.",
,,,15.5 Acompanhar processo de descontinuidade do Dataviewer 2.02,,Atend. Cli,AST,Mar-05,100%,E026,". 25/11/04 - acompanhando medida com o Gilmar.. 13/09/05 - release descontinuada em 30/06/05, conforme ciclo de vida liberado pela DATASUL.",
,,,"15.6 Acompanhar processo de descontinuidade do Webdesk 2.00, 2.01 e 2.02",,Atend. Cli,AST,Mar-05,100%,E026,". 25/11/04 - acompanhando medida com o Gilmar.. 16/06/05 - criada listagem com a posição atualizada da release de cada cliente. Em reunião com Marketing, Serviços e CRM; selecionamos alguns clientes para contato. Release 2002 - 30/06, release 2.02 - 30/09.. 13/09/05 - release 2.00 descontinuada em 30/06/05, e release 2.01 quando da liberação da 2.04, conforme ciclo de vida liberado pela DATASUL.",
,,,15.7 Reestruturar área e processos de Ouvidoria,,Marketing & Operações,Ouvidoria,Oct-05,80%,E204,". 01/Jul - Nova estrutura.. 15/jul - Definindo procedimentos. Falta finalizar e homologar com as áreas.. 28/set - Documento de procedimentos parcialmente homologado com as áreas, falta fechar com os executivos.",
16. Acompanhar nível de serviço dos nossos fornecedores (internos / externos),Dec-05,60.0%,"16.1 Plano de melhoria / continuidade da área de TI da Tec=> Definição indicadores … métricas …=> Investir em ferramentas de planejamento de mão de obra e projetos …=> Utilizar estrutura de TI da Tech como laboratório para propagação externa … (BS 7799, ITIL, ...)",,Serviços,INFRA SC,Dec-04,100%,E914,". 17/03/04 - Foi aplicado o plano de melhoria e profissionalização da área que agora atende a Tec como cliente, assim como com as demais FDEs. 02/06/04 - Precisamos agora criar alguns indicadores e criar acompanhamento através do TotalManager. 14/09/04 - Trabalhando ainda para conseguir monitoramento dos serviços com indicadores. 24/11/04 - Alguns indicadores sairam, precisamos estabilizar .... 18/05/05 - Sem ação efetiva .... 04/08/05 - Plano constante acompanhando com equipe",
,,,16.2 Implantar SLA com a Exato,,Organização,Organização,Jul-05,50%,"E914,E928",". 21/07/04 - iniciado contatos com o Mario da Exato.. 09/08/04 - estará fechando o SLA com a DATASUL em 11/08, e depois irá nos procurar.. 01/10/04 - enviada contra-proposta para Exato.. 25/11/04 - feita reunião com o Mario e exposta a idéia de body shop para atividades de faturamento, contas a receber, cobrança, fluxo de caixa, contas a pagar, compras. Para RH e contabilidade, continua por serviço controlado por SLA.. 05/01/05 - célula criada e em operação na Exato. A partir de 14/02 será transferida para as instalações da Tec. O Sla das atividades de contabilidade e rh serão discutidos a partir da consolidação desta célula, previsto para abril/05.. 16/06/05 - aguardando Exato para definir valores por atividades.",
,,,16.3 Implantar SLA com o Jurídico,,Organização,Organização,Jul-05,90%,E914,". 09/08/04 - primeiro contato com Marcus. 01/10/04 - enviada contra-proposta para Marcus e aguardando retorno.. 05/01/05 - enviada novos comentários para o Leornado, em cima do contrato que eles enviaram. Aguardando avaliação por parte deles.. 20/04/05 - implantado e está em fase de piloto, por três meses, até junho.",
,,,16.4 Implantar SLA com a EUAX,,Desenvolvimento,Desenvolvimento,Dec-05,0%,E914,"17/03/05 - A corporação está definindo como será o SLA com a Euax.28/04/05 - Soeli está com este assunto pendente, visto que em Abril foi tratado apenas a adaptação ao CMMi",
17. Maximizar a gestão administrativa,Dec-05,54.7%,17.1 Maximizar a gestão administrativa,x,Organização,Organização,Dec-05,25%,E920,. Plano de Ação Contínuo de Organização - Eber,
,,,17.2 Refinar e unificar a matriz de versatilidade + matriz de certificação,,Organização,Organização,Mar-05,100%,E918,". 01/10/04 - levantar as diversas planilhas existentes e unificar numa única, definindo um processo para atualização. Em andamento. 05/01/05 - alinhado com todos os coordenadores e em fase de elaboração da proposta final.. 16/06/05 - refinada e liberada.",
,,,17.3 Criar banco de curriculum no Webdesk,,Organização,Organização,Nov-05,5%,E918,". 25/11/04 - aguardando indexação por conteúdo no webdesk.. 16/06/05 - iniciado projeto junto a área de Sistemas de Informação.",
,,,17.4 Atualizar Planejamento Estratégico para 2005-2008,,Marketing & Operações,Marketing,Feb-05,100%,E920,"[SET/04] - Revisão Planejamento 2004.[NOV/04] - 1as reuniões de levantamento de Oportunidades e Ameaças. 26 a 28/Nov: 2a Fase.[FEV/05] - Fechamento e Divulgação[MAR/05] - Evento de Apresentação em 02 de Março, com 90 paricipantes. ",
,,,17.5 Revisão - Cenários PLANEJAMENTO,,Marketing & Operações,Marketing,Mar-05,100%,E920,MEDIDA CANCELADA.,
,,,17.6 Revisão Semestral PLANEJAMENTO X DIRETRIZES,,Marketing & Operações,Marketing,Jul-05,100%,E920,[AGO/05] Realizado.,
,,,17.7 Atualizar Planejamento Estratégico para 2005-2008 - iniciar processo em OUTUBRO/05,,Marketing & Operações,Marketing,Mar-06,0%,E920,,
,,,17.8 Reestruturação da Arquitetura de Informação e Processos,x,Organização,"Sist.Informação",Dec-05,25%,E920,. Plano de Ação de contínuo de Sistemas de Informação - Mariangela,
,,,17.9 Organizar confraternização de final de ano da empresa,,Organização,Organização,Dec-05,15%,E916,. 16/06/05 - em fase de levantamento do itens necessários para a festa,
,,,17.10 Implementar medidas para melhor gestão de caixa,,Organização,Organização,Dec-05,100%,E922,". 29/10/04 - Criada rotina de reuniões periódicas para avaliação da inadimplência semanal. 05/01/05 - criação do processo de cobrança pró-ativa (ligar 5 dias antes do vencimento, valores acima de R$ 3k e perguntar sobre o pagamento, se recebeu a nota, se tem alguma dúvida, etc.). 16/06/05 - Cobrança pró-ativa em andamento, reunião semanal para acompanhamento da inadimplência, geração semanal de gráficos de acompanhamento.",
,,,17.11 Viabilizar espaço físico adicional ,,Organização,Organização,Mar-05,100%,E924,". 05/01/05 - sendo avaliado um espaço no quinto andar. 20/04/05 - conseguido o antigo ""aquario"" da infraestrutura. Aumento de 31 lugares.",
,,,17.12 Criar visão e missão da área de Organização,,Organização,Organização,Jul-05,5%,E926,. 16/06/05 - discussões iniciais,
,,,"17.13 Criar visão / missão / estruturar por linha de negócio, na equipe de AST.",,Atend. Cli,AST ,Mar-05,100%,E926,". 20/04/05 - criada equipe de Suporte para ECM/Webdesk e outra para ERP Tecnologia. Criado também equipe de Helpdesk para o Webdesk. 09/08/05 - Missão e Visão com draft criado. Em avaliação.. 19/09/05 - Divulgando nas equipes.",
,,,"17.14 Criar visão / missão / estruturar por linha de negócio, na equipe de Suporte DB",,Atend. Cli,Suporte DB,Mar-05,100%,E926,". 16/06/05 - Processo Iniciado.. 09/08/05 - não há necessidade de desmembrar por linha de negócio. Missão e Visão com draft criado. Em avaliação.. 19/09/05 - Divulgando nas equipes.",
,,,17.15 Estruturar equipe de Desenvolvimento por linha de negócio.,,Desenvolvimento,Desenvolvimento,Jun-05,0%,E926,". Devido ao modelo de trabalho por projeto, este item deve ser atendido por uma capacitação (matriz de versatilidade) dos recurso nas linhas de negócio (produto) que atuamos.",
,,,17.16 Maximizar a gestão administrativa da Equipe de Desenvolvimento,,Desenvolvimento,Desenvolvimento,Jun-05,0%,E920,11/07/05 - Implantado o Sistema de Encomendas,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
