,,Copyright 2008 by UE Systems Inc. Patent Pending.,,,, ,,,,,,,,,,,,,,,,,USD,,,,,,,,,,,,
,,This is for the year,2012,,,,,,,,,,,,,,,,,,,,standard,Other,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,Alabama,,,,,,,,,,,
,Cost Calculations,,,,,,,,,,,,,,,,,,,,,,,Alaska,,,,,,,,,,,
,,Location =, New York ,,,,,,,,,,,,,,,,,,,,,Arizona,,,,,,,,,,,
,,Electricity Cost =, $0.12 ,Per kWh,,,,,,,,,,,,,,,,,,,,Arkansas,,,,,,,,,,,
,,Air Cost =, $0.39 ,Per 1000 cu ft,,,,,,,,,,,,,,,,,,,,Califiornia,,,,,,,,,,,
,,Argon Cost =, $26.00 ,Per 1000 cu ft,,,,,,,,,,,,,,,,,,,,Colorado,,,,,,,,,,,
,,Helium Cost =, $106.00 ,Per 1000 cu ft,,Operational Times,,,,,,,,,,,,,,,,,,Connecticut,,,,,,,,,,,
,,Hydrogen Cost =, $16.57 ,Per 1000 cu ft,,Hours Per Day,24,,,,,,,,,,,,,,,,,Delaware,,,,,,,,,,,
,,Other Cost =, $6.18 ,Per 1000 cu ft,,Days Per Year,365,,,,,,,,,,,,,,,,,District of Columbia,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,Florida,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,Georgia,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,Hawaii,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,Idaho,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,Illinois,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,Indiana,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,Iowa,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,Kansas,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,Kentucky,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,Louisiana,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,Maine,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,Maryland,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,Massachusettes,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,Michigan,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,Minnesota,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,Mississippi,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,Missouri,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,Montana,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,Nebraska,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,Nevada,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,New Hampshire,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,New Jersey,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,New Mexico,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,New York,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,North Carolina,,,,,,,,,,,
,,,,,, ,,,,,,,,,,,,,,,,,,North Dakota,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,Ohio,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,Oklahoma,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,Oregon,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,Pennsylvania,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,Rhode Island,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,South Carolina,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,South Dakota,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,Tennesse,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,Texas,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,Utah,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,Vermont,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,Virginia,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,Washington,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,West Virginia,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,Wisconsin,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,Wyoming,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,Austria,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,Belgium,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,Bulgaria,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,Croatia,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,Cyprus,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,Czech Republic,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,Denmark,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,Estonia,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,Finland,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,France,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,Germany,,,,,,,,,,,
