,,,,,,
,PI PADS USING STANDARD VALUE RESISTORS ,,,,,
,,,,,,
,,,R1,,,
,,,,,,
,,,,,,
,,,,,,
,R2,,,,R2,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,dB loss,RL /dB,R1,R2,,
,,(Ideality),,,,
,,,,,,
,0.5 ,>50,3R3,1k8,,
,1.0 ,46,5R6,820R,,
,2.2 ,42,12R,390R,,
,3.1 ,42,18R,270R,,
,3.9 ,38,22R,220R,,
,5.2 ,36,33R,180R,,
,6.1 ,43,39R,150R,,
,7.5 ,38,47R,120R,,
,8.1 ,35,56R,120R,,
,9.6 ,49,68R,100R,,
,12.5 ,47,100R,82R,,
,,,,,,
,,,,,,
,,,,,,
,System Impedance =50ohms,,,,,
,,,,,,
,,,,,,
,,,,http://www.rfshop.co.uk,,
,,,,,,
,,,,,,
,,,,,,
