Row Labels,Sum of Latitude,Sum of Longitude,Sum of Population
"Beijing, China",39.93,116.4,21516000
"Delhi, India",28.67,77.21,16788000
"Guangzhou, China",23.12,113.3,12081000
"Istanbul, Turkey",41.1,29,14657000
"Karachi, Pakistan",24.86,67.01,23500000
"Lagos, Nigeria",6.45,3.47,16060000
"Moscow, Russia",55.75,37.62,12198000
"Mumbai, India",18.96,72.82,12478000
"São Paulo, Brazil",-23.53,-46.63,21292900
"Shanghai, China",31.23,121.5,24256800
"Shenzhen, China",22.55,114.1,10780000
"Tokyo, Japan",35.67,139.8,13298000
Grand Total,304.76,845.6,198905700
