EXAMPLE 11,,,,,,,,,,,,,,,,
"Married couple, two incomes, two children, (under the age of 6)  ",,,,,,,,,,,,,,,,
Taxed under Schedule D ,,,,,,,,,,,,,,,,
GROSS,PRSI Liability,,Levy Liability,,       Tax Liability,,Child Benefit,Total,Total,Gain as % of,,,,,,
INCOME,Existing,Proposed,Existing,Proposed,Existing,Proposed,Increase (a),Gain (b),Gain,Net Income (d),,,,,,
,,,,,,,,(Per Year) ,(Per Week) (c ),,,,,,,
€,€,€,€,€,€,€,€,€,,%,,,,,,
"20,000",643,643,0,0,740,480,180,940,18,4.0,,,,,,
"30,000",900,900,0,0,"2,740","2,480",180,940,18,3.0,,,,,,
"35,000","1,050","1,050",0,0,"3,740","3,480",180,940,18,2.7,,,,,,
"40,000","1,200","1,200",520,520,"4,740","4,480",180,940,18,2.4,,,,,,
"45,000","1,350","1,350",585,585,"5,740","5,480",180,940,18,2.2,,,,,,
"50,000","1,500","1,500",650,650,"6,740","6,480",180,940,18,2.0,,,,,,
"60,000","1,800","1,800",780,780,"8,740","8,480",180,940,18,1.7,,,,,,
"70,000","2,100","2,100","1,400",910,"12,060","11,005",180,"2,225",43,3.7,,,,,,
"80,000","2,400","2,400","1,600","1,600","16,260","15,000",180,"1,940",37,3.0,,,,,,
"100,000","3,000","3,000","2,000","2,000","24,660","23,200",180,"2,140",41,2.8,,,,,,
"120,000","3,600","3,600","2,400","2,400","33,060","31,400",180,"2,340",45,2.7,,,,,,
"200,000","6,000","6,000","4,000","4,150","66,660","64,200",180,"2,991",58,2.3,,,,,,
,,,,,,,,,,,,,,,,
This example assumes that the joint income is divided 65% and 35% between spouses.,,,,,,,,,,,,,,,,
Variations can arise due to rounding,,,,,,,,,,,,,,,,
"(a)  Value during 2007 of the increase in Child Benefit (CB) made in the Budget, which is effective from April, 2007 (i.e. assuming 9 months of CB increase).",,,,,,,,,,,,,,,,
(b) Includes payment of an additional quarter of ECS (€250 per child) in 2007 as compared with 2006,,,,,,,,,,,,,,,,
(c) Gains per week are based on a 52 week year,,,,,,,,,,,,,,,,
"(d) Net income includes CB and ECS less deductions of tax, levy and PRSI (where appropriate) and so may be higher than the gross income.",,,,,,,,,,,,,,,,
