SYMBOL_RTS,SYMBOL_EXCH_TICKER,ISIN,ENUM_CURRENCY,INSTR_LOCAL_TYPE,INSTR_LOCAL_TYPE_CONVERTED,INCORPORATION_COUNTRY,UNDERLYING_ISIN,INSTR_NAME2,MIC_CODE,INSTR_LOCAL_TYPE2,STRIKE_PRICE,URL,NAMEEXSHARE,NAMEWM
P:HI60G,HI60G,NL0011622006,,303,Exotic warrant,NLD,FR0003500008,CAC40 4264TPIOPENG,XPAR,RWXXXX,,https://euronext.com/products/warrants-certificates/NL0011622006-XPAR/market-information,ING BANK NV OPEN-END K/O P/W (CAC 40),"ING Bank N.V. TurboP O.End CAC40 4264,18"
P:HI64G,HI64G,NL0011622048,,303,Exotic warrant,NLD,USFX00000XGA,SILVE   15SPLOPENG,XAMS,RWXXXX,,https://euronext.com/products/warrants-certificates/NL0011622048-XAMS/market-information,ING BANK NV OPEN-END K/O CT (SILVER),ING Bank N.V. SprinL O.End Silber 15
P:HI65G,HI65G,NL0011622055,,303,Exotic warrant,NLD,,OILCR 32.7SPSOPENG,XAMS,RWXXXX,,https://euronext.com/products/warrants-certificates/NL0011622055-XAMS/market-information,ING BANK NV OPEN-END K/O CT (NYMEX LS),"ING Bank N.V. SprinS O.End Li.Sw.Cr 32,7"
P:HI72G,HI72G,NL0011622121,,303,Exotic warrant,NLD,NL0000000107,AEX  420.4SPSOPENG,XAMS,RWXXXX,,https://euronext.com/products/warrants-certificates/NL0011622121-XAMS/market-information,ING BANK NV OPEN-END K/O CT (AEX),"ING Bank N.V. SprinS O.End AEX 420,42"
P:HI61G,HI61G,NL0011622014,,303,Exotic warrant,NLD,FR0003500008,CAC40 4323TPIOPENG,XPAR,RWXXXX,,https://euronext.com/products/warrants-certificates/NL0011622014-XPAR/market-information,ING BANK NV OPEN-END K/O P/W (CAC 40),"ING Bank N.V. TurboP O.End CAC40 4322,78"
P:HI67G,HI67G,NL0011622071,,303,Exotic warrant,NLD,NL0000337319,BAM  3.727SPLOPENG,XAMS,RWXXXX,,https://euronext.com/products/warrants-certificates/NL0011622071-XAMS/market-information,ING BANK NV OPEN-END K/O CT (KON BAM G),"ING Bank N.V. SprinL O.End K.BAM 3,727"
P:HI66G,HI66G,NL0011622063,,303,Exotic warrant,NLD,,BRENT 35.3SPSOPENG,XAMS,RWXXXX,,https://euronext.com/products/warrants-certificates/NL0011622063-XAMS/market-information,ING BANK NV OPEN-END K/O CT (ICE BRENT),"ING Bank N.V. SprinS O.End BrentCr. 35,3"
P:HI71G,HI71G,NL0011622113,,303,Exotic warrant,NLD,NL0000000107,AEX  419.4SPSOPENG,XAMS,RWXXXX,,https://euronext.com/products/warrants-certificates/NL0011622113-XAMS/market-information,ING BANK NV OPEN-END K/O CT (AEX),"ING Bank N.V. SprinS O.End AEX 419,36"
P:HI73G,HI73G,NL0011622139,,303,Exotic warrant,NLD,DE0008469008,DAX   9431SPSOPENG,XAMS,RWXXXX,,https://euronext.com/products/warrants-certificates/NL0011622139-XAMS/market-information,ING BANK NV OPEN-END K/O CT (DAX),"ING Bank N.V. SprinS O.End DAX 9431,01"
P:HI74G,HI74G,NL0011622147,,303,Exotic warrant,NLD,DE0008469008,DAX   9478SPSOPENG,XAMS,RWXXXX,,https://euronext.com/products/warrants-certificates/NL0011622147-XAMS/market-information,ING BANK NV OPEN-END K/O CT (DAX),"ING Bank N.V. SprinS O.End DAX 9478,41"
P:HI68G,HI68G,NL0011622089,,303,Exotic warrant,NLD,NL0000337319,BAM  3.467SPLOPENG,XAMS,RWXXXX,,https://euronext.com/products/warrants-certificates/NL0011622089-XAMS/market-information,ING BANK NV OPEN-END K/O CT (KON BAM G),"ING Bank N.V. SprinL O.End K.BAM 3,467"
P:HI59G,HI59G,NL0011621990,,303,Exotic warrant,NLD,,BRENT35.62TPIOPENG,XPAR,RWXXXX,,https://euronext.com/products/warrants-certificates/NL0011621990-XPAR/market-information,ING BANK NV OPEN-END K/O P/W (ICE BREN),"ING Bank N.V. TurboP O.End BrentCr. 35,62"
P:HI63G,HI63G,NL0011622030,,303,Exotic warrant,NLD,,GOLD  1205SPLOPENG,XAMS,RWXXXX,,https://euronext.com/products/warrants-certificates/NL0011622030-XAMS/market-information,ING BANK NV OPEN-END K/O CT (GOLD),ING Bank N.V. SprinL O.End Gold 1205
P:HI75G,HI75G,NL0011622154,,303,Exotic warrant,NLD,DE0008469008,DAX   9574SPSOPENG,XAMS,RWXXXX,,https://euronext.com/products/warrants-certificates/NL0011622154-XAMS/market-information,ING BANK NV OPEN-END K/O CT (DAX),"ING Bank N.V. SprinS O.End DAX 9573,92"
P:HI70G,HI70G,NL0011622105,,303,Exotic warrant,NLD,NL0000000107,AEX  418.3SPSOPENG,XAMS,RWXXXX,,https://euronext.com/products/warrants-certificates/NL0011622105-XAMS/market-information,ING BANK NV OPEN-END K/O CT (AEX),"ING Bank N.V. SprinS O.End AEX 418,31"
P:HI62G,HI62G,NL0011622022,,303,Exotic warrant,NLD,DE0008469008,DAX   9510TPIOPENG,XPAR,RWXXXX,,https://euronext.com/products/warrants-certificates/NL0011622022-XPAR/market-information,ING BANK NV OPEN-END K/O P/W (DAX),"ING Bank N.V. TurboP O.End DAX 9509,98"
P:HI69G,HI69G,NL0011622097,,303,Exotic warrant,NLD,NL0000337319,BAM   4.78SPSOPENG,XAMS,RWXXXX,,https://euronext.com/products/warrants-certificates/NL0011622097-XAMS/market-information,ING BANK NV OPEN-END K/O CT (KON BAM G),"ING Bank N.V. SprinS O.End K.BAM 4,78"
P:HI76G,HI76G,NL0011622162,,303,Exotic warrant,NLD,EU0009652759,EUUSD1.121SPSOPENG,XAMS,RWXXXX,,https://euronext.com/products/warrants-certificates/NL0011622162-XAMS/market-information,ING BANK NV OPEN-END K/O CT (EUR/USD),"ING Bank N.V. SprinS O.End EO/DL 1,121"
