DA Values,,,,,,,
,Ref,Sample,_DA,absolute _DA,score,,
Sample 1,63,71,8,8,2,,
Sample 2,54,62,8,8,2,,
Sample 3,65,60,-5,5,3.5,,
Sample 4,,,,,,,
Sample 5,,,,,,,
Sample 6,,,,,,,
Sample 7,,,,,,,
Sample 8,,,,,,,
Sample 9,,,,,,,
Sample 10,,,,,,,
,,,,,2.5,,
,,,,,,,
DA Table (all),,DA Table (Y),,,,,
0.00,5,0,5,,,,
1.00,5,1,5,,,,
4.00,4,4,4,,,,
5.00,3.5,5,3.5,,,,
6.00,3.25,6,3.25,,,,
7.00,3,7,3,,,,
8.00,2,8,2,,,,
9.00,1,9,1,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
Full Score,,DE Values,,,,,
3.86,,,_E,DE100 score,DE50 score,,
,,Sample 1,1.03,4.5,,,
,,Sample 1,3.36,,3,,
,,Sample 2,1.40,4.5,,,
,,Sample 2,2.53,,3,,
,,Sample 3,0.83,4.5,,,
,,Sample 3,1.57,,4,,
,,Sample 4,,,,,
,,Sample 4,,,,,
,,Sample 5,,,,,
,,Sample 5,,,,,
,,Sample 6,,,,,
,,Sample 6,,,,,
,,Sample 7,,,,,
,,Sample 7,,,,,
,,Sample 8,,,,,
,,Sample 8,,,,,
,,Sample 9,,,,,
,,Sample 9,,,,,
,,Sample 10,,,,,
,,Sample 10,,,,,
,,,,4.5,3.333333333,,
,,DE100 Table,,DE50 Table,,,
,,0.00,5,0.00,5,,
,,0.76,4.5,0.76,4.5,,
,,1.51,4,1.51,4,,
,,2.01,3.5,2.01,3.5,,
,,2.51,3,2.51,3,,
,,3.26,2,3.51,2,,
,,4.01,1,4.01,1.5,,
,,,,4.26,1,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
