Values,,Highlight +ve,Highlight 10-30,Data Bars,Colours R->G,Colours BWR,Icons - Default,Icons - 3 signs,Icons - 3 traffic lights 2,Icons - 4 traffic lights,Icons - 3 symbols,Icons - 3 flags,Icons - 3 symbols 2,Icons - 3 arrows,Icons - 5 arrows grey,Icons - 3 stars (ext),Icons - 4 ratings,Icons - 5 ratings,Custom Icon+Format,Mixed icons
1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
10,,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
15,,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
20,,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
25,,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25
30,,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30
34,,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34
35,,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35
40,,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40
50,,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50
25,,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25
0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-1,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-2,,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2
-5,,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
-10,,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10
