"<jx:forEach items=""${departments}"" var=""department"">",,,,
Department,${department.name},,,
Employees,,,,
Name,Payment,Bonus,Total,
"<jx:forEach items=""${department.staff}"" var=""employee"">",,,,
${employee.name},${employee.payment},${employee.bonus},$[B6*(1+C6)],${hssfRow.rowNum}
</jx:forEach>,,,,
Totals:,$[SUM(B6)],,${hssfRow.rowNum},
</jx:forEach>,,,,
,,,,
${sheet.getHeader().setLeft('Test Left Header')},,,,
${sheet.getHeader().setCenter(itDepartment.name)},,,,
${sheet.getHeader().setRight('Test Right Header')},,,,
${sheet.getFooter().setCenter('Test Center Footer')},,,,
${sheet.getFooter().setRight('Test Right Footer')},,,,
,,,,
${hssfRow.rowNum},,,,
