EmailXpenC,,,Login id,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Standard Excel,Version 1,,Pictures from sheets,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,THIS SHEET IS USED ONLY FOR UPLOADING EXPENSES INTO CONCUR. LINK TO THIS SHEETS REQUIRED INFORMATION FROM OTHER SHEETS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Header,Label,Name,Date,Business Purpose,Comment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,XML Element,Name,UserDefinedDate,Purpose,Comment,OrgUnit1,OrgUnit2,OrgUnit3,OrgUnit4,OrgUnit5,OrgUnit6,Custom1,Custom2,Custom3,Custom4,Custom5,Custom6,Custom7,Custom8,Custom9,Custom10,Custom11,Custom12,Custom13,Custom14,Custom15,Custom16,Custom17,Custom18,Custom19,Custom20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Data,Expense Report name,3/25/17,Example business purpose,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Entries,Label,Expense type,Transaction Date,Business Purpose,Amount,Currency Code,Location,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,XML Element,ExpKey,TransactionDate,Description,TransactionAmount,CrnCode,Location,ExchangeRate,Comment,VendorDescription,IsPersonal,PaymentType,OrgUnit1,OrgUnit2,OrgUnit3,OrgUnit4,OrgUnit5,OrgUnit6,Custom1,Custom2,Custom3,Custom4,Custom5,Custom6,Custom7,Custom8,Custom9,Custom10,Custom11,Custom12,Custom13,Custom14,Custom15,Custom16,Custom17,Custom18,Custom19,Custom20,Custom21,Custom22,Custom23,Custom24,Custom25,Custom26,Custom27,Custom28,Custom29,Custom30,Custom31,Custom32,Custom33,Custom34,Custom35,Custom36,Custom37,Custom38,Custom39,Custom40,Attachment_short,Attachment,ItemizationRow
,Expense Row,,,,,,,,,,,  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Expense Row,Taxi,,,1.00,,,,,,,  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sample.pdf,
,Expense Row,Taxi,,,2.00,,,,,,,  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IMG_2664.JPG,
,Expense Row,Taxi,,,3.00,,,,,,,  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kalastuslupa_jiyjhnj_yuiyuiyuio_uyte_sldfsdfsdf_sfsdfsdf_sfsssfsf_sdfsdfsdfsdf_sdfsdfsdf.pdf,
,Expense Row,Taxi,,,4.00,,,,,,,  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,mobile-phone-in-hand-1307593-m.jpg,
,Expense Row,,,,,,,,,,,  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Expense Row,,,,,,,,,,,  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Expense Row,,,,,,,,,,,  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Expense Row,,,,,,,,,,,  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
