,,,,Copyright 2008 by UE Systems Inc. Patent Pending.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Air,COMPRESSED GAS LOSS GUESS-TIMATOR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Argon,"Procedure for using the UE SYSTEMS INC. ULTRAPROBE 3000, 9000 or 10000 to locate and roughly measure gas leakage in compressed gas systems.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Helium,Use the Scanning Module to conduct the broad scanning and to pinpoint the gas leaks. The Scanning Module with the rubber focusing probe should be held 15 inches away from the point of the leakage.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hydrogen,Notice:  The values presented in the tables are not stated as factual CFM measurements.  These tables are provided solely for convenience and should only be used as a general guideline.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other,"* Factors such as turbulence, leak orifice configuration, pressure, moisture and instrument sensitivity can affect your results *",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,All Readings are Compensated for Atmospheric Pressure,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,FLOW RATE CHART - CFM,,,,,,,,,,,,,,Air,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Sensitivity,150 PSI,,125PSI,,100 PSI,,75 PSI,,50 PSI,,25 PSI,,10 PSI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,dB Reading,Leak Rate,Cost,Leak Rate,Cost,Leak Rate,Cost,Leak Rate,Cost,Leak Rate,Cost,Leak Rate,Cost,Leak Rate, Cost ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1.00,0.03, $6.16 ,0.02, $4.15 ,0.01, $2.91 ,0.01, $1.70 ,0.00, $0.64 ,$0.00 , $0.21 ,0.00, $0.08 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2.00,0.07, $14.88 ,0.05, $10.51 ,0.04, $7.67 ,0.02, $4.81 ,0.01, $2.07 ,$0.00 , $0.78 ,0.00, $0.35 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
