Client,AXA DE (AC),AXA,Evergreen,Eaton Vance,GIC,Instruct (AXA) ,Instruct (IAMSA) ,AXA DE (IM) ,Lazard ,Norges ,NACC1 ,Post ,AXA DE (RB) ,Investec South Africa ,SSGA ,SWIP ,
Symbol,AC,AX,EG,EV,GI,IA,II,IM,LA,NO,N1,PO,RB,SA,SS,SW,
,,,,,,,,,,,,,,,,,
Test Plan,Australia GST,ACKNAK,Carveout,ETSETN,EPUI,Intercarveout,Instruct,MFOP,Price Marker,Smoke Test,Term Deposit,TP Rules,WIM GUI ,,,,
Symbol,AG,AN,CO,EE,EP,IC,IN,MF,PM,ST,TD,TP,WM,,,,
,,,,,,,,,,,,,,,,,
Investment Type,ABS,Cash Injection,Cash Transfer,Cash Withdrawal,Equity,Fixed Income,Future,Forward,MBS,Mutual Fund / MFOP,Option,Right,Spot,Repurchase Agreement (Repo) / Short Term,Term Deposit,Unit Trust,Warrant
Symbol,AB,CI,CT,CW,EQ,FI,FT,FW,MB,MF,OP,RT,SP,ST,TD,UT,WT
,,,,,,,,,,,,,,,,,
Transaction Type,Buy,Sell,Cancel,,,,,,,,,,,,,,
Symbol,B,S,C,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Test Type,Straight Thru Processing,Exception Processing,,,,,,,,,,,,,,,
Symbol,S,E,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Cycle,"Trade File Creation, Upload and Verification",Trade File Creation and Upload Only,Trade File Verification Only,Do Not Run Case,Execution Passed (Do not run case),,,,,,,,,,,,
Symbol,F,1,2,N,EP,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
