,Sheet Comment:,Tests for the FIXED function.,,,
,,,,,
,Formula,Expected Result,Comment,,
,,,,,
,1234.57,1234.57,thousands separator,,
,"1,234.57","1,234.57",,,
,2,2,rounding,,
,1,1,,,
,2,2,,,
,1,1,,,
,1234.5678900,1234.5678900,fractional digits,,
,1235,1235,,,
,1230,1230,,,
,"1,234.57","1,234.57",less than three agruments,,
,"1,234.568","1,234.568",,,
,#VALUE!,#VALUE!,invalid arguments,,
,#VALUE!,#VALUE!,,,
,#VALUE!,#VALUE!,,,
,1000.00,1000.00,strange arguments,,
,"1,000.00","1,000.00",,,
,1.234567890123450,1.234567890123450,corner cases,,
,100,100,,,
,0,0,,,
,100,100,rounding propagation,,
<end>,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
