String,This is a string,,,,,,,
integer,13,,,,,,,
float,13.12112313,,,,,,,
currency, $3.03 ,,,,,,,
percent,20%,,,,,,,
float 2,13.12,,,,,,,
long int,1.23457E+14,,,,,,,
longer int,1.23457E+15,,,,,,,
fraction, 1/4,,,,,,,
date,3/9/17,,,,,,,
comment,contents,,,,,,,
hyperlink,tika_link,,,,,,,
formula,4,2,,,,,,
formulaErr,#NAME?,,,,,,,
formulaFloat,0.5,,March,April,,,,
customFormat1,   46/1963,merchant1,1,3,,,,
customFormat2,  3/128,merchant2,2,4,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,text test,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,the,,,,,,,
,,,,,,,,
,,,,,,,,
,the,,quick,,,,,
,,,,,,,,
,comment6,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
