ExpenseTypes,,PaymentTypes,,Currencies,,AttendeeTypes,,LoginIDs,,ImageFileNames,
Local Name,Key,Local Name,Key,Local Name,Key,Local Name,Key,Local Name,key,Original,Short
Taxi,Taxi,Cash,Cash,USD,USD,Business Guest,Business Guest,my login,my login,,
Hotel,Hotel,,,EUR,EUR,,,,,,
Attendee,Attendee,,,CAD,CAD,,,,,,
,,,,CNY,CNY,,,,,,
,,,,JPY,JPY,,,,,,
,,,,AED,AED,,,,,,
,,,,AFN,AFN,,,,,,
,,,,ALL,ALL,,,,,,
,,,,AMD,AMD,,,,,,
,,,,ANG,ANG,,,,,,
,,,,AOA,AOA,,,,,,
,,,,ARS,ARS,,,,,,
,,,,AUD,AUD,,,,,,
,,,,AWG,AWG,,,,,,
,,,,AZN,AZN,,,,,,
,,,,BAM,BAM,,,,,,
,,,,BBD,BBD,,,,,,
,,,,BDT,BDT,,,,,,
,,,,BGN,BGN,,,,,,
,,,,BHD,BHD,,,,,,
,,,,BIF,BIF,,,,,,
,,,,BND,BND,,,,,,
,,,,BOB,BOB,,,,,,
,,,,BRL,BRL,,,,,,
,,,,BSD,BSD,,,,,,
,,,,BTN,BTN,,,,,,
,,,,BWP,BWP,,,,,,
,,,,BYR,BYR,,,,,,
,,,,BZD,BZD,,,,,,
,,,,CAD,CAD,,,,,,
,,,,CDF,CDF,,,,,,
,,,,CHF,CHF,,,,,,
,,,,CLP,CLP,,,,,,
,,,,CNY,CNY,,,,,,
,,,,COP,COP,,,,,,
,,,,CRC,CRC,,,,,,
,,,,CUC,CUC,,,,,,
,,,,CVE,CVE,,,,,,
,,,,CZK,CZK,,,,,,
,,,,DJF,DJF,,,,,,
,,,,DKK,DKK,,,,,,
,,,,DOP,DOP,,,,,,
,,,,DZD,DZD,,,,,,
,,,,EEK,EEK,,,,,,
,,,,EGP,EGP,,,,,,
,,,,ERN,ERN,,,,,,
,,,,ETB,ETB,,,,,,
,,,,EUR,EUR,,,,,,
,,,,FJD,FJD,,,,,,
,,,,FKP,FKP,,,,,,
,,,,GBP,GBP,,,,,,
,,,,GEL,GEL,,,,,,
,,,,GHS,GHS,,,,,,
,,,,GIP,GIP,,,,,,
,,,,GMD,GMD,,,,,,
,,,,GNF,GNF,,,,,,
,,,,GQE,GQE,,,,,,
,,,,GTQ,GTQ,,,,,,
,,,,GYD,GYD,,,,,,
,,,,HKD,HKD,,,,,,
,,,,HNL,HNL,,,,,,
,,,,HRK,HRK,,,,,,
,,,,HTG,HTG,,,,,,
,,,,HUF,HUF,,,,,,
,,,,IDR,IDR,,,,,,
,,,,ILS,ILS,,,,,,
,,,,INR,INR,,,,,,
,,,,IQD,IQD,,,,,,
,,,,IRR,IRR,,,,,,
,,,,ISK,ISK,,,,,,
,,,,JMD,JMD,,,,,,
,,,,JOD,JOD,,,,,,
,,,,JPY,JPY,,,,,,
,,,,KES,KES,,,,,,
,,,,KGS,KGS,,,,,,
,,,,KHR,KHR,,,,,,
,,,,KMF,KMF,,,,,,
,,,,KPW,KPW,,,,,,
,,,,KWD,KWD,,,,,,
,,,,KYD,KYD,,,,,,
,,,,KZT,KZT,,,,,,
,,,,LAK,LAK,,,,,,
,,,,LBP,LBP,,,,,,
,,,,LKR,LKR,,,,,,
,,,,LRD,LRD,,,,,,
,,,,LSL,LSL,,,,,,
,,,,LTL,LTL,,,,,,
,,,,LYD,LYD,,,,,,
,,,,MAD,MAD,,,,,,
,,,,MDL,MDL,,,,,,
,,,,MGA,MGA,,,,,,
,,,,MKD,MKD,,,,,,
,,,,MMK,MMK,,,,,,
,,,,MNT,MNT,,,,,,
,,,,MOP,MOP,,,,,,
,,,,MRO,MRO,,,,,,
,,,,MUR,MUR,,,,,,
,,,,MWK,MWK,,,,,,
,,,,MVR,MVR,,,,,,
,,,,MXN,MXN,,,,,,
,,,,MYR,MYR,,,,,,
,,,,MZM,MZM,,,,,,
,,,,NAD,NAD,,,,,,
,,,,NGN,NGN,,,,,,
,,,,NIO,NIO,,,,,,
,,,,NOK,NOK,,,,,,
,,,,NPR,NPR,,,,,,
,,,,NZD,NZD,,,,,,
,,,,OMR,OMR,,,,,,
,,,,PAB,PAB,,,,,,
,,,,PEN,PEN,,,,,,
,,,,PGK,PGK,,,,,,
,,,,PHP,PHP,,,,,,
,,,,PKR,PKR,,,,,,
,,,,PLN,PLN,,,,,,
,,,,PYG,PYG,,,,,,
,,,,QAR,QAR,,,,,,
,,,,RON,RON,,,,,,
,,,,RSD,RSD,,,,,,
,,,,RUB,RUB,,,,,,
,,,,RWF,RWF,,,,,,
,,,,SAR,SAR,,,,,,
,,,,SBD,SBD,,,,,,
,,,,SCR,SCR,,,,,,
,,,,SDG,SDG,,,,,,
,,,,SEK,SEK,,,,,,
,,,,SGD,SGD,,,,,,
,,,,SHP,SHP,,,,,,
,,,,SKK,SKK,,,,,,
,,,,SLL,SLL,,,,,,
,,,,SOS,SOS,,,,,,
,,,,SRD,SRD,,,,,,
,,,,STD,STD,,,,,,
,,,,SYP,SYP,,,,,,
,,,,SZL,SZL,,,,,,
,,,,THB,THB,,,,,,
,,,,TJS,TJS,,,,,,
,,,,TMM,TMM,,,,,,
,,,,TND,TND,,,,,,
,,,,TOP,TOP,,,,,,
,,,,TRY,TRY,,,,,,
,,,,TTD,TTD,,,,,,
,,,,TWD,TWD,,,,,,
,,,,TZS,TZS,,,,,,
,,,,UAH,UAH,,,,,,
,,,,UGX,UGX,,,,,,
,,,,USD,USD,,,,,,
,,,,UYU,UYU,,,,,,
,,,,UZS,UZS,,,,,,
,,,,VEB,VEB,,,,,,
,,,,VND,VND,,,,,,
,,,,WST,WST,,,,,,
,,,,VUV,VUV,,,,,,
,,,,XAF,XAF,,,,,,
,,,,XCD,XCD,,,,,,
,,,,XDR,XDR,,,,,,
,,,,XOF,XOF,,,,,,
,,,,XPF,XPF,,,,,,
,,,,YER,YER,,,,,,
,,,,ZAR,ZAR,,,,,,
,,,,ZMK,ZMK,,,,,,
,,,,ZWD,ZWD,,,,,,
