,,,,,,,,
SELECT Something,,,,,,,,
Alabama,,,,,,,,
,,,,,,,,1
Alabama Matching List,,,,,,,,1
,,,,,,,,
Name & Number,,Some Total,A factor,Another Total,Another factor,% of something,%*another factor,1
name1 - 101,,"3,210",67,"214,546",586.2,0.2%,0.9,1
name2 - 102,,"1,258",94,"118,407",323.5,0.3%,1.0,1
name3 - 103,,"1,158",59,"68,371",186.8,1.0%,1.8,1
name4 - 104,,"1,026",91,"93,742",256.1,0.4%,1.0,1
name5 - 105,,938,94,"87,954",240.3,0.5%,1.2,1
name6 - 106,,876,90,"79,029",215.9,0.2%,0.3,1
name7 - 107,,847,89,"75,187",205.4,0.2%,0.4,1
name8 - 108,,777,92,"71,245",194.7,0.1%,0.2,1
name9 - 109,,680,74,"50,217",137.2,0.6%,0.8,1
name10 - 110,,647,41,"26,794",73.2,10.4%,7.6,1
name11 - 111,,610,85,"52,031",142.2,0.3%,0.4,1
name12 - 112,,563,105,"59,311",162.1,0.4%,0.6,1
name13 - 113,,557,60,"33,461",91.4,2.7%,2.5,1
name14 - 114,,523,58,"30,501",83.3,5.9%,4.9,1
name15 - 115,,485,65,"31,650",86.5,2.0%,1.7,1
name16 - 116,,457,74,"33,998",92.9,0.8%,0.7,1
name17 - 117,,439,66,"28,991",79.2,0.5%,0.4,1
name18 - 118,,429,92,"39,634",108.3,0.2%,0.2,1
name19 - 119,,400,56,"22,219",60.7,1.6%,1.0,1
name20 - 120,,380,108,"41,018",112.1,0.5%,0.6,1
name21 - 121,,374,65,"24,208",66.1,0.8%,0.5,1
name22 - 122,,370,84,"31,200",85.2,0.6%,0.5,1
name23 - 123,,359,63,"22,561",61.6,0.2%,0.1,1
name24 - 124,,345,80,"27,440",75.0,0.1%,0.1,1
name25 - 125,,341,71,"24,374",66.6,0.2%,0.1,1
name26 - 126,,333,65,"21,708",59.3,0.7%,0.4,1
name27 - 127,,323,81,"26,247",71.7,0.7%,0.5,1
name28 - 128,,322,75,"24,006",65.6,0.1%,0.1,1
name29 - 129,,321,81,"25,985",71.0,0.0%,0.0,1
name30 - 130,,316,67,"21,239",58.0,1.2%,0.7,1
name31 - 131,,302,85,"25,745",70.3,0.4%,0.3,1
name32 - 132,,289,90,"26,016",71.1,1.1%,0.8,1
name33 - 133,,280,65,"18,257",49.9,1.0%,0.5,1
name34 - 134,,263,80,"20,940",57.2,0.5%,0.3,1
name35 - 135,,251,90,"22,470",61.4,0.2%,0.1,1
name36 - 136,,250,75,"18,695",51.1,0.9%,0.5,1
name37 - 137,,249,104,"26,007",71.1,0.1%,0.1,1
name38 - 138,,243,93,"22,646",61.9,0.3%,0.2,1
name39 - 139,,242,108,"26,152",71.5,0.9%,0.6,1
name40 - 140,,236,68,"15,949",43.6,1.1%,0.5,1
name41 - 141,,231,73,"16,819",46.0,1.4%,0.6,1
name42 - 142,,230,66,"15,179",41.5,0.2%,0.1,1
name43 - 143,,224,119,"26,717",73.0,0.2%,0.2,1
name44 - 144,,223,84,"18,831",51.5,0.2%,0.1,1
name45 - 145,,220,84,"18,424",50.3,0.1%,0.1,1
name46 - 146,,214,109,"23,250",63.5,2.4%,1.5,1
name47 - 147,,211,90,"18,959",51.8,0.2%,0.1,1
name48 - 148,,210,130,"27,309",74.6,0.2%,0.2,1
name49 - 149,,210,82,"17,298",47.3,0.1%,0.0,1
name50 - 150,,202,96,"19,377",52.9,0.1%,0.1,1
name51 - 151,,202,82,"16,548",45.2,0.8%,0.4,1
name52 - 152,,197,81,"15,932",43.5,0.5%,0.2,1
name53 - 153,,193,79,"15,226",41.6,0.0%,0.0,1
name54 - 154,,192,129,"24,757",67.6,0.0%,0.0,1
name55 - 155,,186,81,"15,078",41.2,0.3%,0.1,1
name56 - 156,,176,82,"14,348",39.2,0.1%,0.0,1
name57 - 157,,172,54,"9,279",25.4,1.1%,0.3,1
name58 - 158,,170,104,"17,696",48.3,0.1%,0.0,1
name59 - 159,,164,85,"13,944",38.1,0.6%,0.2,1
name60 - 160,,163,69,"11,209",30.6,0.9%,0.3,1
name61 - 161,,159,113,"17,929",49.0,0.1%,0.0,1
name62 - 162,,157,61,"9,598",26.2,0.3%,0.1,1
name63 - 163,,155,135,"20,888",57.1,0.0%,0.0,1
name64 - 164,,151,110,"16,624",45.4,0.3%,0.2,1
name65 - 165,,147,70,"10,297",28.1,0.1%,0.0,1
name66 - 166,,146,114,"16,634",45.4,0.6%,0.3,1
name67 - 167,,144,79,"11,399",31.1,0.2%,0.1,1
name68 - 168,,140,110,"15,434",42.2,0.1%,0.0,1
name69 - 169,,136,76,"10,280",28.1,0.3%,0.1,1
name70 - 170,,136,79,"10,809",29.5,0.3%,0.1,1
name71 - 171,,133,81,"10,731",29.3,0.1%,0.0,1
name72 - 172,,132,104,"13,757",37.6,0.0%,0.0,1
name73 - 173,,128,104,"13,302",36.3,0.8%,0.3,1
name74 - 174,,128,63,"8,059",22.0,0.2%,0.0,1
name75 - 175,,127,103,"13,055",35.7,0.2%,0.1,1
name76 - 176,,125,89,"11,114",30.4,0.0%,0.0,1
name77 - 177,,124,54,"6,670",18.2,0.0%,0.0,1
name78 - 178,,123,83,"10,207",27.9,0.8%,0.2,1
name79 - 179,,121,65,"7,894",21.6,0.0%,0.0,1
name80 - 180,,113,82,"9,212",25.2,0.7%,0.2,1
name81 - 181,,110,63,"6,941",19.0,0.2%,0.0,1
name82 - 182,,110,97,"10,646",29.1,0.2%,0.1,1
name83 - 183,,107,78,"8,364",22.9,0.0%,0.0,1
name84 - 184,,105,104,"10,953",29.9,0.0%,0.0,1
name85 - 185,,105,94,"9,897",27.0,0.1%,0.0,1
name86 - 186,,102,93,"9,505",26.0,0.4%,0.1,1
name87 - 187,,101,102,"10,256",28.0,0.3%,0.1,1
name88 - 188,,101,71,"7,180",19.6,0.4%,0.1,1
