"Focus area:23-Public Health Infrastructure - April 16, 2008",,,,,,,,,,,,,
,,,,,,,,,,,,,
                                                        ,Baseline,        ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,Target
       Objective                                        ,Year    ,Baseline,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2010  
,,,,,,,,,,,,,
23-1    Public health employee access to the Internet,,,,,,,,,,,,,
            [Deleted at Midcourse Review],---,---,---,---,---,---,---,---,---,---,---,---,---
                                                        ,,,,,,,,,,,,,
23-2    Access to information on health indicators based,,,,,,,,,,,,,
            on Healthy People 2010 objectives, , , , , , , , , , , , , 
             (Federal) ,2007,100%,NA,NA,NA,NA,NA,NA,NA,NA,NA,BSL,TBD
             (Tribal),2007,33%,NA,NA,NA,NA,NA,NA,NA,NA,NA,BSL,TBD
             (State),2007,100%,NA,NA,NA,NA,NA,NA,NA,NA,NA,BSL,TBD
             (Local),2007,100%,NA,NA,NA,NA,NA,NA,NA,NA,NA,BSL,TBD
,,,,,,,,,,,,,
23-3    Use of geocoding in major health data systems,2000,a50%,NA,NA,BSL,---,---,---,50%,---,---,47%,b100%
                                                        ,,,,,,,,,,,,,
23-4    Data for all population groups - Healthy People,,,,,,,,,,,,,
            2010 objectives,2004,a13%,NA,NA,NA,NA,NA,NA,BSL,---,---,26%,100%
,,,,,,,,,,,,,
"23-5    Data for Leading Health Indicators, Health Status",,,,,,,,,,,,,
"            Indicators, and Priority Data Needs [Deleted at",,,,,,,,,,,,,
            Midcourse Review],---,---,---,---,---,---,---,---,---,---,---,---,---
                                                        ,,,,,,,,,,,,,
23-6    Healthy People 2010 objectives tracked at least,,,,,,,,,,,,,
            every three years,2004,a44%,NA,NA,NA,NA,NA,NA,BSL,---,---,49%,100%
,,,,,,,,,,,,,
23-7    Release of data on Healthy People 2010 objectives,,,,,,,,,,,,,
            within one year of collection,2000,36%,NA,NA,BSL,---,---,---,62%,---,---,65%,100%
,,,,,,,,,,,,,
23-8    Core competencies in job descriptions and,,,,,,,,,,,,,
            performance evaluations, , , , , , , , , , , , , 
            a. Tribal,DNC,DNC,---,---,---,---,---,---,---,---,,,---
            b. Local health agencies,2005,20%,NA,NA,NA,NA,NA,NA,NA,BSL,,,TBD
b-local,,,,,,,,,,,,,
,,,,,,,,,,,,,
23-9    Core competencies in public health curricula,2007,91%,NA,NA,NA,NA,NA,NA,NA,NA,NA,BSL,TBD
,,,,,,,,,,,,,
23-10a Continuing education - Tribal public health      ,,,,,,,,,,,,,
              personnel [New],DNC,DNC,---,---,---,---,---,---,---,---,---,---,---
,,,,,,,,,,,,,
23-10b Continuing education - State public health       ,,,,,,,,,,,,,
              personnel [New],2000,113%,NA,NA,BSL,---,---,---,---,---,---,---,14%
,,,,,,,,,,,,,
23-10c Continuing education - Local public health       ,,,,,,,,,,,,,
              personnel [New],2005,24%,NA,NA,NA,NA,NA,NA,NA,BSL,---,---,TBD
,,,,,,,,,,,,,
23-11a Use of Performance Standards - State public      ,,,,,,,,,,,,,
              health systems (number of States) [New],2004,9,NA,NA,NA,NA,NA,NA,BSL,---,---,18,35
,,,,,,,,,,,,,
23-11b Use of Performance Standards - Local public      ,,,,,,,,,,,,,
              health systems [New],2004,12%,NA,NA,NA,NA,NA,NA,BSL,---,---,20%,50%
                                                        ,,,,,,,,,,,,,
23-11c Met Performance Standards - State public health  ,,,,,,,,,,,,,
              systems [New],2004,0%,NA,NA,NA,NA,NA,NA,BSL,---,---,6%,50%
 ,,,,,,,,,,,,,
23-11d Met Performance Standards - Local public health  ,,,,,,,,,,,,,
              systems [New],2004,36%,NA,NA,NA,NA,NA,NA,BSL,---,---,46%,50%
                                                        ,,,,,,,,,,,,,
23-12a Health improvement plans - Tribal health agencies,DNC,DNC,---,---,---,---,---,---,---,---,---,---,---
,,,,,,,,,,,,,
23-12b Health improvement plans - States and D.C.       ,2007,56%,NA,NA,NA,NA,NA,NA,NA,NA,NA,BSL,TBD
,,,,,,,,,,,,,
23-12c Health improvement plans - Local health agencies ,1999,53%,NA,BSL,---,---,---,---,---,54%,---,---,TBD
,,,,,,,,,,,,,
23-12d Health improvement plan - Local plan linked to   ,,,,,,,,,,,,,
              State plan [New],2005,37%,NA,NA,NA,NA,NA,NA,NA,BSL,---,---,TBD
,,,,,,,,,,,,,
"23-13a Public health laboratory services - Tribal, States and   ",,,,,,,,,,,,,
              D.C. - Disease prevention control and,,,,,,,,,,,,,
