,,,,,,,,,,,,,,NPV,r,,,,,,,,
f,r,n,y,p,t,,f,p,y,n,,,,162.500000000000000,1.000000000000000,v[],100,200,300,400,,,
,1,10,100,10000,0,,-10342300.000000000000000,,,,,,,347.992326041483000,2.500000000000000,v[],1000,666.66666,333.33,12.2768416,,,
,1,10,100,10000,1,,-10444600.000000000000000,,,,,,,74.374243337706100,12.333330000000000,v[],1000,0,-900,-7777.5765,,,
,2,12,120,12000,0,,-6409178400.000000000000000,,,,,,,11342283.423312400000000,0.050000000000000,v[],200000,300000.55,400000,1000000,6000000,7000000,-300000
,2,12,120,12000,1,,-6472951200.000000000000000,,,,,,,,,,,,,,,,
,0.666666667,23,133.33,34307,0,,-4369465978.793720000000000,,,,,,,,,,,,,,,,
,0.666666667,23,133.33,34307,1,,-4386348826.019340000000000,,,,,,,,,,,,,,,,
,0,1,100,2300,0,,-2400.000000000000000,,,,,,,,,,,,,,,,
,0,1,100,2300,1,,-2400.000000000000000,,,,,,,,,,,,,,,,
,0,12,120,12000,0,,-13440.000000000000000,,,,,,,,,,,,,,,,
,0,12,120,12000,1,,-13440.000000000000000,,,,,,,,,,,,,,,,
,2.3333,4,334.5,14323.45,0,,-1785811.026878040000000,,,,,,,,,,,,,,,,
,2.3333,4,334.5,14323.45,1,,-1826771.171347260000000,,,,,,,,,,,,,,,,
10000,1,10,100,,0,,,-109.667968750000000,,,,,,,,,,,,,,,
10000,1,10,100,,1,,,-209.570312500000000,,,,,,,,,,,,,,,
333891.23,2.95,13,13000,,0,,,-4406.785442944960000,,,,,,,,,,,,,,,
333891.23,2.95,13,13000,,1,,,-17406.785214815600000,,,,,,,,,,,,,,,
,2.95,13,13000,-4406.785442944960000,0,,333891.230010986000000,,,,,,,,,,,,,,,,
,2.95,13,13000,-17406.785214815600000,1,,333891.230102539000000,,,,,,,,,,,,,,,,
10000,1,10,,-109.6679688,0,,,,100.000000000000000,,,,,,,,,,,,,,
10000,1,10,,-209.5703125,1,,,,100.000000000000000,,,,,,,,,,,,,,
10000,1,,100,-109.6679688,0,,,,,10.000000000000000,,,,,,,,,,,,,
10000,1,,100,-209.5703125,1,,,,,,,,,,,,,,,,,,
,,,,,0,,,,,,,,,,,,,,,,,,
,,,,,1,,,,,,,,,,,,,,,,,,
,,,,,0,,,,,,,,,,,,,,,,,,
,,,,,1,,,,,,,,,,,,,,,,,,
,,,,,0,,,,,,,,,,,,,,,,,,
,,,,,1,,,,,,,,,,,,,,,,,,
,,,,,0,,,,,,,,,,,,,,,,,,
,,,,,1,,,,,,,,,,,,,,,,,,
,,,,,0,,,,,,,,,,,,,,,,,,
,,,,,1,,,,,,,,,,,,,,,,,,
