,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
INSCRIPCION CURSOS DE IDIOMAS 2011 - NO SOCIOS,,,,,,
,,,,,,
,,,,"Buenos Aires,",,
,,,,,,
,,,,,,
CURSO DE:,,,,NIVEL o MODULO:,,
,,,,,,
,,,,,,
Apellido:,,,,,,
,,,,,,
,,,,,,
Nombre/s:,,,,,,
,,,,,,
,,,,,,
Domicilio:,,,,,,
,,,,,,
,,,,,,
Localidad:,,,,Teléfono:,,
,,,,,,
,,,,,,
Fecha de Nacimiento:,,,,D.N.I. / L.C. / L.E. N°,,
,,,,,,
,,,,,,
Planta Permanente,,,Otros,,,
,,,,,,
Ley Marco 1421,,,,,,
,,,,,,
Reg. Cont. 1184,,,,,,
,,,,,,
,,,,,,
C.U.I.T. / C.U.I.L.:,,,,,,
,,,,,,
,,,,,,
Domicilio Laboral:,,,,,,
,,,,,,
,,,,,,
Oficina:,,,Interno:,,,
,,,,,,
,,,,,,
Dirección de E-mail:,,,,,,
,,,,,,
,,,,,,
"Autorizo de plena conformidad, se me descuente la cuota del Curso por planilla / factura.",,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,Firma Solicitante,,,
,,,,,,
"Nota: El valor del curso asciende a $1.665,- pagaderos en 8 cuotas iguales y consecutivas de $185,- y dos medias cuotas en los meses de Marzo y Diciembre 2011 de $92. En caso de no poder el alumno continuar con la cursada, deberá abonar la totalidad del ciclo y le quedarán los meses no cursados pagos para el siguiente año lectivo.",,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
