District,FY07 Total Local FEFP -Discretionary Mills,Total Local FEFP minus Discretionary Mils,FY 07 Total FEFP Local Funding,FY 07 Total State Funding,Total Local and State,Total Local and State minus Discretionary mils,% of Total FEFP funding that is Local,% of Total Funding that is local Minus Discretionary Mils
Alachua," $5,451,950.00 "," $56,825,106.00 "," $62,277,056.00 "," $129,313,281.00 "," $191,590,337.00 "," $186,138,387.00 ", 0.33 ,0.31
Baker," $345,930.00 "," $3,561,725.00 "," $3,907,655.00 "," $27,774,953.00 "," $31,682,608.00 "," $31,336,678.00 ", 0.12 ,0.11
Bay," $8,660,917.00 "," $89,971,639.00 "," $98,632,556.00 "," $77,594,494.00 "," $176,227,050.00 "," $167,566,133.00 ", 0.56 ,0.54
Bradford," $394,441.00 "," $3,993,138.00 "," $4,387,579.00 "," $20,200,143.00 "," $24,587,722.00 "," $24,193,281.00 ", 0.18 ,0.17
Brevard," $19,077,639.00 "," $192,910,593.00 "," $211,988,232.00 "," $286,208,256.00 "," $498,196,488.00 "," $479,118,849.00 ", 0.43 ,0.40
Broward," $77,068,302.00 "," $781,109,907.00 "," $858,178,209.00 "," $936,758,840.00 "," $1,794,937,049.00 "," $1,717,868,747.00 ", 0.48 ,0.45
Calhoun," $157,077.00 "," $1,559,995.00 "," $1,717,072.00 "," $13,781,072.00 "," $15,498,144.00 "," $15,341,067.00 ", 0.11 ,0.10
Charlotte," $11,763,703.00 "," $80,823,559.00 "," $92,587,262.00 "," $13,781,072.00 "," $106,368,334.00 "," $94,604,631.00 ", 0.87 ,0.85
Citrus," $5,615,019.00 "," $56,777,750.00 "," $62,392,769.00 "," $43,823,401.00 "," $106,216,170.00 "," $100,601,151.00 ", 0.59 ,0.56
Clay," $4,468,559.00 "," $46,166,350.00 "," $50,634,909.00 "," $188,417,043.00 "," $239,051,952.00 "," $234,583,393.00 ", 0.21 ,0.20
Collier," $37,338,182.00 "," $220,734,546.00 "," $258,072,728.00 "," $68,739,611.00 "," $326,812,339.00 "," $289,474,157.00 ", 0.79 ,0.76
Columbia," $1,135,730.00 "," $11,635,664.00 "," $12,771,394.00 "," $54,360,975.00 "," $67,132,369.00 "," $65,996,639.00 ", 0.19 ,0.18
Miami-Dade," $103,750,440.00 "," $1,053,982,407.00 "," $1,157,732,847.00 "," $1,244,968,236.00 "," $2,402,701,083.00 "," $2,298,950,643.00 ", 0.48 ,0.46
Desoto," $861,125.00 "," $8,940,507.00 "," $9,801,632.00 "," $23,894,122.00 "," $33,695,754.00 "," $32,834,629.00 ", 0.29 ,0.27
Dixie," $293,988.00 "," $2,946,222.00 "," $3,240,210.00 "," $11,264,265.00 "," $14,504,475.00 "," $14,210,487.00 ", 0.22 ,0.21
Duval," $25,524,837.00 "," $259,752,758.00 "," $285,277,595.00 "," $570,905,529.00 "," $856,183,124.00 "," $830,658,287.00 ", 0.33 ,0.31
Escambia," $7,183,162.00 "," $75,831,655.00 "," $83,014,817.00 "," $192,201,795.00 "," $275,216,612.00 "," $268,033,450.00 ", 0.30 ,0.28
Flagler," $5,309,191.00 "," $54,116,334.00 "," $59,425,525.00 "," $21,781,095.00 "," $81,206,620.00 "," $75,897,429.00 ", 0.73 ,0.71
Franklin," $1,955,247.00 "," $5,654,881.00 "," $7,610,128.00 "," $1,900,110.00 "," $9,510,238.00 "," $7,554,991.00 ", 0.80 ,0.75
Gadsden," $594,689.00 "," $6,227,911.00 "," $6,822,600.00 "," $35,582,553.00 "," $42,405,153.00 "," $41,810,464.00 ", 0.16 ,0.15
