PIVOT TABLES GROUPING TEST DOCUMENT,,,,,,
,,,,,,
1 - DISCRETE GROUPING,,,,,,
,,,,,,
1.1 - GROUPED ITEMS (Field 1),,,,,,
"Field 1_2 = 1.B-1.C/1.E-1.G/1.I-1.J, Field 1_3 = Group1/Group2-1.K",,,,,,
,,,,,,
Sum of Field 3,,,Field 2,,,
Field 1_3,Field 1_2,Field 1,Item 2.A,Item 2.B,Grand Total,
Item 1.A,Item 1.A,Item 1.A,1,13,14,
Group1,Group1,Item 1.B,2,14,16,
,,Item 1.C,3,15,18,
Item 1.D,Item 1.D,Item 1.D,4,16,20,
Group4,Group2,Item 1.E,5,17,22,
,,Item 1.F,6,18,24,
,,Item 1.G,7,19,26,
,Item 1.H,Item 1.H,8,20,28,
,Group3,Item 1.I,9,21,30,
,,Item 1.J,10,22,32,
,Item 1.K,Item 1.K,11,23,34,
Item 1.L,Item 1.L,Item 1.L,12,24,36,
Grand Total,,,78,222,300,
,,,,,,
1.2 - GROUP FIELD ORIENTATION (Field 1),,,,,,
"Field 1 = hidden, Field 1_2 = page, Field 1_3 = column",,,,,,
,,,,,,
Field 1_2,(All),,,,,
,,,,,,
Sum of Field 3,Field 1_3,,,,,
Field 2,Item 1.A,Group1,Item 1.D,Group4,Item 1.L,Grand Total
Item 2.A,1,5,4,56,12,78
Item 2.B,13,29,16,140,24,222
Grand Total,14,34,20,196,36,300
,,,,,,
1.3 - GROUP FIELD SETTINGS (Field 1),,,,,,
"Field 1_2 = automatic subtotal, Group1 = hidden, Group4 = collapsed",,,,,,
,,,,,,
Sum of Field 3,,,Field 2,,,
Field 1_3,Field 1_2,Field 1,Item 2.A,Item 2.B,Grand Total,
Item 1.A,Item 1.A,Item 1.A,1,13,14,
,Item 1.A Total,,1,13,14,
Item 1.D,Item 1.D,Item 1.D,4,16,20,
,Item 1.D Total,,4,16,20,
Group4,,,56,140,196,
Item 1.L,Item 1.L,Item 1.L,12,24,36,
,Item 1.L Total,,12,24,36,
Grand Total,,,73,193,266,
