,,,,,,,,,,,,,,,,,,,,,,,,,,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,History,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Index Analysis - Percentage Changes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Today,5 Day Rolling,MTD,QTD,YTD,,,,,Tag,,,,,,,,,,,,,,,,5-Day Rolling,12-Feb,9-Feb,8-Feb,7-Feb,6-Feb,5-Feb,2-Feb,1-Feb,31-Jan,30-Jan,29-Jan,26-Jan,25-Jan,24-Jan,23-Jan,22-Jan,19-Jan,18-Jan,17-Jan,16-Jan,12-Jan,11-Jan,10-Jan,9-Jan,8-Jan,5-Jan,4-Jan,3-Jan,2-Jan,29-Dec,28-Dec,27-Dec,26-Dec,22-Dec,21-Dec,20-Dec,19-Dec,18-Dec,15-Dec,14-Dec,13-Dec,12-Dec,11-Dec,8-Dec,7-Dec,6-Dec,5-Dec,4-Dec,1-Dec,30-Nov,29-Nov,28-Nov,27-Nov,24-Nov,22-Nov,21-Nov,20-Nov,17-Nov,16-Nov,15-Nov,14-Nov,13-Nov,10-Nov,9-Nov,8-Nov,7-Nov,6-Nov,3-Nov,2-Nov,1-Nov,31-Oct,30-Oct,27-Oct,26-Oct,25-Oct,24-Oct,23-Oct,20-Oct,19-Oct,18-Oct,17-Oct,16-Oct,13-Oct,12-Oct,11-Oct,10-Oct,9-Oct,6-Oct,5-Oct,4-Oct,3-Oct,2-Oct,29-Sep,28-Sep,27-Sep,26-Sep,25-Sep,22-Sep,21-Sep,20-Sep,19-Sep,18-Sep,15-Sep,14-Sep,13-Sep,12-Sep,11-Sep,8-Sep,7-Sep,6-Sep,5-Sep,1-Sep,12/31/1999
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Market Indexes,,,,,,,,,,,,,,,,,,,,,,,,,Market Indexes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Dow Jones Total,1.53%,-0.17%,0.55%,1.48%,1.48%,,,,,Dow Jones,,,,,,,,,,,,,,,Dow Jones,0%," 10,946.77 "," 10,781.45 "," 10,880.55 "," 10,946.72 "," 10,957.42 "," 10,965.85 "," 10,864.10 "," 10,983.63 "," 10,887.36 "," 10,881.20 "," 10,702.19 "," 10,659.98 "," 10,729.52 "," 10,646.97 "," 10,649.81 "," 10,578.24 "," 10,587.59 "," 10,678.28 "," 10,584.34 "," 10,652.66 "," 10,525.38 "," 10,609.55 "," 10,604.27 "," 10,572.55 "," 10,621.35 "," 10,662.01 "," 10,912.41 "," 10,945.75 "," 10,646.15 "," 10,786.85 "," 10,868.76 "," 10,803.16 "," 10,692.44 "," 10,635.56 "," 10,487.29 "," 10,318.93 "," 10,584.37 "," 10,645.42 "," 10,434.96 "," 10,674.99 "," 10,794.44 "," 10,768.27 "," 10,725.80 "," 10,712.91 "," 10,617.36 "," 10,664.38 "," 10,898.72 "," 10,560.95 "," 10,373.54 "," 10,414.49 "," 10,629.11 "," 10,507.58 "," 10,546.07 "," 10,470.23 "," 10,399.32 "," 10,494.50 "," 10,462.65 "," 10,629.87 "," 10,656.03 "," 10,707.60 "," 10,681.06 "," 10,517.25 "," 10,602.95 "," 10,834.25 "," 10,907.06 "," 10,952.18 "," 10,977.21 "," 10,817.95 "," 10,880.51 "," 10,899.47 "," 10,971.14 "," 10,835.77 "," 10,590.62 "," 10,380.12 "," 10,326.48 "," 10,393.07 "," 10,271.72 "," 10,226.59 "," 10,142.98 "," 9,975.02 "," 10,089.71 "," 10,238.80 "," 10,192.18 "," 10,034.58 "," 10,413.79 "," 10,524.40 "," 10,568.43 "," 10,596.54 "," 10,724.92 "," 10,784.48 "," 10,719.74 "," 10,700.13 "," 10,650.92 "," 10,824.06 "," 10,628.36 "," 10,631.32 "," 10,808.15 "," 10,847.37 "," 10,765.52 "," 10,687.92 "," 10,789.29 "," 10,808.52 "," 10,927.00 "," 11,087.47 "," 11,182.18 "," 11,233.23 "," 11,195.49 "," 11,220.65 "," 11,259.87 "," 11,310.64 "," 11,260.61 "," 11,238.78 "," 11,497.12 "
