Arrays,,,,,,
row,,1.5,2.7,3.3,4.9,6.2
,,,,,,
column,23,,,,,
,24,,,,,
,25,,,,,
,26,,,,,
,27,,,,,
,28,,,,,
,,,,,,
2 dimensional,,1A,1B,1C,,
,,2A,2B,2C,,
,,,,,,
,,,,,,
array formulas,,,,,,
,5,12,21,32,,
,,,,,,
,,,,,,
,15,18,,,,
,20,24,,,,
,,,,,,
,,,,,,
Tables,,,,,,
,,,,,,
row-based,,,,,,
row input,0,3,4,50,,
formula1,100a,103a,104a,150a,,
formula2,0,9,16,2500,,
,,,,,,
,,,,,,
column-based,col input,formula1,formula2,formula3,,
,0,100,#0#,100#0#,,
,3,97,#3#,97#3#,,
,4,96,#4#,96#4#,,
,50,50,#50#,50#50#,,
,,,,,,
,,,,,,
row input,2,,,,,
column input,abc,,,,,
formula,4abc,3,4,2,1.5,
,aa,9aa,16aa,4aa,2.25aa,
,dd,9dd,16dd,4dd,2.25dd,
,wer,9wer,16wer,4wer,2.25wer,
,ws,9ws,16ws,4ws,2.25ws,
,te,9te,16te,4te,2.25te,
,g,9g,16g,4g,2.25g,
