Currently Using,
ProductionOrderConfirmation,ProductionOrderConfirmation
RequiredAcceptanceDate,RequiredAcceptanceDate
Header,Header
UniqueDocumentNumberID,UniqueDocumentNumberID
ExpiryDateTime,ExpiryDateTime
IssuingParty,IssuingParty
DEA,DEA
ID,ID
FinalRecipientDEA,FinalRecipientDEA
ID,ID
RequirementPackaging,RequirementPackaging
LineItemNumberID,LineItemNumberID
Description,Description
ID,ID
Code,Code
Description,Description
ProductionOrderLineItem,ProductionOrderLineItem
LineItemNumberID,LineItemNumberID
Quantity,Quantity
quantityUnitCode,quantityUnitCode
ProductItem,ProductItem
Description,Description
Payment,Payment
TotalAmount,TotalAmount
OtherReference,OtherReference
ID,ID
ReferenceType,ReferenceType
Code,Code
OtherReference,OtherReference
ID,ID
ReferenceType,ReferenceType
Code,Code
OtherReference,OtherReference
ID,ID
ReferenceType,ReferenceType
Code,Code
OtherReference,OtherReference
ID,ID
ReferenceType,ReferenceType
Code,Code
