__________ISDN-BRA_________,,,,,,,,,,,,
,,,,,,,,,,,,
__,__,__,__,__,__,__,__,__,__,__,___,___
_____,0 ,"1,500 ","10,000 ",0 ,"79,800 ",,,,,,,
__,__,__,__,__,__,__,__,__,__,__,___,___
_______,"79,129 ","79,129 ","79,129 ","79,129 ","79,129 ","79,257 ","79,705 ",,,,,
_______,"23,590 ","23,590 ","23,590 ","23,590 ","23,846 ","23,630 ","23,642 ",,,,,
_______,"41,278 ","41,278 ","41,278 ","41,278 ","41,710 ","42,574 ","42,730 ",,,,,
_______,"18,893 ","18,884 ","18,738 ","18,630 ","18,538 ","18,428 ","18,335 ",,,,,
_______,"3,843 ","3,825 ","3,838 ","3,840 ","3,857 ","3,845 ","3,869 ",,,,,
_______,"5,503 ","5,462 ","5,440 ","5,430 ","5,484 ","5,508 ","5,511 ",,,,,
_______,23.88%,23.86%,23.68%,23.54%,23.43%,23.25%,23.00%,,,,,
_______,16.29%,16.21%,16.27%,16.28%,16.17%,16.27%,16.36%,,,,,
_______,13.33%,13.23%,13.18%,13.15%,13.15%,12.94%,12.90%,,,,,
