“家家e”业务统计月报,,,
宁波/0574,统计日期:2003-04-21至2003-05-20,,
指标代码,指     标     名     称,单   位,实   际
1,家家e业务用户,个,
2,其中：信息订阅的用户数,个,
3,家家e短消息业务发送总次数,次,
4,    信息终端发送短消息次数,次,
5,    人工受理发送短消息次数,次,
6,    发送本固定网内短消息次数,次,
7,    发送移动网短消息次数,次,
8,         发送中国联通短消息次数,次,
9,         发送中国移动短消息次数,次,
10,家家e信息订阅总次数,次,
11,    成功订阅次数,次,
12,    取消订阅次数,次,
13,    订阅信息下发次数,次,
14,家家e信息点播总次数,次,
15,    点播消息下发次数,次,
16,家家e业务收入,元,
17,    其中：月租费收入,元,
18,  信息订阅月使用费收入,元,
19,  短消息通信费收入,元,
,,,
注：,,,
（1）第11项"成功订阅次数"表示用户发起的成功的订阅请求次数；成功订阅xx信源次数参见"订阅上行列表",,,
（2）第12项“取消订阅次数”表示用户发起的订阅取消次数,,,
（3）第13项“订阅信息下发次数”表示从平台下发的订阅信息次数；XX信源下发订阅信息次数参见“订阅下行列表”,,,
（4）第14项“家家e信息点播总次数”表示用户发起的信息点播总次数；用户点播XX信源次数参见“点播上行列表”,,,
（5）第15项“点播信息下发次数”表示平台下发到用户终端的点播信息次数；XX信源点播信息下发次数参见“点播下行列表”,,,
,,,
,,,
