PAGE SETTINGS TEST DOCUMENT,,,,,,,,,,
,,,,,,,,,,
1 - DEFAULT PAGE SETTINGS,,,,,,,,,,
,,,,,,,,,,
1.1 - PAGE MARGINS,,,1.2 - PAGE SETUP,,,1.3 - PRINT OPTIONS,,,1.4 - HEADERS AND FOOTERS,
,Inch,,,,,,,,,
Left,0.7,,Paper size,undefined,,Horizontally centered,off,,Header,(none)
Right,0.7,,Copies,undefined,,Vertically centered,off,,Footer,(none)
Top,1,,Scale,undefined,,Print gridlines,off,,,
Bottom,1,,First page,auto,,Print headings,off,,,
Header,0.5,,Fit to width,1,,,,,,
Footer,0.5,,Fit to height,1,,,,,,
,,,Fit to pages,off,,,,,,
,,,Orientation,undefined,,,,,,
,,,Page order,down,,,,,,
,,,Print comments,off,,,,,,
,,,Print errors,displayed,,,,,,
,,,Black and white,off,,,,,,
,,,Draft quality,off,,,,,,
,,,Background bmp,off,,,,,,
