中華電信網路容量及使用現況雙週報表,,,,,,,,,,,,,,
,,,,,,,,,,填表日期：91 年 08 月26日,,,,
,項                         目,單位,分公司,至90年12月累計數,91年預定建設數,建設執行現況(%),91年當月累計設備總量,"當週累計
使用總量",使用率%,備註,91實際累計建設量,累計淨增,,
1,市話交換機門號數(POTS),門,北分,8,253,465 ,1,137,000 ,21.84%,8,463,465 ,6,723,991 ,79.45%,固網(資料取得截止日期91/07/31),248,300 ,91,300 ,行銷處23445420吳碧芬,
,,,中分,4,082,500 ,79,000 ,46.84%,4,118,500 ,2,871,990 ,69.73%,,37,000 ,15,000 ,,
,,,南分,4,823,946 ,512,300 ,78.12%,4,855,606 ,3,326,144 ,68.50%,,400,200 ,173,300 ,,
2,ISDN BRA,埠,北分,79,129 ,832 ,15.38%,79,257 ,18,335 ,23.13%,,128 ,1,912 ,行銷處23442588周美玉,
,,,中分,23,590 ,340 ,87.06%,23,630 ,3,869 ,16.37%,,296 ,1,024 ,,
,,,南分,41,150 ,1,486 ,95.83%,42,574 ,5,511 ,12.94%,,1,424 ,1,592 ,,
3,ISDN T1-PRA,埠,北分,8,177 ,0 ,0.00%,8,177 ,4,286 ,52.42%,,0 ,2,534 ,,
,,,中分,4,486 ,310 ,51.61%,4,621 ,1,599 ,34.60%,,160 ,260 ,,
,,,南分,5,614 ,0 ,0.00%,5,629 ,1,573 ,27.94%,,15 ,3,262 ,,
4,ISDN E1-PRA,埠,北分,3,445 ,2,670 ,10.49%,3,725 ,720 ,19.33%,,280 ,2,910 ,,
,,,中分,1,260 ,0 ,0.00%,1,260 ,77 ,6.11%,,0 ,650 ,,
,,,南分,4,605 ,980 ,57.04%,4,810 ,249 ,5.18%,,559 ,4,000 ,,
5,長話交換機門號數,門,長通,2,088,000 ,60,000 ,0.00%,2,289,480 ,1,321,486 ,57.72%,固網(資料取得截止日期91/07/31),,,,
6,國際交換機門號數,門,國際,74,840 ,-,-,74,840 ,57,476 ,76.80%,國際(資料取得截止日期91/07/20),,,,
,國際IN交換機門號數,門,國際,30,000 ,-,-,30,000 ,6,556 ,21.85%,,,1,968,000 ,擴充153480,102000,6000,POI四期60000尚未完工,
7,區域ATM寬頻接取網路,套,北分,657,555 ,-,-,726,963 ,666,848 ,91.73%,寬頻(PAMS資料取得截止日期91/08/26),,653,985 ,,
,,,中分,327,445 ,-,-,378,381 ,290,525 ,76.78%,,,322,856 ,,
,,,南分,324,702 ,-,-,393,973 ,332,409 ,84.37%,,,318,770 ,,
8,長途ATM寬頻網路,套,長通,--,-,100.00%,11 ,-,-,北區分公司辦理遷裝，8/20第五次議價，以1699萬決標。,,11 ,,
9,長途10G DWDM SDH網路,部,長通,--,14 ,0.00%,--,--,0.00%, DWDM已於91/8/19決標,預計92/2完工,,,,
10,長途同步數位階層SDH網路,部,長通,480 ,0 ,0.00%,570 ,288 ,50.53%,傳輸骨幹網路(資料取得截止日期91/08/26),,0 ,,
11,區域同步數位階層SDH網路,部,全區,875 ,404 ,54.46%,875 ,618 ,70.63%,,220,0 ,,
12,寬頻上網ADSL設備,路,北分,582,263 ,450,000 ,103.52%,964,978 ,796,863,82.58%,網際網路(資料取得截止日期91/09/02),,915,010 ,須考慮可用數,
,,,中分,350,232 ,250,000 ,103.44%,539,990 ,312,979,57.96%,,,,,
,,,南分,311,120 ,200,000 ,60.01%,458,974 ,342,463,74.61%,,,,,
13,HiNet寬頻接取埠,埠,全區,1,000,000 ,900,000 ,100.00%,1,900,000 ,1,138,712 ,59.93%,,,800,000 ,23444600康崇原科長;23442307徐明山股長,
14,行動電話交換機,門,長通,6,500,000 ,700,000 ,142.86%,7,500,000 ,7,172,329,95.63%,行動(資料取得截止日期91/08/26),,1,597,411 ,,
15,行動電話基地臺,座,長通,5,165 ,1,430 ,95.59%,6,532 ,6,513,99.71%,,,1,876 ,,
16,局間中繼光纜,心公里,北分,235,320 ,21,000 ,71.14%,257,010 ,115,071,44.77%,光纜(資料取得截止日期91/08/28),7,698 ,,,
,,,中分,215,317 ,22,600 ,72.26%,240,253 ,90,213,37.55%,,4,416 ,,,
,,,南分,198,616 ,17,600 ,71.39%,205,506 ,78,427,38.16%,,4,683 ,,,
17,用戶迴路光纜,心公里,北分,223,779 ,18,000 ,93.16%,241,917 ,44,911,18.56%,,5,176 ,,,
,,,中分,195,607 ,37,100 ,60.62%,231,870 ,34,850,15.03%,,5,623 ,,,
,,,南分,134,048 ,28,500 ,47.06%,147,459 ,27,886,18.91%,,1,500 ,,,
18,市話線路,對,北分,13,652,200 ,55,200 ,94.93%,11,787,300 ,7,324,290,62.14%,線路(資料取得截止日期91/08/13),22,400 ,,,
,,,中分,6,472,300 ,59,200 ,76.52%,5,195,800 ,2,965,123,57.07%,,10,500 ,,,
,,,南分,7,902,900 ,75,000 ,47.33%,6,328,000 ,3,654,694,57.75%,,13,100 ,,,
19,國內海纜,Mbps,長通,10,665,-,-,10,665 ,3,610,33.85%,國內海纜(資料取得截止日期91/08/13),,,910813劉金鳳股長電話通知本週使用量為3610,
20,國際海纜,Mbps,國際,28,864,-,-,28,864 ,10,774,37.33%,國際海纜(資料取得截止日期91/08/13),,,,
