__________ISDN-T1-PRA_________,,,,,,,,,,,,
,,,,,,,,,,,,
__,__,__,__,__,__,__,__,__,__,__,___,___
_____,0 ,"1,500 ","10,000 ",0 ,"79,800 ",,,,,,,
__,__,__,__,__,__,__,__,__,__,__,___,___
_______,"8,177 ","8,177 ","8,177 ","8,177 ","8,177 ","8,177 ","8,177 ",,,,,
_______,"4,486 ","4,486 ","4,486 ","4,486 ","4,586 ","4,621 ","4,721 ",,,,,
_______,"5,614 ","5,614 ","5,614 ","5,614 ","5,614 ","5,629 ","5,614 ",,,,,
_______,"4,710 ","4,687 ","4,643 ","4,631 ","4,603 ","4,560 ","4,286 ",,,,,
_______,"1,786 ","1,754 ","1,742 ","1,728 ","1,686 ","1,654 ","1,599 ",,,,,
_______,"1,668 ","1,651 ","1,658 ","1,641 ","1,687 ","1,687 ","1,573 ",,,,,
_______,57.60%,57.32%,56.78%,56.63%,56.29%,55.77%,52.42%,,,,,
_______,39.81%,39.10%,38.83%,38.52%,36.76%,35.79%,33.87%,,,,,
_______,29.71%,29.41%,29.53%,29.23%,30.05%,29.97%,28.02%,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,-55 ,,,,,,
