,0.25,0.50,0.75,1.00,1.25,1.50,1.75,2.00,2.25,2.50,2.75,3.00,3.25,3.50
0.25,12516.00,20670.00,26106.00,29892.00,32346.00,34104.00,35448.00,36516.00,37380.00,38094.00,38694.00,39210.00,39654.00,40044.00
0.50,13386.00,23370.00,30840.00,36552.00,40572.00,43602.00,46038.00,48036.00,49716.00,51144.00,52386.00,53466.00,54390.00,55242.00
0.75,13710.00,24450.00,32826.00,39474.00,44292.00,47994.00,51018.00,53544.00,55656.00,57498.00,59100.00,60516.00,61776.00,62904.00
1.00,13884.00,25056.00,33978.00,41196.00,46530.00,50676.00,54090.00,56934.00,59382.00,61506.00,63366.00,65010.00,66480.00,67806.00
1.25,14136.00,26034.00,35886.00,44034.00,50184.00,54984.00,58938.00,62262.00,65088.00,67500.00,69612.00,71484.00,73140.00,74628.00
1.50,14292.00,26754.00,37524.00,46824.00,54198.00,60138.00,65172.00,69492.00,73254.00,76554.00,79476.00,82086.00,84438.00,86568.00
1.75,14388.00,27180.00,38508.00,48522.00,56706.00,63426.00,69222.00,74274.00,78720.00,82674.00,86214.00,89412.00,92310.00,94956.00
2.00,14454.00,27468.00,39168.00,49680.00,58428.00,65730.00,72090.00,77688.00,82668.00,87132.00,91164.00,94818.00,98160.00,101232.00
2.25,14502.00,27678.00,39648.00,50532.00,59706.00,67440.00,74244.00,80280.00,85674.00,90546.00,94968.00,99006.00,102708.00,106122.00
2.50,14538.00,27840.00,40020.00,51180.00,60690.00,68772.00,75918.00,82302.00,88056.00,93258.00,98004.00,102348.00,106356.00,110064.00
2.75,14568.00,27972.00,40314.00,51702.00,61482.00,69834.00,77274.00,83946.00,89976.00,95460.00,100482.00,105096.00,109362.00,113310.00
3.00,14592.00,28074.00,40554.00,52122.00,62124.00,70716.00,78390.00,85302.00,91572.00,97290.00,102540.00,107388.00,111876.00,116052.00
3.25,14610.00,28158.00,40752.00,52476.00,62664.00,71448.00,79332.00,86448.00,92922.00,98844.00,104298.00,109332.00,114012.00,118374.00
3.50,14628.00,28236.00,40920.00,52770.00,63120.00,72072.00,80130.00,87426.00,94080.00,100182.00,105804.00,111012.00,115860.00,120384.00
3.75,14640.00,28296.00,41064.00,53028.00,63510.00,72612.00,80820.00,88278.00,95082.00,101340.00,107118.00,112476.00,117474.00,122142.00
