Etude du portefeuille 'Fonds JUMP LS',,,,,,,,,,,,,
,,,,,,,,,,,,,
Répartition par pays,,,,,,,,La répartition pour les 10ers pays,,,,,
,,,,,,,,,,,,,
,,,,,,,,France,,,41.09%,,
,,,,,,,,Allemagne République Fédérale,,,18.18%,,
,,,,,,,,Pays-Bas,,,13.14%,,
,,,,,,,,Espagne,,,8.04%,,
,,,,,,,,Royaume-Uni,,,6.97%,,
,,,,,,,,Suisse,,,4.15%,,
,,,,,,,,Belgique,,,3.21%,,
,,,,,,,,Suède,,,2.08%,,
,,,,,,,,Brésil,,,1.45%,,
,,,,,,,,Finlande,,,0.91%,,
,,,,,,,,,,,,,
Répartition par devise,,,,,,,,Les 10ères positions,,,,,
,,,,,,,,,,,,,
,,,,,,,,EURONEXT NV,,,9.87%,,
,,,,,,,,VOLKSWAGEN AG (XETR),,,5.35%,,
,,,,,,,,ALTADIS,,,4.94%,,
,,,,,,,,CASINO GUICHARD,,,4.91%,,
,,,,,,,,SUEZ SA,,,4.76%,,
,,,,,,,,CL-FR DYN OR,,,4.72%,,
,,,,,,,,GEA GROUP AG (XETR),,,4.66%,,
,,,,,,,,ACCOR SA,,,4.52%,,
,,,,,,,,RECKITT BENCKISE,,,4.43%,,
,,,,,,,,L'OREAL,,,3.25%,,
,,,,,,,,,,,,,
Performances mensuelles passées,,,,,,,,,,,,,
,,,,,,,,,,,,,
,Apr-07,May-07,Jun-07,Jul-07,Aug-07,Sep-07,Oct-07,Nov-07,Dec-07,Jan-08,Feb-08,Mar-08,Apr-08
,1.31%,4.84%,-4.04%,-7.63%,-2.13%,-5.50%,8.83%,0.28%,-7.81%,-6.77%,-12.70%,1.47%,6.14%
,,,,,,,,,,,,,
,,,,,,,,,,Le meilleur rendement mensuel :,,,8.83%
,,,,,,,,,,Rendement mensuel moyen :,,,-1.82%
,,,,,,,,,,,,,
