Jul-01,71,39,55%,32,45%,1,8,1,22,,0,5,1,17,,2,5,2,2,,5,,,0,0,,0,0,0,3,2,3,Jul-01,79,4%,4%
Aug-01,58,34,59%,24,41%,4,5,6,6,3,1,1,2,8,,2,6,1,4,,2,,2,3,,1,,,1,6,1,5,Aug-01,70,9%,7%
Sep-01,35,29,83%,6,17%,1,,3,2,,,,,10,,1,6,2,3,,1,2,3,,,1,,,,6,1,6,Sep-01,48,13%,13%
Oct-01,45,34,76%,11,24%,2,4,1,1,3,,2,2,12,1,4,4,5,1,1,1,,1,,,,,,,8,1,10,Oct-01,64,13%,16%
Nov-01,73,54,74%,19,26%,3,3,7,2,4,2,,1,15,1,3,10,3,1,,5,1,3,4,,1,,,4,20,1,11,Nov-01,105,19%,10%
Dec-01,49,34,69%,15,31%,4,4,4,1,2,1,,,13,,2,8,1,1,,4,,1,1,,1,,1,,6,,9,Dec-01,64,9%,14%
Jan-02,51,37,73%,14,27%,1,6,4,2,1,2,2,2,16,,2,2,1,2,,1,,1,1,,3,,1,1,7,,2,Jan-02,60,12%,3%
Feb-02,38,24,63%,14,37%,2,7,5,,,3,,3,6,,2,4,1,,,1,,3,1,,,,,,6,1,7,Feb-02,52,12%,13%
Mar-02,70,52,74%,18,26%,6,5,6,,1,3,3,9,17,,3,7,2,,,3,1,1,,,2,,,1,17,2,17,Mar-02,106,16%,16%
Apr-02,45,30,67%,15,33%,8,4,3,,,1,,4,7,1,,1,3,,,7,,5,,,,,,1,8,1,5,Apr-02,59,14%,8%
May-02,73,52,71%,21,29%,8,4,9,,,1,2,12,11,4,1,5,2,2,2,3,1,2,1,,1,,2,,11,1,10,May-02,95,12%,11%
Jun-02,42,28,67%,14,33%,4,4,3,,3,1,1,3,8,,,7,,,,2,1,1,3,,,,,1,15,,10,Jun-02,67,22%,15%
Jul-02,61,37,61%,24,39%,8,6,7,1,2,,1,1,11,,1,3,2,1,2,,1,10,2,,,,,2,16,2,6,Jul-02,85,19%,7%
Aug-02,57,38,67%,19,33%,4,6,4,3,2,,1,4,6,2,1,4,5,1,,5,,5,1,1,1,,,1,12,,12,Aug-02,81,15%,15%
Sep-02,41,30,73%,11,27%,4,5,1,,1,1,1,3,8,,1,6,,,1,1,1,5,1,,,,,1,12,,6,Sep-02,59,20%,10%
Oct-02,53,39,74%,14,26%,5,4,3,1,1,1,,5,9,2,1,5,3,1,1,1,3,5,2,,,,,,26,1,14,Oct-02,94,28%,15%
Nov-02,53,36,68%,17,32%,5,5,6,1,,1,1,1,14,,2,8,3,,,2,,3,,,1,,,,27,,14,Nov-02,94,29%,15%
Dec-02,60,38,63%,22,37%,8,10,4,,,,3,,16,1,5,,2,,,3,1,5,2,,,,,,16,1,6,Dec-02,83,19%,7%
Jan-03,84,55,65%,29,35%,6,11,5,3,4,,,2,25,1,1,2,8,,,5,,4,4,,,,2,1,19,6,6,Jan-03,115,17%,5%
Feb-03,52,34,65%,18,35%,5,3,7,1,2,,2,,12,,,3,1,,,3,1,7,4,,,,1,,17,3,6,Feb-03,78,22%,8%
Mar-03,50,35,70%,15,30%,7,4,3,1,,,3,1,11,,,3,3,,,2,1,5,4,,2,,,,17,3,9,Mar-03,79,22%,11%
Apr-03,35,22,63%,13,37%,1,5,6,1,,1,2,1,4,,,3,2,,,1,,6,2,,,,,,10,,9,Apr-03,54,19%,17%
Jun-03,36,25,69%,11,31%,5,4,1,,1,,,4,2,1,1,1,8,,,4,,2,2,,,,,,16,2,9,Jun-03,63,25%,14%
Jun-03,36,25,69%,11,31%,5,4,1,,1,,,4,2,1,1,1,8,,,4,,2,2,,,,,,16,2,9,Jun-03,63,25%,14%
Jul-03,39,32,82%,7,18%,2,1,3,1,,1,3,3,6,4,,4,7,,,,1,2,,,,,1,,9,1,11,Jul-03,60,15%,18%
Aug-03,61,42,69%,19,31%,11,2,5,,1,1,,2,7,,,1,17,,1,5,1,4,3,,,,,,19,1,14,Aug-03,95,20%,15%
Sep-03,45,40,89%,5,11%,2,3,,,,2,1,,12,1,6,2,7,1,,1,1,3,1,,,,,2,14,3,7,Sep-03,69,20%,10%
Oct-03,51,43,84%,8,16%,2,2,2,1,1,1,2,4,12,1,2,1,5,1,,5,,4,3,,,,2,,11,3,6,Oct-03,71,15%,8%
Feb-05,46,34,74%,12,26%,6,4,1,1,,1,1,4,14,,,1,4,1,,4,,3,1,,,,,,11,1,4,Feb-05,62,18%,6%
Oct-04,84,55,65%,29,35%,12,8,5,2,2,,,14,6,2,2,8,11,,,1,,10,1,,,,,,19,2,12,Oct-04,117,16%,10%
Sep-04,53,42,79%,11,21%,5,5,,,1,1,2,9,6,,1,9,3,,,4,,5,2,,,,,,12,2,9,Sep-04,76,16%,12%
Aug-04,60,45,75%,15,25%,5,4,2,1,3,1,2,7,9,,,5,5,,1,4,,7,1,,2,,1,,7,,9,Aug-04,76,9%,12%
Jul-04,55,41,75%,14,25%,4,6,2,1,1,1,,13,4,,1,4,3,,,4,,4,2,,,,4,1,19,2,8,Jul-04,84,23%,10%
Jun-04,57,43,75%,14,25%,1,6,6,,1,,5,8,4,1,,6,9,1,,1,,4,2,,1,,1,,17,1,12,Jun-04,87,20%,14%
May-04,56,35,63%,21,38%,7,5,7,2,,,4,6,3,,,5,4,,,5,,7,,,1,,,,12,1,17,May-04,86,14%,20%
Apr-04,77,53,69%,24,31%,6,9,7,2,,2,1,6,8,,4,6,10,1,,4,,8,,,,,3,,21,2,12,Apr-04,112,19%,11%
Mar-04,66,46,70%,20,30%,7,3,7,2,1,2,1,6,8,1,4,6,2,1,1,,1,5,3,,4,,1,,15,2,16,Mar-04,99,15%,16%
Feb-04,67,48,72%,19,28%,4,3,6,3,3,,2,2,14,,,4,6,3,,5,1,4,2,,3,,1,1,12,2,8,Feb-04,89,13%,9%
Jan-04,54,41,76%,13,24%,3,1,7,2,,,2,7,7,,5,3,1,1,,4,,8,3,,,,,,19,1,16,Jan-04,90,21%,18%
Dec-03,49,37,76%,12,24%,4,3,2,,3,,1,1,4,,1,3,6,,,2,1,14,1,,3,,,,8,,16,Dec-03,73,11%,22%
Nov-03,38,27,71%,11,29%,,4,1,5,1,4,1,6,5,,1,1,3,,1,1,,3,1,,,,,,15,,13,Nov-03,66,23%,20%
Grand Total,2226,1565,70%,661,30%,188,190,163,71,49,36,58,163,389,25,63,173,171,29,11,116,20,177,66,1,28,0,21,18,557,55,391,Grand Total,3229,17%,12%
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
