BLOCK CLAIM LIABILITY REPORT - Weighted NCC0,,,,,,,,,
The Millennium-2000 Sample Life Insurance Company,,,,,,,,,
Arvind,,,,,,,,,
Experience Period:  01-Aug-1998  to  31-Jul-2001.  Runout Date:  31-Jul-2001,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Incurred Month,Weighting Factor,Trend Factor,Untrended Estimated Incurred Claims,Exposure,Weighted and Trended Incurred Claims,Weighted Exposure,,,
Aug-1998, 1.0000 , 1.1853 ," 99,219 "," 2,576 "," 117,600 "," 2,576 ",,,
Sep-1998, 1.0000 , 1.1795 ," 99,219 "," 2,664 "," 117,031 "," 2,664 ",,,
Oct-1998, 1.0000 , 1.1738 ," 292,014 "," 2,728 "," 342,780 "," 2,728 ",,,
Nov-1998, 1.0000 , 1.1681 ," 292,014 "," 2,781 "," 341,098 "," 2,781 ",,,
Dec-1998, 1.0000 , 1.1624 ," 109,763 "," 2,826 "," 127,587 "," 2,826 ",,,
Jan-1999, 1.0000 , 1.1569 ," 109,763 "," 2,835 "," 126,982 "," 2,835 ",,,
Feb-1999, 1.0000 , 1.1513 ," 164,681 "," 2,817 "," 189,594 "," 2,817 ",,,
Mar-1999, 1.0000 , 1.1456 ," 164,681 "," 2,830 "," 188,660 "," 2,830 ",,,
Apr-1999, 1.0000 , 1.1401 ," 171,773 "," 2,910 "," 195,842 "," 2,910 ",,,
May-1999, 1.0000 , 1.1346 ," 171,773 "," 2,874 "," 194,887 "," 2,874 ",,,
Jun-1999, 1.0000 , 1.1291 ," 294,045 "," 2,841 "," 331,992 "," 2,841 ",,,
Jul-1999, 1.0000 , 1.1236 ," 294,045 "," 2,830 "," 330,388 "," 2,830 ",,,
Aug-1999, 1.0000 , 1.1182 ," 111,076 "," 2,958 "," 124,204 "," 2,958 ",,,
Sep-1999, 1.0000 , 1.1127 ," 111,076 "," 2,974 "," 123,596 "," 2,974 ",,,
Oct-1999, 1.0000 , 1.1073 ," 171,436 "," 2,943 "," 189,831 "," 2,943 ",,,
Nov-1999, 1.0000 , 1.1019 ," 171,436 "," 3,014 "," 188,910 "," 3,014 ",,,
Dec-1999, 1.0000 , 1.0966 ," 111,538 "," 3,019 "," 122,314 "," 3,019 ",,,
Jan-2000, 1.0000 , 1.0913 ," 111,538 "," 3,003 "," 121,727 "," 3,003 ",,,
Feb-2000, 1.0000 , 1.0860 ," 211,563 "," 3,006 "," 229,760 "," 3,006 ",,,
Mar-2000, 1.0000 , 1.0808 ," 211,628 "," 3,001 "," 228,737 "," 3,001 ",,,
Apr-2000, 1.0000 , 1.0755 ," 183,433 "," 3,028 "," 197,282 "," 3,028 ",,,
May-2000, 1.0000 , 1.0703 ," 184,167 "," 3,053 "," 197,118 "," 3,053 ",,,
Jun-2000, 1.0000 , 1.0652 ," 330,260 "," 3,019 "," 351,790 "," 3,019 ",,,
Jul-2000, 1.0000 , 1.0600 ," 330,264 "," 3,006 "," 350,078 "," 3,006 ",,,
Aug-2000, 1.0000 , 1.0549 ," 282,479 "," 2,987 "," 297,973 "," 2,987 ",,,
Sep-2000, 1.0000 , 1.0498 ," 282,865 "," 2,953 "," 296,940 "," 2,953 ",,,
Oct-2000, 1.0000 , 1.0447 ," 185,068 "," 2,927 "," 193,343 "," 2,927 ",,,
Nov-2000, 1.0000 , 1.0396 ," 185,324 "," 2,897 "," 192,664 "," 2,897 ",,,
Dec-2000, 1.0000 , 1.0346 ," 87,094 "," 2,887 "," 90,103 "," 2,887 ",,,
Jan-2001, 1.0000 , 1.0295 ," 93,386 "," 2,888 "," 96,145 "," 2,888 ",,,
Feb-2001, 1.0000 , 1.0246 ," 156,942 "," 2,887 "," 160,801 "," 2,887 ",,,
Mar-2001, 1.0000 , 1.0196 ," 162,717 "," 2,848 "," 165,902 "," 2,848 ",,,
Apr-2001, 1.0000 , 1.0147 ," 158,000 "," 2,810 "," 160,325 "," 2,810 ",,,
May-2001, 1.0000 , 1.0098 ," 215,922 "," 2,816 "," 218,037 "," 2,816 ",,,
Jun-2001, 1.0000 , 1.0048 ," 142,933 "," 2,811 "," 143,622 "," 2,811 ",,,
Jul-2001, 1.0000 , 1.0000 ," 182,783 "," 2,830 "," 182,783 "," 2,830 ",,,
,,,,," 7,228,424 "," 104,079 ",,,
,,,,,,,,,
SUMMARY:,,,,,,,,,
,    ITEM DESCRIPTION,,,,VALUE,,,,
,(A) Total Weighted and Trended Incurred Claims  ……………………….,,,," 7,228,424 ",,, ,
,(B) Total Weighted Exposure  ……………………………………………..,,,," 104,079 ",,,,
,(C) Weighted NCC0 (A/B)  ………………………………………………….,,,, 69.4512 ,,,, 
,,,,,,,,,
