FORMULA TEST DOCUMENT,,,,,,,,,
,,,,,,,,,
3 - SPECIAL PARAMETER HANDLING,,,,,,,,,
,,,,,,,,,
3.1 - ADD MISSING/DIFFERENT DEFAULT PARAMETERS,,,,,,,,,
Formula,Is,Must,Ok?,,,,,,
"=FLOOR(-15,-10)",-10,-10,ok,,,,,,
"=CEILING(-15,-10)",-20,-20,ok,,,,,,
,,,,,,,,,
3.2 - REMOVE UNSUPPORTED PARAMETERS,,,,,,,,,
Formula,Is,Must,Ok?,,,,,,
"=PERCENTRANK($D$12:$D$15,2)",0.333,0.333,ok,1,,,,,
"=PERCENTRANK($D$12:$D$15,2,1)",0.3,0.3,ok,2,,,,,
"=PERCENTRANK($D$12:$D$15,2,3)",0.333,0.333,ok,3,,,,,
"=PERCENTRANK($D$12:$D$15,2,5)",0.33333,0.33333,ok,4,,,,,
"=INDIRECT(""$E$16"")",5,5,ok,5,,,,,
"=INDIRECT(""$E$17"",TRUE)",6,6,ok,6,,,,,
"=ADDRESS(18,5)",$E$18,$E$18,ok,,,,,,
"=ADDRESS(19,5,4)",E19,E19,ok,,,,,,
"=ADDRESS(20,5,4,TRUE)",E20,E20,ok,,,Test cells for 3D references in other sheets,,,
"=ADDRESS(21,5,4,TRUE,""Param"")",Param!E21,Param!E21,ok,,,16,,,
,,,,,,17,,,
3.3 - REPLACE DEFAULT PARAMETERS,,,,,,18,,,
Formula,Is,Must,Ok?,,,19,,,
"=IF(FALSE,)",FALSE,FALSE,ok,,,,,,
"=IF(TRUE,)",0,0,ok,,,,,,
"=IF(FALSE,,)",0,0,ok,,,,,,
"=IF(TRUE,,)",0,0,ok,,,,,,
,,,,,,,,,
3.4 - REMOVE TRAILING EMPTY PARAMETERS,,,,,,,,,
Formula,Is,Must,Ok?,,,,,,
"=SUM(1,)",1,1,ok,,,,,,
"=SUM( 1, 1, , )",2,2,ok,,,,,,
