_________________,,,,,,,,,,,,,,
,,,,,,,,,,_____91 _ 08 _12_,,,,
,_                         _,__,___,_90_12____,91______,______(%),91_________,"________",___%,__,91_______,____,,
1,________(POTS),_,__,"8,253,465 ","1,137,000 ",21.84%,"8,463,465 ","6,723,991 ",79.45%,__(________91/07/31),"248,300 ","91,300 ",___23445420___,
,,,__,"4,082,500 ","79,000 ",46.84%,"4,118,500 ","2,871,990 ",69.73%,,"37,000 ","15,000 ",,
,,,__,"4,823,946 ","512,300 ",78.12%,"4,855,606 ","3,326,144 ",68.50%,,"400,200 ","173,300 ",,
2,ISDN BRA,_,__,"79,129 ",832 ,15.38%,"79,257 ","18,335 ",23.13%,,128 ,"1,912 ",___23442588___,
,,,__,"23,590 ",340 ,87.06%,"23,630 ","3,869 ",16.37%,,296 ,"1,024 ",,
,,,__,"41,150 ","1,486 ",95.83%,"42,574 ","5,511 ",12.94%,,"1,424 ","1,592 ",,
3,ISDN T1-PRA,_,__,"8,177 ",0 ,0.00%,"8,177 ","4,286 ",52.42%,,0 ,"2,534 ",,
,,,__,"4,486 ",310 ,51.61%,"4,621 ","1,599 ",34.60%,,160 ,260 ,,
,,,__,"5,614 ",0 ,0.00%,"5,629 ","1,573 ",27.94%,,15 ,"3,262 ",,
4,ISDN E1-PRA,_,__,"3,445 ","2,670 ",10.49%,"3,725 ",720 ,19.33%,,280 ,"2,910 ",,
,,,__,"1,260 ",0 ,0.00%,"1,260 ",77 ,6.11%,,0 ,650 ,,
,,,__,"4,605 ",980 ,57.04%,"4,810 ",249 ,5.18%,,559 ,"4,000 ",,
5,________,_,__,"2,088,000 ","60,000 ",0.00%,"2,289,480 ","1,321,486 ",57.72%,__(________91/07/31),,,,
6,________,_,__,"74,840 ",-,-,"74,840 ","58,542 ",78.22%,__(________91/07/31),,,,
,__IN______,_,__,"30,000 ",-,-,"30,000 ","6,847 ",22.82%,,,"1,968,000 ","__153480,102000,6000,POI__60000____",
7,__ATM______,_,__,"657,555 ",-,-,"726,153 ","665,222 ",91.61%,__(PAMS________91/08/12),,"653,985 ",,
,,,__,"327,445 ",-,-,"382,061 ","285,168 ",74.64%,,,"322,856 ",,
,,,__,"324,702 ",-,-,"394,704 ","326,826 ",82.80%,,,"318,770 ",,
8,__ATM____,_,__,--,-,100.00%,11 ,-,-,_________________________,,11 ,,
9,__10G DWDM SDH__,_,__,--,14 ,0.00%,--,--,0.00%,__ SDH,,,,
10,________SDH__,_,__,480 ,0 ,0.00%,570 ,284 ,49.82%,______(________91/08/12),,0 ,,
11,________SDH__,_,__,875 ,404 ,54.46%,875 ,615 ,70.29%,,220,0 ,,
12,____ADSL__,_,__,"582,263 ","450,000 ",102.83%,"908,298 ","768,904",84.65%,____(________91/08/12),,"915,010 ",______,
,,,__,"350,232 ","250,000 ",103.06%,"540,655 ","300,557",55.59%,,,,,
,,,__,"311,120 ","200,000 ",58.94%,"443,562 ","330,140",74.43%,,,,,
13,HiNet_____,_,__,"1,000,000 ","900,000 ",100.00%,"1,900,000 ","1,070,431 ",56.34%,,,"800,000 ",23444600_____;23442307_____,
14,_______,_,__,"6,500,000 ","700,000 ",142.86%,"7,500,000 ","7,116,445",94.89%,__(________91/08/12),,"1,597,411 ",,
15,_______,_,__,"5,165 ","1,430 ",86.22%,"6,398 ","6,389",99.86%,,,"1,876 ",,
16,______,___,__,"235,320 ","21,000 ",71.14%,"252,684 ","113,609",44.96%,__(________91/07/28),"7,698 ",,,
,,,__,"215,317 ","22,600 ",72.26%,"239,529 ","91,716",38.29%,,"4,416 ",,,
,,,__,"198,616 ","17,600 ",57.70%,"203,096 ","79,178",38.99%,,"4,683 ",,,
17,______,___,__,"223,779 ","18,000 ",79.60%,"239,142 ","43,532",18.20%,,"5,176 ",,,
,,,__,"195,607 ","37,100 ",60.62%,"232,311 ","33,612",14.47%,,"5,623 ",,,
,,,__,"134,048 ","28,500 ",41.31%,"145,821 ","27,131",18.61%,,"1,500 ",,,
18,____,_,__,"13,652,200 ","55,200 ",94.93%,"11,759,400 ","7,322,644",62.27%,__(________91/07/28),"22,400 ",,,
,,,__,"6,472,300 ","59,200 ",71.62%,"5,185,500 ","2,960,921",57.10%,,"10,500 ",,,
,,,__,"7,902,900 ","75,000 ",45.33%,"6,317,300 ","3,648,435",57.75%,,"13,100 ",,,
19,____,Mbps,__,"10,665",-,-,"10,665 ","3,610",33.85%,____(________91/08/13),,,910813_______________3610,
20,____,Mbps,__,"28,864",-,-,"28,864 ","10,774",37.33%,____(________91/08/05),,,,
