_______________________,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
__,,__,__,__,__,__,__,__,__,__,__,___,___,,,,,,,,,,,,
_____,,0 ,"1,500 ","10,000 ",0 ,"79,800 ",,,,,,,,,,,,,,,,,,,
__,1_14_,1_28_,2_25_,3_11_,3_25_,4_11_,4_22_,5_6_,5_20_,6_3_,6_17_,7_1_,7_15_,7_29_,8_12_,8_26_,9_9_,9_23_,10_7_,10_21_,11_4_,11_18_,12_2_,12_16_,12_30_
_______,"254,173 ","254,173 ","255,048 ","255,048 ","257,002 ","257,002 ","227,289 ","230,648 ","232,245 ","232,936 ","233,534 ",234676,"237,053 ","239,142 ","239,468 ",,,,,,,,,,
_______,"285,393 ","285,393 ","282,410 ","282,410 ","283,573 ","283,573 ","288,291 ","283,044 ","204,997 ","205,057 ","205,498 ",211446,"231,498 ","232,311 ","231,775 ",,,,,,,,,,
_______,"165,802 ","165,802 ","164,547 ","164,547 ","167,298 ","167,298 ","135,548 ","139,534 ","139,522 ","141,056 ","142,093 ",144468,"145,488 ","145,821 ","146,903 ",,,,,,,,,,
_______,"35,162","35,162","35,917","35,917","34,487","34,487","37,376","39,251","39,887","40,679","41,577","42,119 ","42,633 ","43,532 ","43,440 ",,,,,,,,,,
_______,"27,182","27,182","27,640","27,640","31,307","31,307","27,647","27,172","30,568","30,881","31,134","31,305 ","33,224 ","33,612 ","34,131 ",,,,,,,,,,
_______,"21,944","21,944","22,242","22,242","22,918","22,918","21,038","21,449","22,705","24,363","26,114","26,546 ","26,809 ","27,131 ","27,573 ",,,,,,,,,,
_______,13.83%,13.83%,14.08%,14.08%,13.42%,13.42%,16.44%,17.02%,17.17%,17.46%,17.80%,17.95%,17.98%,18.20%,18.14%,,,,,,,,,,
_______,9.52%,9.52%,9.79%,9.79%,11.04%,11.04%,9.59%,9.60%,14.91%,15.06%,15.15%,14.81%,14.35%,14.47%,14.73%,,,,,,,,,,
_______,13.24%,13.24%,13.52%,13.52%,13.70%,13.70%,15.52%,15.37%,16.27%,17.27%,18.38%,18.38%,18.43%,18.61%,18.77%,,,,,,,,,,
