,,,,,,,,,,,,,,,,,,,,,,,
Date Printed : 01/08/2011,,,,,,Share Repurchase Report,,,,,,,,,,,,,,,,,
,,,,Trading Date (yyyy/mm/dd),,,,,,,,,,,"PurchaseMethod",,Number of such securities purchased on the Exchange in the Year to Date (since Ord. Resolution),,,% of Issued Share Capital at Time Ord. Resolution Passed Acquired on the Exchange Since Date of Resolution,,,
Company,"StockCode","Sec.Type",,,"SharesPurchased",,,"Unit orHighestPrice ($)",,"LowestUnitPrice ($)",,"Total Paid($)",,,,,,,,,,,
,,,,,,,,,,,,,,,,,(a),,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
CASH FIN SER GP,510,ORD,,2011/07/29,"1,350,000",,HKD 0.18,,,HKD 0.176,"HKD 239,046.00",,,,Exchange,,,"13,086,000",,,0.365,,
HSBCDRAGON FUND,820,FUND,,2011/07/29,"8,500",,HKD 7.9547,,,-,-,,,,-,,,-,,,-,,
NET2GATHER,1049,ORD,,2011/07/29,"588,000",,HKD 0.203,,,HKD 0.199,"HKD 118,056.00",,,,Exchange,,,"10,338,000",,,0.302,,
SINO LAND,83,ORD,,2011/07/29,"88,000",,HKD 13.26,,,HKD 13.16,"HKD 1,163,200.00",,,,Exchange,,,"9,190,000",,,0.188,,
SINO PROSPER SG,766,ORD,,2011/07/29,"2,460,000",,HKD 0.1976,,,-,"HKD 486,096.00",,,,Exchange,,,"12,010,000",,,0.180,,
ZHONGAN REALEST,672,ORD,,2011/07/29,"902,000",,HKD 1.43,,,HKD 1.39,"HKD 1,272,080.00",,,,Exchange,,,"9,511,000",,,0.399,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,*** End Of Report ***,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
"Whilst the Exchange has endeavoured to ensure that the information supplied to it is accurately reproduced in the above report, the Exchange does not accept any liability for any direct or consequential loss or damage arising from any inaccuracy or omission therein.",,,,,,,,,,,,,,,,,,,,,,,
