,,,,,,,,,,China Expatriate Programme APPLICATION FORM,,,,
,,,,,,,,,,,,,,
All information in this form will be treated as confidential and will only be used by CEIBS Admission Committee. (Please type or print legibly.),,,,,,,,,,,,,,
,,,,,,,,,,,,,,
I would like to apply for the session:,,,,,,"April 12 - 14, 2007",,,,"September 6 - 8, 2007",,,,
,,,,,,,,,,,,,,
Personal Information,,,,,,,,,,,,,,
Please fill in with a check mark:,,,,,,Mr.,,Ms.,,,,,,
Name:,,,,,,,,,,Name in Chinese        (if applicable):,,,,
,,,Last (Family)                   Middle                    First,,,,,,,,,,,
Nationality:,,,,,,,,,,Date of Birth:,,,,(YY/MM/DD)
Business Telephone:,,,,,,,,,,Fax:,,,,
Mobile Phone:,,,,,,,,,,E-mail:,,,,
Native Language:,,,,,,,,,,Highest Education:,,,,
Job Title:,,,,,,,,,,No. of employees you are responsible for:,,,,
,,,,,,,,,,,,,,
Company Information,,,,,,,,,,,,,,
Company Name:,,,,,,,,,,,,,,
Company Address:,,,,,,,,,,,,,,
,,,Street Address,,,,,,,,,,,
,,,,,,,,,,,,,,
                    City                                          Province/State                                                                                          Country                                                            Postal Code,,,,,,,,,,,,,,
Annual Sales (in ¥ or US$):,,,,,,,,,,,,,,
Parent Company:,,,,,,,,,,Origin of Parent Company:,,,,
Description of your company and its activities:,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
How did you hear about the programme? ,,,,,,,,,,,,,,
,"Advertisement, please specify name of publication and issue date:",,,,,,,,,,,,,
,"Internet, please specify which search engine or website:",,,,,,,,,,,,,
,Course information package received by mail,,,,,,,,,,,,,
,Course information received by fax,,,,,,,,,,,,,
,Course information received by e-mail,,,,,,,,,,,,,
,Recommended by CEIBS Account Manager,,,,,,,,,,,,,
,Recommended by colleague or friend,,,,,,,,,,,,,
,CEIBS website (www.ceibs.edu),,,,,,,,,,,,,
,Other:,,,,,,,,,,,,,
What industry are you in?,,,,,,,,,,,,,,
,Aerospace/Aerospace Equipment,,,,,,Government,,,,,Pharmaceutical/Health Care,,
,Automotive,,,,,,Hospital/Hospital Investment,,,,,Power/Power Equipment,,
,Business Consulting/Business Service,,,,,,Hotel/Resort,,,,,Real Estate/Infrastructure,,
,Chemicals,,,,,,IT/Hi-Tech,,,,,Retailing/Wholesaling/Trading,,
,Consumer Product,,,,,,Manufacturing,,,,,Telecommunications,,
,Electrical,,,,,,Material,,,,,Textile/Garment/Leather,,
,Electronics,,,,,,Media/Culture,,,,,Transportation/Logistics,,
,Financial Service/Insurance,,,,,,Petroleum/Oil/Gas,,,,,Conglomerate,,
,Food/Beverage,,,,,,Paper/Printing/Packaging,,,,,"Other, please specify:",,
,,,,,,,,,,,,,,
Why do you want to attend this programme?,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
For how long have you been working with and in China?,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
How would you describe your experience regarding China?,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
I certify that all the information is authentic and accurate.,,,,,,,,,,,,,,
Signature of Applicant:,,,,,,,,,Date:,,,,,
,,,,,,,,,,,,,,
Note:,,,,,,,,,,,,,,
"The full fee must be paid no later than 15 working days before the start of the programme. Applications made within 15 working days of the start of a programme require immediate payment. If a confirmed booking is cancelled within 15 working days of the start of the programme, or if the applicant fails to attend the programme, a cancellation fee equaling to 20 percent of the total programme fee will be charged.",,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Please return by fax/mail/e-mail to: ,,,,,,,,,,,,,,
Mr. Ward Niou,,,,,,,,,,,,,,
CEIBS Executive Education,,,,,,,,,,,,,,
"699 Hongfeng Road, Pudong",,,,,,,,,,,,,,
"Shanghai 201206, P.R.C.",,,,,,,,,,,,,,
Tel: +86 21 2890 5231,,,,,,,,,Copy of applicant’s business card,,,,,
Fax: +86 21 2890 5183,,,,,,,,,,,,,,
E-mail: wniou@ceibs.edu,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
