,,,,,,,
还原利润表,,,,,,,
,,,,,,,
三农属性：,,,,,,,
编制单位: ,,,机构代号: ,,制表日期:,,
代码,项目名称,科目号,金额,代码,项目名称,科目号,金额
01,一、贷款利息收入类, A5010002,,07,七、利息支出类, A5020002,
77101,房地产贷款利息收入, A5010004,,87101,个人活期存款利息支出, A5020004,
1,短期单位房地产贷款利息收入, A5010005,,1,个人结算存款利息支出, A5020005,
2,中期单位房地产贷款利息收入, A5010007,,2,个人活期储蓄存款利息支出, A5020007,
3,长期单位房地产贷款利息收入, A5010009,,3,个人借记卡存款利息支出, A5020009,
4,短期个人住房贷款利息收入, A5010011,,4,个人准贷记卡存款利息支出, A5020011,
5,中期个人住房贷款利息收入, A5010013,,5,其他个人活期存款利息支出, A5020013,
6,长期个人住房贷款利息收入, A5010015,,6,惠农个人借记卡存款利息支出, A5020600,
77102,汽车贷款利息收入, A5010017,,7,惠农个人结算存款利息支出, A5020602,
1,短期单位汽车贷款利息收入, A5010018,,8,惠农其他活期存款利息支出, A5020604,
2,中期单位汽车贷款利息收入, A5010020,,9,惠农个人活期储蓄存款利息支出, A5020606,
3,短期个人汽车消费贷款利息收入, A5010022,,87201,单位活期存款利息支出, A5020016,
4,中期个人汽车消费贷款利息收入, A5010024,,1,单位活期存款利息支出, A5020017,
77103,扶贫贷款利息收入, A5010026,,2,单位借记卡存款利息支出, A5020019,
1,短期单位扶贫贷款利息收入, A5010027,,3,单位准贷记卡存款利息支出, A5020021,
2,中期单位扶贫贷款利息收入, A5010029,,4,其他单位活期存款利息支出, A5020023,
3,长期单位扶贫贷款利息收入, A5010031,,87301,个人定期储蓄存款利息支出, A5020026,
4,短期个人扶贫贷款利息收入, A5010033,,1,一个月定期储蓄存款利息支出, A5020027,
5,中期个人扶贫贷款利息收入, A5010035,,2,三个月定期储蓄存款利息支出, A5020029,
6,长期个人扶贫贷款利息收入, A5010037,,3,六个月定期储蓄存款利息支出, A5020031,
77104,项目融资贷款利息收入, A5010039,,4,一年定期储蓄存款利息支出, A5020033,
1,短期项目融资贷款利息收入, A5010040,,5,二年期定期储蓄存款利息支出, A5020035,
