,,,,Entergy,,,,,Soco,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Daily,,,,29.00,32.00,,,,33.00,35.00,,,,,,,,,,,
Bal week,,,,29.00,32.00,,,,31.00,33.50,,,,,,,,,,,
Next Week,,,,29.00,31.00,,,,30.00,32.00,,,,,,,,,,,
Bal month,,,,30.50,32.00,,,,32.00,34.00,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,heat rates,,Entergy Cals,,,heat rates,,Soco Cals,,Soco/Ent,,Soco/Indy,,GTC Peaks,,GTC/Soco,,,,
,,,,,,,,,,,,,,,,,,,,,
,0.00,,,,,,,,,,,,,,,,,,,,
Cal 2013,3.97,8.62,8.90,34.19,35.29,Cal 2013,9.25,9.40,36.69,37.29,2.00,2.50,-1.46,-0.51,37.94,39.04,1.25,1.75,,,
Cal 2014,4.23,8.39,8.67,35.48,36.66,Cal 2014,9.10,9.20,38.48,38.91,2.25,3.00,-0.17,0.76,39.73,41.16,1.25,2.25,,,
Cal 2015,4.36,8.41,8.73,36.68,38.08,Cal 2015,9.10,9.25,39.68,40.33,2.25,3.00,0.38,1.58,40.93,42.58,1.25,2.25,,,
,0.00,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,heat rates,,Entergy,,,heat rates,,Soco peak,,Soco/Ent,,Soco/Indy,,GTC/Soco,,GTC Peaks,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,0.00,,,,,,,,,,,,,,,,,,,,
,0.00,,,,,,,,,,,,,,,,,,,,
Z 12,3.79,8.71,9.17,33.00,34.75,Z 12,9.30,9.63,35.25,36.50,1.75,2.25,-3.00,-2.50,0.25,1.25,35.50,37.75,,,
,0.00,,,,,,,,,,,,,,,,,,,,
,0.00,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
FG 13,3.91,8.78,9.14,34.30,35.70,FG 13,9.48,9.71,37.05,37.95,2.25,2.75,-2.00,-1.50,,,,,,,
HJ 13,3.87,,,,,HJ 13,8.66,9.11,33.50,35.25,,,-1.75,-0.75,,,,,,,
K 13,3.88,,,,,K 13,8.81,9.12,34.15,35.35,,,-1.25,-0.75,,,,,,,
M 13,3.91,,,,,M 13,9.26,9.49,36.20,37.10,,,-1.25,-0.75,,,,,,,
NQ 13,3.96,9.29,9.78,36.75,38.70,NQ 13,10.05,10.41,39.75,41.20,2.50,3.00,-4.50,-3.75,,,,,,,
U 13,3.97,,,,,U 13,8.73,9.03,34.65,35.85,,,-0.75,-0.25,,,,,,,
Q4 13,4.13,,,,,Q4 13,8.32,8.69,34.30,35.85,,,-0.75,0.00,,,,,,,
Cal 2013,3.97,,,,,Cal 2013,9.01,9.35,35.72,37.07,,,-1.85,-1.16,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
OFFPEAK,,,,,,,,,,,,,,,,,,,,,
,,,,Entergy,,,,,12 Soco offpeaks,,Soco/Ent,,Soco/Indy,,Gtc/Soco,,GTC Offpeaks,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Z 12,,,,26.25,27.75,,,Z 12,29.00,30.00,2.25,2.75,0.50,1.00,0.50,1.50,29.50,31.50,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
FG 13,,,,28.50,29.75,,,FG 13,31.00,31.75,2.00,2.50,1.75,2.25,,,,,,,
,,,,,,,,HJ 13,,,,,,,,,,,,,
,,,,,,,,K 13,,,,,,,,,,,,,
,,,,,,,,M 13,,,,,,,,,,,,,
,,,,,,,,NQ 13,28.75,30.25,,,3.25,4.25,,,,,,,
,,,,,,,,U 13,27.25,28.75,,,4.00,4.75,,,,,,,
,,,,,,,,Q4 13,,,,,,,,,,,,,
,,,,,,,,Cal 2013,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Cal 2013,,,,24.50,26.00,,,Cal 2013,28.00,29.00,3.00,3.50,2.00,3.35,1.50,2.50,29.50,31.50,,,
Cal 2014,,,,25.25,27.00,,,Cal 2014,29.00,30.00,3.00,3.75,2.40,3.70,1.75,2.50,30.75,32.50,,,
Cal 2015,,,,27.25,29.25,,,Cal 2015,31.25,32.25,3.00,4.00,3.35,4.85,1.75,2.50,33.00,34.75,,,
FLAT Power ,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,Entergy ,,,,,Soco ,,Soco/Ent,,Soco/Indy,,GTC/Soco,,GTC atc,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Cal 2013,,,,29.41,30.86,,,Cal 2013,32.06,32.87,1.20,3.46,0.40,1.57,1.38,2.15,33.43,35.01,,,
Cal 2014,,,,30.02,31.50,,,Cal 2014,33.42,34.15,2.65,3.40,1.20,2.33,0.58,1.05,34.93,36.53,,,
Cal 2015,,,,31.66,33.38,,,Cal 2015,35.19,36.03,2.65,3.53,1.96,3.32,1.52,2.38,36.71,38.41,,,
,,,,,,,,,,,,,,,,,,,,,
