FORMULA TEST DOCUMENT,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
4 - ALL SHEET FUNCTIONS,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
4.1 - FUNCTIONS SUPPORTED IN BIFF2,,,,,,,,4.2 - FUNCTIONS SUPPORTED IN BIFF3,,,,,,4.6 - FUNCTIONS SUPPORTED IN OOX,,,
Index,Function,Is,Must,Ok?,Test values,,,Index,Function,Is,Must,Ok?,,Function,Is,Must,Ok?
0,COUNT,1,1,ok,1,2,,204,YEN/USDOLLAR,$1,1 €,ERR!,,AVERAGEIF,1,1,ok
1,IF,1,1,ok,1,2,,205,FINDB,1,1,ok,,AVERAGEIFS,1,1,ok
2,ISNA,TRUE,TRUE,ok,1,-2,,206,SEARCHB,1,1,ok,,COUNTIFS,0,0,ok
3,ISERROR,TRUE,TRUE,ok,,,,207,REPLACEB,A,A,ok,,IFERROR,1,1,ok
4,SUM,1,1,ok,,,,208,LEFTB,A,A,ok,,SUMIFS,1,1,ok
5,AVERAGE,1,1,ok,,,,209,RIGHTB,A,A,ok,,,,,
6,MIN,1,1,ok,,,,210,MIDB,A,A,ok,,4.7 - ANALYSIS ADD-IN FUNCTIONS,,,
7,MAX,1,1,ok,,,,211,LENB,1,1,ok,,Function,Is,Must,Ok?
8,ROW,1,1,ok,,,,212,ROUNDUP,1,1,ok,,ACCRINT,1,1,ok
9,COLUMN,1,1,ok,,,,213,ROUNDDOWN,1,1,ok,,ACCRINTM,0,0,ok
10,NA,#N/A,#N/A,ok,,,,214,ASC,_,A,ERR!,,AMORDEGRC,25,25,ok
11,NPV,1,1,ok,,,,215,JIS/DBCS,A,_,ERR!,,AMORLINC,10,10,ok
12,STDEV,0,0,ok,,,,219,ADDRESS,$A$1,$A$1,ok,,BESSELI,0,0,ok
13,DOLLAR,$1,1 €,ERR!,,,,220,DAYS360,0,0,ok,,BESSELJ,0,0,ok
14,FIXED,1,1,ok,Test values,,,221,TODAY,18/5/14,,ok,,BESSELK,0.421024421,0.421024421,ok
15,SIN,1,1,ok,#N/A,1,,222,VBD,0,0,ok,,BESSELY,0.088256971,0.088256971,ok
16,COS,1,1,ok,,,,227,MEDIAN,1,1,ok,,BIN2DEC,1,1,ok
17,TAN,0,0,ok,,,,228,SUMPRODUCT,1,1,ok,,BIN2HEX,1,1,ok
18,ATAN,0,0,ok,,,,229,SINH,0,0,ok,,BIN2OCT,1,1,ok
19,PI,3.141592654,3.141592654,ok,,,,230,COSH,1,1,ok,,COMPLEX,1,1,ok
20,SQRT,1,1,ok,,,,231,TANH,0,0,ok,,CONVERT,1,1,ok
21,EXP,1,1,ok,,,,232,ASINH,0,0,ok,,COUPDAYBS,1,1,ok
22,LN,0,0,ok,,,,233,ACOSH,0,0,ok,,COUPDAYS,360,360,ok
23,LOG10,1,1,ok,,,,234,ATANH,0,0,ok,,COUPDAYSNC,1,1,ok
24,ABS,1,1,ok,,,,235,DGET,1,1,ok,,COUPNCD,2,2,ok
25,INT,1,1,ok,,,,244,INFO,mac,,ok,,COUPNUM,1,1,ok
26,SIGN,1,1,ok,,,,,,,,,,COUPPCD,0,0,ok
27,ROUND,1,1,ok,,,,4.3 - FUNCTIONS SUPPORTED IN BIFF4,,,,,,CUMIPMT,0,0,ok
28,LOOKUP,1,1,ok,,,,Index,Function,Is,Must,Ok?,,CUMPRINC,-1,-1,ok
29,INDEX,1,1,ok,,,,216,RANK,1,1,ok,,DEC2BIN,1,1,ok
30,REPT,A,A,ok,,,,247,DB,1,1,ok,,DEC2HEX,1,1,ok
31,MID,A,A,ok,,,,252,FREQUENCY,1,1,ok,,DEC2OCT,1,1,ok
32,LEN,1,1,ok,,,,261,ERROR.TYPE,7,,ok,,DELTA,1,1,ok
33,VALUE,1,1,ok,,,,269,AVEDEV,0,0,ok,,DISC,0,0,ok
34,TRUE,TRUE,TRUE,ok,,,,270,BETADIST,1,1,ok,,DOLLARDE,1,1,ok
35,FALSE,FALSE,FALSE,ok,,,,271,GAMMALN,0,-4.1716E-11,ok,,DOLLARFR,1,1,ok
36,AND,TRUE,TRUE,ok,,,,272,BETAINV,0.5,0.5,ok,,DURATION,1,1,ok
37,OR,TRUE,TRUE,ok,,,,273,BINOMDIST,1,1,ok,,EDATE,32,32,ok
38,NOT,TRUE,TRUE,ok,,,,274,CHIDIST,1,1,ok,,EFFECT,1,1,ok
39,MOD,1,1,ok,,,,275,CHIINV,0,1.5708E-18,ok,,EOMONTH,59,59,ok
40,DCOUNT,1,1,ok,,,,276,COMBIN,1,1,ok,,ERF,0,0,ok
41,DSUM,1,1,ok,,,,277,CONFIDENCE,0.67448975,0.67448975,ok,,ERFC,1,1,ok
42,DAVERAGE,1,1,ok,,,,278,CRITBINOM,0,0,ok,,FACTDOUBLE,1,1,ok
43,DMIN,1,1,ok,,,,279,EVEN,2,2,ok,,FVSCHEDULE,1,1,ok
44,DMAX,1,1,ok,,,,280,EXPONDIST,0,0,ok,,GCD,1,1,ok
45,DSTDEV,0,0,ok,,,,281,FDIST,1,1,ok,,GESTEP,1,1,ok
46,VAR,0,0,ok,,,,282,FINV,0,0,ok,,HEX2BIN,1,1,ok
47,DVAR,0,0,ok,,,,283,FISHER,0,0,ok,,HEX2DEC,1,1,ok
48,TEXT,1,1,ok,,,,284,FISHERINV,0,0,ok,,HEX2OCT,1,1,ok
49,LINEST,0,0,ok,,,,285,FLOOR,1,1,ok,,IMABS,1,1,ok
50,TREND,1,1,ok,,,,286,GAMMADIST,0,0,ok,,IMAGINARY,0,0,ok
51,LOGEST,1,1,ok,,,,287,GAMMAINV,0,0,ok,,IMARGUMENT,0,0,ok
52,GROWTH,1,1,ok,,,,288,CEILING,1,1,ok,,IMCONJUGATE,1,1,ok
56,PV,-1,-1,ok,,,,289,HYPGEOMDIST,1,1,ok,,IMCOS,1,1,ok
57,FV,-1,-1,ok,,,,290,LOGNORMDIST,0.5,0.5,ok,,IMDIV,1,1,ok
58,NPER,-1,-1,ok,,,,291,LOGINV,1,1,ok,,IMEXP,1,1,ok
59,PMT,-1,-1,ok,,,,292,NEGBINOMDIST,0.5,0.5,ok,,IMLN,0,0,ok
60,RATE,100%,100%,ok,,,,293,NORMDIST,0.5,0.5,ok,,IMLOG10,1,1,ok
61,MIRR,100%,100%,ok,,,,294,NORMSDIST,0.5,0.5,ok,,IMLOG2,0,0,ok
62,IRR,0%,0%,ok,,,,295,NORMINV,1,1,ok,,IMPOWER,1,1,ok
63,RAND,0.170339018,,ok,,,,296,NORMSINV,0,-1.39214E-16,ok,,IMPRODUCT,1,1,ok
64,MATCH,1,1,ok,,,,297,STANDARDIZE,0,0,ok,,IMREAL,1,1,ok
65,DATE,24/4/77,24/4/77,ok,,,,298,ODD,1,1,ok,,IMSIN,0,0,ok
66,TIME,01:30,01:30,ok,,,,299,PERMUT,1,1,ok,,IMSQRT,1,1,ok
67,DAY,24,24,ok,,,,300,POISSONDIST,1,1,ok,,IMSUB,1,1,ok
68,MONTH,4,4,ok,,,,301,TDIST,0.5,0.5,ok,,IMSUM,1,1,ok
69,YEAR,1977,1977,ok,,,,302,WEIBULL,0,0,ok,,INTRATE,0,0,ok
70,WEEKDAY,1,1,ok,,,,303,SUMXMY2,0,0,ok,,ISEVEN,TRUE,TRUE,ok
71,HOUR,1,1,ok,,,,304,SUMX2MY2,0,0,ok,,ISODD,TRUE,TRUE,ok
72,MINUTE,30,30,ok,,,,305,SUMX2DY2,2,2,ok,,LCM,1,1,ok
73,SECOND,0,0,ok,,,,306,CHITEST,1,1,ok,,MDURATION,1,1,ok
74,NOW,06:08,,ok,,,,307,CORREL,1,1,ok,,MROUND,1,1,ok
75,AREAS,1,1,ok,,,,308,COVAR,0,0,ok,,MULTINOMIAL,1,1,ok
76,ROWS,1,1,ok,,,,309,FORECAST,1,1,ok,,NETWORKDAYS,1,1,ok
77,COLUMNS,1,1,ok,,,,310,FTEST,1,0.999999999,ok,,NOMINAL,1,1,ok
78,OFFSET,1,1,ok,,,,311,INTERCEPT,0,0,ok,,OCT2BIN,1,1,ok
82,SEARCH,1,1,ok,,,,312,PEARSON,1,1,ok,,OCT2DEC,1,1,ok
83,TRANSPOSE,1,1,ok,,,,313,RSQ,1,1,ok,,OCT2HEX,1,1,ok
86,TYPE,1,1,ok,,,,314,STEYX,0,0,ok,,ODDFPRICE,100.0209354,100.0209354,ok
97,ATAN2,0,0,ok,,,,315,SLOPE,0,0,ok,,ODDFYIELD,188.2304069,188.2304069,ok
98,ASIN,0,0,ok,,,,316,TTEST,0.412961172,0.412961172,ok,,ODDLPRICE,38.60430695,38.60430695,ok
99,ACOS,0,0,ok,,,,317,PROB,1,1,ok,,ODDLYIELD,13.74265802,13.74265802,ok
100,CHOOSE,1,1,ok,,,,318,DEVSQ,0,0,ok,,PRICE,45.68456789,45.68456789,ok
101,HLOOKUP,1,1,ok,,,,319,GEOMEAN,1,1,ok,,PRICEDISC,0,0,ok
102,VLOOKUP,1,1,ok,,,,320,HARMEAN,1,1,ok,,PRICEMAT,100,100,ok
105,ISREF,TRUE,TRUE,ok,,,,321,SUMSQ,1,1,ok,,QUOTIENT,1,1,ok
109,LOG,0,0,ok,,,,322,KURT,-1.2,-1.2,ok,,RANDBETWEEN,0,0,ok
111,CHAR,A,A,ok,,,,323,SKEW,0,0,ok,,RECEIVED,1,1,ok
112,LOWER,a,a,ok,,,,324,ZTEST,0.001349898,0.001349898,ok,,SERIESSUM,1,1,ok
113,UPPER,A,A,ok,,,,325,LARGE,1,1,ok,,SQRTPI,0,0,ok
114,PROPER,Aa,Aa,ok,,,,326,SMALL,1,1,ok,,TBILLEQ,0.110139845,0.110139845,ok
115,LEFT,A,A,ok,,,,327,QUARTILE,1,1,ok,,TBILLPRICE,89.83333333,89.83333333,ok
116,RIGHT,A,A,ok,,,,328,PERCENTILE,1,1,ok,,TBILLYIELD,982.6229508,982.6229508,ok
117,EXACT,TRUE,TRUE,ok,,,,329,PERCENTRANK,1,1,ok,,WEEKNUM,1,1,ok
118,TRIM,A,A,ok,,,,330,MODE,1,1,ok,,WORKDAY,1,1,ok
119,REPLACE,A,A,ok,,,,331,TRIMMEAN,1,1,ok,,XIRR,2.98023E-09,2.98023E-09,ok
120,SUBSTITUTE,A,A,ok,,,,332,TINV,0,1.49048E-08,ok,,XNPV,0,0,ok
121,CODE,65,65,ok,,,,,,,,,,YEARFRAC,1,1,ok
124,FIND,1,1,ok,,,,4.4 - FUNCTIONS SUPPORTED IN BIFF5,,,,,,YIELD,4.796846171,4.796846171,ok
125,CELL,$A$1,$A$1,ok,,,,Index,Function,Is,Must,Ok?,,YIELDDISC,0,0,ok
126,ISERR,FALSE,FALSE,ok,,,,336,CONCATENATE,A,A,ok,,YIELDMAT,8.039702233,8.039702233,ok
127,ISTEXT,TRUE,TRUE,ok,,,,337,POWER,1,1,ok,,,,,
128,ISNUMBER,TRUE,TRUE,ok,,,,342,RADIANS,0,0,ok,,4.8 - MACRO SIMULATED FUNCTIONS,,,
129,ISBLANK,FALSE,FALSE,ok,,,,343,DEGREES,0,0,ok,,Function,Is,Must,Ok?
130,T,1,1,ok,,,,344,SUBTOTAL,1,1,ok,,BAHTTEXT,____________,____________,ok
131,N,1,1,ok,,,,345,SUMIF,2,2,ok,,THAIDAYOFWEEK,#VALUE!,#VALUE!,ok
140,DATEVALUE,28239,28239,ok,,,,346,COUNTIF,2,2,ok,,THAIDIGIT,#VALUE!,#VALUE!,ok
141,TIMEVALUE,0.0625,0.0625,ok,,,,347,COUNTBLANK,0,0,ok,,THAIMONTHOFYEAR,#VALUE!,#VALUE!,ok
142,SLN,1,1,ok,,,,350,ISPMT,0,0,ok,,THAINUMSOUND,#VALUE!,#VALUE!,ok
143,SYD,1,1,ok,,,,351,DATEDIF,0,0,ok,,THAINUMSTRING,#VALUE!,#VALUE!,ok
144,DDB,1,1,ok,,,,352,DATESTRING,#N/A,#N/A,ok,,THAISTRINGLENGTH,#VALUE!,#VALUE!,ok
148,INDIRECT,1,1,ok,,,,353,NUMBERSTRING,#N/A,#N/A,ok,,ISTHAIDIGIT,#VALUE!,#VALUE!,ok
162,CLEAN,A,A,ok,,,,354,ROMAN,MM,MM,ok,,ROUNDBAHTDOWN,#VALUE!,#VALUE!,ok
163,MDETERM,1,1,ok,,,,,,,,,,ROUNDBAHTUP,#VALUE!,#VALUE!,ok
164,MINVERSE,1,1,ok,,,,4.5 - FUNCTIONS SUPPORTED IN BIFF8,,,,,,THAIYEAR,#VALUE!,#VALUE!,ok
165,MMULT,1,1,ok,,,,Index,Function,Is,Must,Ok?,,RTD,#N/A,#N/A,ok
167,IPMT,-1,-1,ok,,,,358,GETPIVOTDATA,#REF!,#REF!,ok,,,,,
168,PPMT,-1,-1,ok,,,,359,HYPERLINK,#A1,#A1,ok,,4.9 - EUROTOOL ADD-IN,,,
169,COUNTA,1,1,ok,,,,360,PHONETIC,#N/A,#N/A,ok,,Function,Is,Must,Ok?
183,PRODUCT,1,1,ok,,,,361,AVERAGEA,1,1,ok,,EUROCONVERT,#NAME?,195.58,ERR!
184,FACT,1,1,ok,,,,362,MAXA,1,1,ok,,,,,
189,DPRODUCT,1,1,ok,,,,363,MINA,1,1,ok,,,,,
190,ISNONTEXT,TRUE,TRUE,ok,,,,364,STDEVPA,0,0,ok,,,,,
193,STDEVP,0,0,ok,,,,365,VARPA,0,0,ok,,,,,
194,VARP,0,0,ok,,,,366,STDEVA,0,0,ok,,,,,
195,DSTDEVP,0,0,ok,,,,367,VARA,0,0,ok,,,,,
196,DVARP,0,0,ok,,,,,,,,,,,,,
197,TRUNC,1,1,ok,,,,,,,,,,,,,
198,ISLOGICAL,TRUE,TRUE,ok,,,,,,,,,,,,,
199,DCOUNTA,1,1,ok,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
