,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DATA SECTION,INTEGRAL,DOUBLE,BLANK,STRING,REF,AREA (rows),,,,AREA (cols),,,,,AREA (AREA),,,,FINANCE DATA,,,,,,,ERRORS,,,,,,,,,,,IRR/NPV,MIRR,,,,,Percentile,
,0,0,,,0,1,2,3,4,1,1.001,alphanum,blanksIncl,E8,1,2,3,4,r,n,y,p,t,f,,#NULL!,,0,1,2,3,4,5,6,7,8,"-70,000",-120000,-7500,-10000,10000,-10000,1,
,1,0.00001,,nospaces,1,1.001,2.999,3.5,4.5,2,2.9999,3,,545,9999.9999,23.3333,0-Jan,1000.001,1,10,100,10000,0,,,#DIV/0!,,8,9,10,11,12,13,14,15,16,"12,000",39000,3000,3400,3400,-3400,3,
,2,1.1,,sp ace s,9999999999,2.3456,3.4567,5.6789,6.789,3,3.5,ric,345,454,refsIncl,2,3.5,,1,10,100,10000,1,,,#VALUE!,,16,17,18,19,20,21,22,23,24,"15,000",30000,5000,6500,6500,-6500,2,
,534,1.00001,,endsWithSpace ,0.00001,alphanum,3,ric,row,4,4.5,col,0.00001,0,blanksIncl,,,endarea,2,12,120,12000,0,,,#REF!,,24,25,26,27,28,29,30,31,32,"18,000",21000,1200,1000,1000,-1000,4,
,9999999999,2.99999,, beginsWithSpace,0,blanksIncl,,345,0.00001,,,,,,,,,,2,12,120,12000,1,,,#NAME?,,32,33,34,35,36,37,38,39,40,"12,000",37000,4000,7%,7%,7%,,
,-9999999999,1000000,,non-numeric,sp ace s,E8,545,454,0,,,,,,,,,,0.666666667,23,133.33,34307,0,,,#NUM!,,40,41,42,43,44,45,46,47,48,"26,000",46000,5%,10%,10%,1%,,
,-534,-1000000,,0,2.99999,,,,,,,,,,,,,,0.666666667,23,133.33,34307,1,,,#N/A,,,,,,,,,,,,10%,8%,,,,,
,-2,-2.99999,,0.000001,alph4Num3ric,,,,,,,,,,,,,,0,1,100,2300,0,,,,,,,,,,,,,,,12%,,,,,,
,-1,-1.00001,,1,,,,,,,,,,,,,,,0,1,100,2300,1,,,,,,,,,,,,,,,,,,,,,
,TRUE,-1.1,,1.1,,,,,,,,,,,,,,,0,12,120,12000,0,,,,,,,,,,,,,,,,,,,,,
,FALSE,-0.00001,,2.99999,,,,,,,,,,,,,,,0,12,120,12000,1,,,,,,,,,,,,,,,,,,,,,
,TRUE,,,99999999,,,,,,,,,,,,,,,2.3333,4,334.5,14323.45,0,,,,,,,,,,,,,,,,,,,,,
,FALSE,,,alph4Num3ric,,,,,,,,,,,,,,,2.3333,4,334.5,14323.45,1,,,,,,,,,,,,,,,,,,,,,
,,2000/12/25,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Add,FORMULA,0,1000000.001,-0.1,3.10001,0,#VALUE!,0,#VALUE!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,EXPECTED VALUE,0,1000000.001,-0.1,3.10001,0,#VALUE!,0,#VALUE!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ConcatEval,FORMULA,01,2hello world,its TRUE blue,99999999990alph4Num3ric,#VALUE!,#VALUE!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,EXPECTED VALUE,01,2hello world,its TRUE blue,99999999990alph4Num3ric,#VALUE!,#VALUE!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
