PIVOT TABLE TEST DOCUMENT,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
3 - FIELD DATA TYPES FOR INTERNAL DATA SOURCE,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
"3.1 - SINGLE FIELD DATA TYPE, SINGLE VALUE IN SHARED ITEMS",,,,,,,,,,,,,,,,,,,,,,
Empty,,,String,,,Integer,,,Number,,,Date,,,Boolean,,,Error,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Row Labels,Sum of Number,,Row Labels,Sum of Number,,Row Labels,Sum of Number,,Row Labels,Sum of Number,,Row Labels,Sum of Number,,Row Labels,Sum of Number,,Row Labels,Sum of Number,,,
(blank),6,,Text,6,,1,6,,1.5,6,,1/1/08,6,,TRUE,6,,#VALUE!,6,,,
Grand Total,6,,Grand Total,6,,Grand Total,6,,Grand Total,6,,Grand Total,6,,Grand Total,6,,Grand Total,6,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
"3.2 - SINGLE FIELD DATA TYPE, MULTIPLE VALUES IN SHARED ITEMS",,,,,,,,,,,,,,,,,,,,,,
String,,,Integer,,,Number,,,Date,,,Boolean,,,Error,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Row Labels,Sum of Number,,Row Labels,Sum of Number,,Row Labels,Sum of Number,,Row Labels,Sum of Number,,Row Labels,Sum of Number,,Row Labels,Sum of Number,,,,,,
Text 1,3,,1,3,,1.5,3,,1/1/08,3,,FALSE,14,,#N/A,9,,,,,,
Text 2,5,,2,5,,2.5,5,,1/2/08,5,,TRUE,10,,#NUM!,7,,,,,,
Text 3,7,,3,7,,3.5,7,,1/3/08,7,,Grand Total,24,,#NAME?,5,,,,,,
Text 4,9,,4,9,,4.5,9,,1/4/08,9,,,,,#VALUE!,3,,,,,,
Grand Total,24,,Grand Total,24,,Grand Total,24,,Grand Total,24,,,,,Grand Total,24,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
"3.3 - MIXED FIELD DATA TYPES, MULTIPLE VALUES IN SHARED ITEMS",,,,,,,,,,,,,,,,,,,,,,
SemiMixed,,,NonDate,,,Date,,,String,,,Blank,,,Mixed,,,Numeric,,,Integer,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Row Labels,Count of Numeric,,Row Labels,Count of Numeric,,Row Labels,Count of Numeric,,Row Labels,Count of Numeric,,Row Labels,Count of Numeric,,Row Labels,Count of Numeric,,Row Labels,Count of Numeric,,Row Labels,Count of Numeric
Text,1,,1,1,,1,1,,Text,1,,Text,1,,1,1,,1,1,,1,1
TRUE,1,,1.5,1,,1.5,1,,TRUE,1,,TRUE,1,,1.5,1,,1.5,1,,2,1
#VALUE!,1,,Text,1,,Text,1,,#VALUE!,1,,#VALUE!,1,,Text,1,,Text,1,,Text,1
(blank),1,,#VALUE!,1,,1/1/08,1,,(blank),1,,(blank),1,,#VALUE!,1,,#VALUE!,1,,#VALUE!,1
Grand Total,4,,Grand Total,4,,Grand Total,4,,Grand Total,4,,Grand Total,4,,Grand Total,4,,Grand Total,4,,Grand Total,4
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
"3.4 - SHARED ITEMS FOR TIME, DATE, DATETIME",,,,,,,,,,,,,,,,,,,,,,
Time,,,Date,,,Datetime,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Time,Count of Time,,Row Labels,Count of Date,,Row Labels,Count of DateTime,,,,,,,,,,,,,,,
00:00:00,1,,1/1/00,1,,01/01/1900 00:00:00,1,,,,,,,,,,,,,,,
11:11:11,1,,2/28/00,1,,28/02/1900 11:11:11,1,,,,,,,,,,,,,,,
12:00:00,1,,2/29/00,1,,29/02/1900 12:00:00,1,,,,,,,,,,,,,,,
22:22:22,1,,3/1/00,1,,01/03/1900 22:22:22,1,,,,,,,,,,,,,,,
23:59:59,1,,1/1/08,1,,01/01/2008 23:59:59,1,,,,,,,,,,,,,,,
Grand Total,5,,Grand Total,5,,Grand Total,5,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
3.5 - ITEMS NOT SHARED IN FIELDS,,,,,,,,,,,,,,,,,,,,,,
Multiple values per field,,,Mixed types per field,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Sum of Number,,,Sum of Number,,,,,,,,,,,,,,,,,,,
544,,,39990.5,,,,,,,,,,,,,,,,,,,
