Code,Desc,Contract#,Contract URL,eLinks,Contract Thumbnail,Alias,Category (50),CUA Services Heading1 (500),CUA Services Desc1 (max),CUA Service Dot Points1,CUA Services Heading2 (500),CUA Services Desc2 (max),CUA Service Points2,CUA Services Heading3 (500),CUA Services Desc3 (max),CUA Service Points3,Contract Term,ExtensionOpt,ContractTypeShort,Contract Type,Buyers Tips Heading,Buyers Tips Desc,Buyers Tips Points,Contact Manager 1,CM Phone 1,CM Email 1,Contact Manager 2,CM Phone 2,CM Email 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,"Stationery (Printed), Printed Record Files and Short Run Document Copying Services",,,,,,OF,<b>Printed Stationery</b>,"For standard and non standard letterhead, business cards and compliment slips available in process colour printing and 1 or 2 colour offset printing.",,<b>Printed Record Files</b>,"For printing lateral files with generic and custom printed covers, including the option to purchase record file accessories (labels and clips) if required.",,<b>Short Run Document Copying</b>,For day to day document copying requirements for documents of up to 2500 sheets (or 5000 impressions).,,29 February 2012 to 28 February 2015,(plus two 1 year extension options),Mandatory (Perth region only),"Mandatory (Perth region only)<br>Quotes not required",Buyers Tips,,"<ul><li>Try to print in black rather than colour, this will save you money.</li><li>Use the CUA for Courier Services (CUA 28109) rather than Suppliers&#39; couriers </li></ul>",Lucy Sullivan,(08) 6551 1584,lucy.sullivan@finance.wa.gov.au,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1000,Buyers' Guide,CUA00303,http://www.contractswa.finance.wa.gov.au/contractinfo.jsp?CuaNo=CUA00303,http://infopage.gem.wa.gov.au/docs/Buying_Guide_-_00303.pdf?,http://image.ogp.wa.gov.au/portals/1/ContractsWA/BuyersGuide_Generic.gif?,"CUA 00303 Printed Stationery Photocopying Services, Letterheads compliment slips, Business cards, Records files, lexdata quality press ausrecord LitSupport expo salmat success",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1001,Pricing Schedule - Business Cards,CUA00303,http://www.contractswa.finance.wa.gov.au/contractinfo.jsp?CuaNo=CUA00303,http://infopage.gem.wa.gov.au/docs/Price_Schedule_-_00303_business_cards.xls?,http://image.ogp.wa.gov.au/portals/1/ContractsWA/PriceSchedule.gif?,"CUA 00303 Printed Stationery Photocopying Services, Letterheads compliment slips, Business cards, Records files, lexdata quality press ausrecord LitSupport expo salmat success",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1002,Pricing Schedule - Compliment Slips,CUA00303,http://www.contractswa.finance.wa.gov.au/contractinfo.jsp?CuaNo=CUA00303,http://infopage.gem.wa.gov.au/docs/Price_Schedule_-_00303_compliment_slips.xls?,http://image.ogp.wa.gov.au/portals/1/ContractsWA/PriceSchedule.gif?,"CUA 00303 Printed Stationery Photocopying Services, Letterheads compliment slips, Business cards, Records files, lexdata quality press ausrecord LitSupport expo salmat success",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1003,Pricing Schedule - Letterheads,CUA00303,http://www.contractswa.finance.wa.gov.au/contractinfo.jsp?CuaNo=CUA00303,http://infopage.gem.wa.gov.au/docs/Price_Schedule_-_00303_letterheads.xls?,http://image.ogp.wa.gov.au/portals/1/ContractsWA/PriceSchedule.gif?,"CUA 00303 Printed Stationery Photocopying Services, Letterheads compliment slips, Business cards, Records files, lexdata quality press ausrecord LitSupport expo salmat success",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1004,Pricing Schedule - Record Files,CUA00303,http://www.contractswa.finance.wa.gov.au/contractinfo.jsp?CuaNo=CUA00303,http://infopage.gem.wa.gov.au/docs/Price_Schedule_-_00303_record_files.xls?,http://image.ogp.wa.gov.au/portals/1/ContractsWA/PriceSchedule.gif?,"CUA 00303 Printed Stationery Photocopying Services, Letterheads compliment slips, Business cards, Records files, lexdata quality press ausrecord LitSupport expo salmat success",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1005,Pricing Schedule - Document Copying Services,CUA00303,http://www.contractswa.finance.wa.gov.au/contractinfo.jsp?CuaNo=CUA00303,http://infopage.gem.wa.gov.au/docs/Price_Schedule_-_00303_copying_services.xls?,http://image.ogp.wa.gov.au/portals/1/ContractsWA/PriceSchedule.gif?,"CUA 00303 Printed Stationery Photocopying Services, Letterheads compliment slips, Business cards, Records files, lexdata quality press ausrecord LitSupport expo salmat success",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1006,Order Form - Document Copying Services,CUA00303,http://www.contractswa.finance.wa.gov.au/contractinfo.jsp?CuaNo=CUA00303,http://infopage.gem.wa.gov.au/docs/00303_order_form_copying_services.pdf?,http://image.ogp.wa.gov.au/portals/1/ContractsWA/PriceSchedule.gif?,"CUA 00303 Printed Stationery Photocopying Services, Letterheads compliment slips, Business cards, Records files, lexdata quality press ausrecord LitSupport expo salmat success",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,Non Sterile Examination Gloves,,,,,,HL,,,<ul><li>Vinyl and nitrile non&#45;sterile examination gloves.</ul></li>,,,,,,,1 March 2008 to 31 March 2013,,See Buyers Guide for Requirements,"Mandatory<br>Quotes not required.",Buyers Tips,,"<ul><li>When ordering small quantities of goods check to see if there are any minimum order surcharges with the supplier or distributor. Consolidate purchases where possible.</li><li>Plan purchases in advance, know the shelf life of the products so you can order more, less frequently to save time and effort.</li><li>Rationalise the types of products required such that they can be purchased from the available contracted range.</li></ul>",Bernie Rutkay,(08) 6444 5868,bernie.rutkay@health.wa.gov.au,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1102,Buyers Guide,HCNS105006,http://www.contractswa.finance.wa.gov.au/contractinfo.jsp?CuaNo=HCNS105006,http://infopage.gem.wa.gov.au/docs/Buying_Guide_-_HCNS105006.pdf?,http://image.ogp.wa.gov.au/portals/1/ContractsWA/BuyersGuide_Generic.gif?,"CUA HCNS105006, Non-Sterile Examination Gloves, Vinyl nitrile non-sterile examination gloves, Exam, ansell kimberly mediflex promedica, Buyers guide",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
